,0,1,2,3,4,5,6,7
0,2,,8.0,,5.0,1.0,,4
1,5,,10.0,,3.0,,,4
2,5,,7.0,0.0,6.0,2.0,9.0,8
3,1,,4.0,,,8.0,,7
4,3,1.0,9.0,,,7.0,,1
5,7,,,2.0,8.0,8.0,1.0,6
6,4,,,,2.0,,4.0,6
7,0,5.0,,8.0,0.0,,,1
8,10,,,,,,3.0,0
9,2,5.0,,9.0,3.0,,8.0,8
10,0,,,4.0,9.0,3.0,,3
11,1,1.0,,10.0,,,,0
12,8,,,,1.0,,,5
13,0,,,,,,,0
14,2,3.0,6.0,,,10.0,,10
15,8,6.0,,,5.0,0.0,5.0,3
16,1,,,,,,4.0,6
17,2,,,,9.0,,,9
18,7,,,,0.0,3.0,0.0,1
19,4,,0.0,,,1.0,,8
20,3,,9.0,,10.0,3.0,,4
21,5,,,,,,3.0,2
22,8,,3.0,,,1.0,,6
23,0,,4.0,,4.0,,,3
24,4,,2.0,,,,8.0,6
25,8,1.0,5.0,2.0,6.0,6.0,,10
26,8,3.0,,,,,3.0,7
27,2,10.0,,1.0,9.0,1.0,,8
28,9,,1.0,1.0,7.0,0.0,,8
29,5,,8.0,,,3.0,1.0,5
30,9,0.0,1.0,,,,,1
31,8,4.0,,1.0,6.0,,7.0,9
32,10,,,,4.0,,1.0,6
33,5,4.0,,,,,,2
34,1,,,9.0,,0.0,5.0,1
35,10,,6.0,10.0,,3.0,,10
36,10,,3.0,,7.0,,6.0,3
37,1,,5.0,10.0,,,,6
38,9,9.0,,,,,,4
39,1,5.0,10.0,,,7.0,,10
40,5,5.0,,,8.0,,5.0,5
41,3,6.0,,6.0,6.0,10.0,7.0,2
42,3,9.0,,7.0,6.0,5.0,,2
43,3,,1.0,6.0,10.0,,2.0,4
44,6,,,,10.0,5.0,0.0,0
45,1,,1.0,3.0,,5.0,2.0,9
46,4,,3.0,,6.0,,5.0,2
47,6,,3.0,3.0,,,,0
48,10,,,,1.0,6.0,6.0,0
49,1,5.0,,9.0,,9.0,5.0,8
50,10,7.0,9.0,5.0,8.0,,,9
51,3,,,10.0,10.0,,5.0,7
52,1,5.0,,,,9.0,2.0,7
53,7,0.0,9.0,,9.0,3.0,5.0,0
54,4,3.0,2.0,,,7.0,,4
55,10,,,,,7.0,,1
56,2,,,,4.0,7.0,,3
57,4,10.0,8.0,,,,,8
58,9,9.0,,,3.0,6.0,7.0,0
59,2,,,2.0,1.0,0.0,2.0,7
60,10,8.0,2.0,,,,,8
61,4,1.0,9.0,,4.0,,3.0,6
62,4,,,,,,,9
63,7,7.0,3.0,5.0,,,,9
64,2,,5.0,0.0,4.0,,3.0,9
65,9,10.0,,5.0,,,,4
66,5,,,1.0,3.0,,,10
67,5,9.0,,1.0,8.0,,8.0,10
68,6,,,,3.0,,5.0,0
69,1,4.0,,,,,5.0,10
70,10,,,1.0,,,1.0,2
71,2,4.0,,,,,,2
72,8,,,,1.0,,1.0,9
73,4,,,7.0,0.0,5.0,7.0,8
74,4,6.0,,,,6.0,,4
75,0,9.0,1.0,0.0,,4.0,9.0,7
76,3,,2.0,10.0,,,7.0,4
77,7,,,3.0,,9.0,5.0,7
78,10,6.0,,,,3.0,6.0,5
79,6,1.0,,,,,,5
80,0,,,,10.0,,,7
81,5,8.0,,,,,9.0,5
82,3,,,,,,8.0,4
83,3,9.0,,7.0,,,,4
84,3,6.0,10.0,3.0,9.0,8.0,9.0,10
85,8,5.0,,,,,,7
86,9,3.0,4.0,,6.0,,,5
87,2,9.0,,,6.0,,8.0,5
88,2,,,6.0,7.0,,4.0,1
89,4,,,1.0,4.0,,,4
90,8,6.0,8.0,,,,1.0,6
91,6,,10.0,1.0,6.0,5.0,,3
92,0,10.0,8.0,,,,,4
93,1,,,0.0,3.0,10.0,8.0,1
94,0,,,,,7.0,,4
95,8,1.0,,0.0,,,2.0,10
96,1,,,9.0,,,,4
