,0,1,2,3,4,5,6,7,8
0,7.0,,,,1,1.0,7,,0
1,10.0,,,2.0,10,,4,,4
2,,,,,6,6.0,0,,3
3,6.0,2.0,9.0,4.0,8,,0,1.0,10
4,,,,5.0,5,5.0,2,2.0,4
5,,,,2.0,2,,4,6.0,1
6,,,,,7,,1,,8
7,6.0,4.0,,3.0,3,,2,,3
8,,4.0,,,5,,10,,1
9,7.0,4.0,,,5,8.0,4,5.0,5
10,6.0,,6.0,10.0,0,,5,,10
11,,7.0,,,8,10.0,5,,6
12,0.0,,10.0,,10,2.0,0,9.0,0
13,7.0,5.0,9.0,1.0,4,,4,7.0,2
14,,,3.0,3.0,1,,10,2.0,8
15,8.0,8.0,6.0,,2,,10,,10
16,0.0,2.0,,1.0,3,6.0,10,8.0,5
17,10.0,,,,0,,0,7.0,1
18,1.0,10.0,,,5,6.0,2,,8
19,1.0,,,,9,,3,4.0,3
20,10.0,,,3.0,9,,4,5.0,1
21,,,10.0,4.0,6,,5,10.0,6
22,2.0,,10.0,8.0,1,,6,7.0,4
23,,,,3.0,6,6.0,3,,2
24,0.0,,,5.0,7,7.0,4,1.0,2
25,,4.0,,10.0,7,3.0,10,5.0,0
26,1.0,,6.0,,6,8.0,0,,9
27,6.0,,3.0,0.0,1,,0,5.0,10
28,4.0,3.0,0.0,7.0,10,,6,0.0,7
29,10.0,,2.0,,3,0.0,5,3.0,6
30,,1.0,,7.0,4,7.0,7,6.0,0
31,,,8.0,,7,2.0,7,,1
32,,6.0,,,4,2.0,1,,5
33,,,,7.0,4,,0,,8
34,,9.0,9.0,,4,,7,8.0,2
35,7.0,,2.0,,1,5.0,8,1.0,6
36,,7.0,0.0,10.0,9,4.0,5,,3
37,5.0,4.0,,,4,4.0,7,1.0,5
38,8.0,,,,9,,10,1.0,10
39,10.0,4.0,2.0,,5,,10,8.0,10
40,,7.0,5.0,6.0,4,,3,2.0,10
41,,,,5.0,8,2.0,3,2.0,2
42,,,,7.0,1,,0,4.0,8
43,,,7.0,4.0,3,,8,3.0,1
44,,4.0,7.0,,6,2.0,4,0.0,1
45,,10.0,,,0,6.0,1,10.0,3
46,,,7.0,,2,,5,,0
47,6.0,9.0,9.0,,8,5.0,3,1.0,3
48,8.0,,5.0,3.0,4,,9,4.0,2
49,,7.0,,,9,,2,0.0,4
50,,7.0,6.0,0.0,10,5.0,7,,5
51,4.0,5.0,1.0,4.0,10,1.0,0,,8
52,,,1.0,0.0,0,,3,9.0,1
53,4.0,9.0,,,5,5.0,2,4.0,3
54,3.0,,,8.0,0,,9,9.0,4
55,2.0,,7.0,,10,3.0,2,,8
56,,3.0,2.0,0.0,7,0.0,9,0.0,5
57,2.0,,8.0,3.0,9,,3,,8
58,10.0,,10.0,,6,,7,,1
59,,7.0,5.0,2.0,6,3.0,6,,9
60,,8.0,,7.0,1,,1,6.0,4
61,0.0,6.0,3.0,8.0,6,,9,10.0,5
62,,,,2.0,3,9.0,3,,1
63,1.0,10.0,6.0,0.0,3,1.0,0,10.0,3
64,7.0,,0.0,,2,9.0,10,8.0,8
65,1.0,,1.0,9.0,0,6.0,1,,8
66,,,,,6,,9,1.0,4
67,,,,4.0,10,,4,,5
68,,,,10.0,5,,1,,9
69,,8.0,9.0,,5,,7,,6
70,,,,,0,0.0,3,5.0,1
71,,,6.0,,10,,9,4.0,8
72,9.0,,6.0,6.0,6,,10,,0
73,,6.0,,0.0,10,5.0,1,0.0,2
74,,,,,6,,10,,7
75,,6.0,7.0,6.0,3,,10,,3
76,8.0,5.0,4.0,3.0,0,,1,8.0,3
77,,,,5.0,6,4.0,1,10.0,2
78,5.0,8.0,,5.0,4,5.0,4,,1
79,2.0,,,,1,0.0,10,4.0,7
80,4.0,5.0,,,5,,8,6.0,0
81,9.0,6.0,5.0,,10,,4,7.0,1
82,,,3.0,0.0,9,,6,7.0,8
83,10.0,8.0,4.0,,6,,6,3.0,4
84,,6.0,,,6,,8,10.0,4
85,,,,3.0,5,,8,,6
86,5.0,3.0,,2.0,9,8.0,6,,10
87,7.0,3.0,10.0,8.0,8,3.0,8,,6
88,,7.0,9.0,,3,2.0,10,,10
