,0,1,2,3,4,5
0,4,10,2,7,1,10
1,1,4,3,3,5,0
2,2,7,6,6,8,2
3,4,9,1,9,6,10
4,3,7,9,0,1,1
5,9,1,10,9,7,7
6,6,7,1,5,5,1
7,6,9,4,6,3,0
8,4,8,4,10,8,1
9,9,4,0,9,8,7
10,4,9,7,10,0,7
11,4,5,10,7,4,10
12,8,10,10,7,1,8
13,10,0,4,0,1,1
14,6,2,7,9,8,6
15,1,10,6,7,4,4
16,7,2,10,1,6,0
17,1,9,9,9,10,6
18,3,1,3,7,10,6
19,9,6,8,4,2,10
20,6,9,6,0,4,5
21,8,5,10,0,10,0
22,1,1,1,10,8,4
23,5,8,5,6,4,10
24,10,4,0,1,1,1
25,2,2,4,2,5,4
26,3,2,6,8,9,5
27,10,9,5,8,4,2
28,3,4,0,3,7,2
29,10,8,3,10,3,4
30,2,7,0,4,6,8
31,2,7,8,4,10,1
32,2,9,8,8,9,9
33,0,9,10,1,1,8
34,3,2,9,8,6,9
35,4,5,5,0,10,3
36,8,1,1,9,7,10
37,4,1,3,5,0,6
38,10,7,2,3,0,10
39,6,5,7,10,9,8
40,2,9,10,7,8,10
41,1,2,5,7,9,6
42,10,9,2,2,4,6
43,1,9,5,0,9,7
44,4,8,7,2,1,9
45,3,2,2,9,5,0
46,5,8,2,7,7,3
47,4,5,8,9,3,3
48,2,1,8,3,8,10
49,0,1,1,10,6,2
50,1,7,6,3,7,4
51,4,1,6,3,0,0
52,3,4,4,1,2,9
53,1,8,4,0,1,3
54,7,5,7,2,0,2
55,10,10,6,9,6,3
56,5,10,7,8,4,6
57,6,3,2,8,3,8
58,6,7,8,9,6,2
59,6,8,7,2,7,3
60,3,1,8,3,4,8
61,5,2,10,4,9,1
62,10,0,5,7,4,8
63,4,4,3,7,9,1
64,4,0,8,3,10,9
65,2,7,1,0,6,9
66,5,8,7,2,10,9
67,7,2,6,2,6,6
68,6,8,4,9,7,0
69,10,9,0,3,9,7
70,10,8,2,9,8,0
71,3,4,0,4,9,5
72,6,7,9,0,5,10
73,3,9,6,1,3,8
74,7,0,5,6,8,4
75,2,4,9,7,1,3
76,0,9,8,8,5,3
