0,1,2,3,4,5,6,7
,7.0,8.0,1.0,,6,,7
,4.0,10.0,3.5,10.0,4,,5
8.0,4.2,8.0,6.0,8.0,2,,5
6.0,4.4,5.666666666666666,2.0,8.0,6,,2
1.0,4.6,3.333333333333333,9.0,1.0,2,,0
6.0,4.8,1.0,0.0,4.0,10,6.0,9
5.75,5.0,1.25,2.3333333333333335,4.8,5,4.333333333333333,7
5.5,5.0,1.5,4.666666666666667,5.6,8,2.6666666666666665,8
5.25,4.333333333333333,1.75,7.0,6.4,2,1.0,10
5.0,3.666666666666667,2.0,0.0,7.2,4,3.0,6
6.0,3.0,2.25,1.5,8.0,10,5.0,0
7.0,2.25,2.5,3.0,6.666666666666667,10,2.0,1
8.0,1.5,2.75,8.0,5.333333333333334,10,5.0,6
9.0,0.75,3.0,8.0,4.0,9,8.0,2
8.0,0.0,2.0,7.0,2.666666666666667,1,4.0,2
8.0,7.0,1.0,6.0,1.333333333333334,3,7.0,7
8.0,3.5,5.5,5.0,0.0,3,10.0,6
8.0,0.0,10.0,4.0,5.0,5,1.0,10
8.0,0.75,0.0,4.0,5.5,4,0.6666666666666667,7
8.0,1.5,7.0,4.0,6.0,6,0.33333333333333337,9
6.75,2.25,7.5,1.0,10.0,6,0.0,7
5.5,3.0,8.0,2.666666666666667,5.0,9,9.0,6
4.25,10.0,7.4,4.333333333333334,7.0,5,2.0,10
3.0,2.0,6.8,6.0,3.0,7,4.5,7
4.0,1.5,6.2,5.0,1.0,9,7.0,8
4.666666666666667,1.0,5.6,6.666666666666667,0.6666666666666667,6,7.5,6
5.333333333333333,0.5,5.0,8.333333333333334,0.33333333333333337,2,8.0,4
6.0,0.0,5.5,10.0,0.0,0,5.0,5
4.5,1.0,6.0,9.666666666666666,0.0,2,2.0,5
3.0,2.0,2.0,9.333333333333334,6.0,5,0.0,2
6.0,3.0,1.3333333333333335,9.0,5.0,3,8.0,3
2.0,4.0,0.6666666666666667,6.0,4.0,1,5.666666666666666,8
7.0,10.0,0.0,2.0,2.0,8,3.333333333333333,8
5.5,8.0,7.0,10.0,2.8,6,1.0,10
4.0,6.0,5.666666666666667,7.0,3.6,4,3.0,8
6.0,6.2,4.333333333333334,2.0,4.4,5,5.0,4
7.333333333333333,6.4,3.0,1.0,5.2,5,7.0,3
8.666666666666666,6.6,3.0,0.0,6.0,4,0.0,8
10.0,6.8,3.0,0.0,6.333333333333333,7,3.0,6
9.666666666666666,7.0,3.0,0.0,6.666666666666667,0,8.0,7
9.333333333333334,10.0,4.5,0.0,7.0,2,9.0,2
9.0,7.0,6.0,0.0,5.0,5,10.0,8
8.666666666666666,4.0,7.5,0.6,1.0,0,9.0,9
8.333333333333334,10.0,9.0,1.2,3.0,2,0.0,0
8.0,8.0,3.0,1.7999999999999998,1.0,9,0.0,2
8.0,5.0,2.0,2.4,4.5,6,1.0,8
8.0,4.0,1.0,3.0,8.0,2,2.0,4
8.0,3.0,9.0,2.0,8.0,5,3.25,3
4.0,2.0,0.0,1.0,9.0,3,4.5,8
10.0,2.25,1.5,0.0,1.0,1,5.75,9
1.0,2.5,3.0,2.0,4.0,6,7.0,3
2.75,2.75,2.25,3.666666666666667,7.0,7,4.5,9
4.5,3.0,1.5,5.333333333333334,10.0,2,2.0,0
6.25,7.0,0.75,7.0,1.0,7,2.0,3
8.0,3.5,0.0,7.0,0.0,9,2.0,8
8.5,0.0,2.0,7.0,2.5,8,3.0,6
9.0,0.0,5.0,0.0,5.0,6,4.0,7
7.0,0.0,8.0,0.5,6.5,1,6.0,2
0.0,10.0,9.0,1.0,8.0,0,5.0,9
8.0,5.0,7.75,8.0,6.5,9,4.0,6
8.0,4.0,6.5,2.0,5.0,7,3.0,6
8.0,3.0,5.25,3.0,3.5,10,2.0,7
8.0,2.0,4.0,3.0,2.0,0,1.0,7
1.0,1.0,3.0,3.0,9.0,6,0.0,7
2.0,8.0,2.0,3.0,2.0,3,5.0,6
3.0,8.0,1.0,4.0,7.0,0,5.0,4
5.0,4.0,5.0,5.0,4.0,9,5.0,3
7.0,0.0,9.0,6.333333333333333,4.0,1,6.0,6
9.0,1.0,3.0,7.666666666666666,3.3333333333333335,9,7.0,0
8.0,2.0,3.8,9.0,2.666666666666667,3,8.0,3
7.0,0.0,4.6,9.0,2.0,8,6.333333333333333,0
6.0,4.0,5.4,9.0,1.3333333333333335,8,4.666666666666666,8
