,0,1,2,3,4,5,6,7
0,,7.0,8.0,1.0,,6,,7
1,,4.0,10.0,,10.0,4,,5
2,8.0,,8.0,6.0,8.0,2,,5
3,6.0,,,2.0,8.0,6,,2
4,1.0,,,9.0,1.0,2,,0
5,6.0,,1.0,0.0,4.0,10,6.0,9
6,,5.0,,,,5,,7
7,,5.0,,,,8,,8
8,,,,7.0,,2,1.0,10
9,5.0,,,0.0,,4,,6
10,,3.0,,,8.0,10,5.0,0
11,,,,3.0,,10,2.0,1
12,,,,8.0,,10,,6
13,9.0,,3.0,8.0,,9,8.0,2
14,8.0,0.0,,,,1,4.0,2
15,,7.0,1.0,,,3,,7
16,,,,,0.0,3,10.0,6
17,8.0,0.0,10.0,4.0,5.0,5,1.0,10
18,,,0.0,,,4,,7
19,8.0,,7.0,4.0,6.0,6,,9
20,,,,1.0,10.0,6,0.0,7
21,,3.0,8.0,,5.0,9,9.0,6
22,,10.0,,,7.0,5,2.0,10
23,3.0,2.0,,6.0,3.0,7,,7
24,4.0,,,5.0,1.0,9,7.0,8
25,,,,,,6,,6
26,,,5.0,,,2,8.0,4
27,6.0,0.0,,10.0,0.0,0,,5
28,,,6.0,,0.0,2,2.0,5
29,3.0,,2.0,,6.0,5,0.0,2
30,6.0,,,9.0,,3,8.0,3
31,2.0,4.0,,6.0,4.0,1,,8
32,7.0,10.0,0.0,2.0,2.0,8,,8
33,,,7.0,10.0,,6,1.0,10
34,4.0,6.0,,7.0,,4,,8
35,6.0,,,2.0,,5,,4
36,,,3.0,,,5,7.0,3
37,,,,0.0,6.0,4,0.0,8
38,10.0,,,,,7,3.0,6
39,,7.0,3.0,,,0,8.0,7
40,,10.0,,,7.0,2,,2
41,,,,0.0,5.0,5,10.0,8
42,,4.0,,,1.0,0,9.0,9
43,,10.0,9.0,,3.0,2,0.0,0
44,8.0,8.0,3.0,,1.0,9,0.0,2
45,,5.0,,,,6,,8
46,,,1.0,3.0,8.0,2,2.0,4
47,8.0,,9.0,,8.0,5,,3
48,4.0,2.0,0.0,,9.0,3,,8
49,10.0,,,0.0,1.0,1,,9
50,1.0,,3.0,2.0,4.0,6,7.0,3
51,,,,,,7,,9
52,,3.0,,,10.0,2,2.0,0
53,,7.0,,7.0,1.0,7,,3
54,8.0,,0.0,,0.0,9,2.0,8
55,,0.0,2.0,7.0,,8,,6
56,9.0,,,0.0,5.0,6,4.0,7
57,7.0,0.0,8.0,,,1,6.0,2
58,0.0,10.0,9.0,1.0,8.0,0,,9
59,8.0,5.0,,8.0,,9,,6
60,,,,2.0,,7,,6
61,,,,3.0,,10,,7
62,8.0,,4.0,,2.0,0,,7
63,1.0,1.0,,,9.0,6,0.0,7
64,,8.0,,3.0,2.0,3,5.0,6
65,3.0,8.0,1.0,,7.0,0,,4
66,,,,5.0,4.0,9,5.0,3
67,,0.0,9.0,,4.0,1,,6
68,9.0,,3.0,,,9,,0
69,8.0,2.0,,9.0,,3,8.0,3
70,7.0,0.0,,9.0,2.0,8,,0
71,,4.0,,,,8,,8
72,5.0,,,,,8,3.0,3
73,2.0,,7.0,,0.0,0,5.0,3
74,,,,,10.0,5,8.0,1
75,,5.0,0.0,9.0,0.0,9,,2
76,,,,,,8,,9
77,,4.0,,7.0,4.0,9,,0
78,,5.0,,,,4,,6
79,,,,,,8,2.0,10
80,,,8.0,7.0,0.0,8,,6
81,8.0,0.0,,,,3,,8
82,,,,8.0,,8,,8
83,,,,,10.0,6,,3
84,,1.0,1.0,,,8,2.0,2
85,0.0,,,2.0,6.0,7,,6
86,,,,,6.0,5,,6
87,10.0,,,,,8,,5
88,5.0,,,6.0,,5,8.0,0
89,5.0,,5.0,,,5,3.0,9
90,,8.0,3.0,4.0,,3,7.0,6
91,0.0,,,1.0,,8,7.0,8
92,10.0,,,,2.0,4,2.0,0
93,6.0,6.0,,,,7,,1
94,,2.0,6.0,5.0,6.0,8,,6
95,,2.0,,,0.0,10,,9
96,10.0,3.0,,,5.0,2,,6
97,7.0,,,0.0,,3,2.0,7
98,,,7.0,1.0,10.0,7,7.0,6
99,2.0,,1.0,7.0,7.0,1,,4
100,,,,,,2,9.0,8
101,,,8.0,2.0,3.0,0,,3
102,9.0,,,,8.0,9,10.0,7
103,,,5.0,4.0,10.0,0,,10
104,5.0,4.0,,0.0,,8,0.0,8
105,,3.0,,,,4,0.0,3
106,5.0,6.0,8.0,2.0,,10,2.0,2
107,10.0,6.0,0.0,,,2,,0
108,1.0,1.0,,2.0,,0,4.0,2
109,,,5.0,,,1,10.0,6
110,8.0,,9.0,1.0,,1,7.0,8
111,,2.0,2.0,1.0,,9,10.0,5
112,7.0,6.0,,,7.0,4,,3
113,,4.0,,8.0,,3,6.0,6
114,,7.0,10.0,0.0,,0,,4
115,9.0,,,10.0,8.0,7,8.0,6
116,,,6.0,9.0,,2,1.0,0
117,5.0,7.0,5.0,,,0,,9
