,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,7,,,,,,,9.0,,7,,,,
1,,0,,,,,,,,,7,,,,
2,,2,,,,,,,,,5,9.0,,6.0,
3,,5,1.0,,,,,,,,9,,,7.0,
4,,8,,,,,,6.0,,,10,,2.0,,
5,7.0,10,,,,,6.0,,,,6,,,,
6,,5,,,,,,,,,10,7.0,,,
7,7.0,5,,,,,,,,,8,,,,
8,,5,,,3.0,,,,,,0,,,,
9,2.0,1,,,,,,,8.0,,4,,,,
10,,7,4.0,,,,,,,,10,,,6.0,
11,3.0,3,,,,,,,,,7,,,,
12,,10,,,10.0,,,,,,7,,,,
13,,5,,,,,,,,,9,,,,
14,,1,,,,,,,,,1,,,,
15,,3,,,,9.0,,,,,6,,,5.0,
16,7.0,6,,,,,,,,,6,,5.0,,
17,,1,,,10.0,9.0,,,,,4,3.0,,,
18,,5,,,,,,6.0,,,10,,,7.0,
19,,9,,,,5.0,,,,,2,,4.0,,
20,6.0,6,7.0,,,,,,,,4,,,,
21,,5,,,,,1.0,,,,0,,,,
22,0.0,10,,,,,,,,1.0,5,9.0,1.0,,
23,,2,,,,,,,,,4,,,,
24,,6,,1.0,,,,,,,5,,,,
25,,10,,,,,,,,,0,1.0,,1.0,
26,,10,,,,,,,,4.0,1,,,,
27,,2,,,,,,,,,9,,,,
28,,10,,,,,,,2.0,,5,,,,
29,6.0,7,0.0,,,,,,,,2,,,,
30,,0,,,,6.0,,,,,4,,,,
31,,7,,,,,,,,,3,,,,
32,8.0,10,,8.0,,3.0,,,,,10,,,,
33,,3,,,4.0,,,,,,5,,,,
34,,7,1.0,,,8.0,,,,,5,,,,
35,,1,,1.0,,,,,,,5,,,1.0,
36,3.0,4,,,,,,,,4.0,5,,,,
37,,7,,,,,,,,,7,,,,
38,5.0,6,,,,,,,,,8,,,,
39,,0,,,9.0,2.0,,,1.0,,10,,,,
40,,8,,,,,10.0,,,,0,,3.0,,
41,,5,,,,,,,,0.0,8,,,,
42,,9,,,,,,6.0,,,7,,,,
43,,7,,,,,,,,,6,,,,
44,,8,0.0,1.0,,,,,,,10,,,,
45,,8,,,,,,,,,2,,,,
46,,7,,,,,,,,,5,3.0,,,
47,,4,,,,,,,,,5,1.0,,,
48,,1,,,,,,,,,7,,,,
49,,2,,,,,,,,,2,,,,
50,,6,,,,9.0,,,,,5,,,,
51,,1,,,,,,,,,10,,9.0,,
52,,0,,,,,,,,,10,,,,7.0
53,,5,,,,4.0,,,,,2,,,10.0,
54,,6,,,,,,8.0,,,10,,,1.0,
55,,3,3.0,,,,3.0,,,,10,,,,
56,,3,6.0,,,,,,,,5,,,,
57,,3,,,,,,,,,6,,10.0,,6.0
58,,10,,,,,,,,,5,,,,
59,,9,,,,,,,,,0,,4.0,,1.0
60,,7,,,2.0,3.0,,7.0,,,1,,,,
61,,0,,,,,,,,,1,,,,
62,,5,,,,,,,,,2,,,,
63,,3,,,,,,,3.0,2.0,2,,,,
64,,3,,,,,,,,,8,,,,
65,,3,,,,9.0,,,,,0,,,,
66,,5,,,,,,,3.0,,0,,10.0,0.0,3.0
67,,10,,,,1.0,,0.0,,,4,,,,8.0
68,,9,,,,,,,0.0,,2,,,,
69,2.0,1,,,,,,,9.0,,4,,,,
70,,1,,,,,,,,,10,,,,
71,,8,,,,,,,,,3,,,,
72,,3,,,,,,,,,10,,,,
73,,1,,,,,,,,1.0,2,,,,
74,,10,,,,,,,4.0,,7,,1.0,4.0,
75,,2,,,,,,,,3.0,4,,,,
76,,0,,,,,3.0,,,,1,,,,
77,,0,8.0,,,,,1.0,,,7,,,,
78,,8,,,,,,,,,9,,,,
79,,0,,0.0,,,,2.0,,,2,,,,
80,,1,,,,,,,,,10,,,,
81,10.0,3,,,,,,,,,1,,,,
82,,1,3.0,4.0,,,,,4.0,,4,,,,
83,,5,,,,,,,,,4,3.0,,,
84,,2,,,,,,,9.0,,5,,,,7.0
85,,2,,,,,,,,,5,,,,2.0
86,,9,,,,,,,,,6,,,,
87,,3,,,,,10.0,,,,6,,,,
88,1.0,3,,,,,,,,9.0,9,,,,
89,,10,,,,,,0.0,,,5,,,,0.0
90,,0,3.0,,7.0,3.0,,,,,3,,,,
91,,5,,,8.0,,4.0,,,,3,,1.0,,
92,,6,,,,,,,,,7,,,,
93,,6,,,,9.0,,,,3.0,7,,,,
94,,6,,,,,,,,,2,,6.0,,
95,,7,9.0,,,,8.0,,,,2,,,,
96,,9,,,,,,,,,4,,2.0,,
97,6.0,10,,,,5.0,,,,,10,,,,
98,,7,,,,,,,1.0,,3,,,5.0,
99,,8,,,,,,3.0,,2.0,8,,,,10.0
100,,8,,,,5.0,,,,,7,4.0,,,
101,,6,,7.0,,,,,5.0,,6,,,,
102,,5,,,7.0,,,10.0,5.0,,8,,,,
103,,3,,,,,,,8.0,,7,,,,
104,,9,,1.0,,,,,,,1,,,5.0,
105,,3,,,,,,,,,4,,,,
106,,3,,9.0,,,,,,,3,,,,
107,,1,,,,,,,,,5,,,7.0,
108,,10,,,,,,,,,5,,,,
109,,2,,,,,,9.0,,,0,,,,
110,,7,,,,,,10.0,,,8,,,,
111,,2,,9.0,,,,,,,10,,,,
112,,2,,,,,,8.0,,,3,,,,
113,,8,,,,7.0,,,,,9,,,,
114,4.0,5,,2.0,,,,,,,4,,,,
115,,10,,,,3.0,,,10.0,,6,,,,
116,6.0,6,,0.0,,,,,,1.0,5,,,,10.0
117,,6,,,,,,,,,0,,,,
118,,5,,,,,1.0,,,,8,,,,
119,,3,2.0,,,,,,,,1,,,2.0,
120,,2,4.0,,,,,,7.0,,3,,,,
121,10.0,9,,,,,6.0,9.0,,,8,,,,
122,,7,,,,,,,,,10,,,,
123,,0,,,,,,,,,8,,,,
124,,1,,,,,,,6.0,,10,,,,
125,,4,,,,,,8.0,,4.0,3,,9.0,,8.0
126,,6,,,,8.0,,,,,7,,,,
127,,7,,1.0,,,,1.0,,,5,,2.0,,
128,,3,,,,,,,10.0,,3,,,,
129,,3,,,,,4.0,,,,8,,,,
130,,1,,,,4.0,,,,,5,,,,
131,,0,,,6.0,,,,,,7,,,,
132,,7,,,,,,,,,2,9.0,,1.0,
133,,0,,,,,,,,,7,,,,
134,,5,,,3.0,,,1.0,,,6,,,,
135,,4,,,7.0,,,,,,8,9.0,,,
136,,1,,,,6.0,,0.0,,10.0,3,1.0,5.0,,
137,,0,7.0,,,,0.0,,,,0,,10.0,,
138,,8,,,,,,,,,8,9.0,,,
139,,7,,,,,,,,,10,,,,
140,,7,,,,,,,,,3,,,,
141,,3,,,,,9.0,,,,10,,,,2.0
142,,10,,,,,,,,2.0,6,,,,
143,,1,,,,,,0.0,,,2,,,,
144,,8,,,,,,,,,5,,,,
145,,4,,,,,,,,,1,,0.0,,5.0
146,,4,2.0,,,,,,,,3,,8.0,,
147,,4,1.0,,,,,,,,8,,,7.0,
148,,0,,,,,,,,,5,,,,
149,,5,,,,5.0,,,,1.0,8,,,,
150,,1,,,,,,,,,4,,,,4.0
151,,8,0.0,,7.0,,,,,,5,8.0,,,
152,,0,,,1.0,9.0,,,,,6,,,,
153,,1,6.0,,,,,,,10.0,6,,,,
154,,1,,,,4.0,,,,8.0,10,,,,
155,,7,10.0,,,,,,,,0,,,,
156,,1,,,,,,,,,2,,,,
157,,8,,,,,,,,,9,,,9.0,
158,,8,8.0,,,,,,,,4,,0.0,,4.0
159,,3,,,,,,,,,1,,,,7.0
160,,6,,,,,,,,,8,,,,
161,,10,,,,,,,,,2,,,,
162,,0,9.0,,,,,9.0,,,5,,0.0,,
163,,9,,,,,8.0,,,,5,,,,
164,,1,,,,,,,,,6,,,,
165,,1,3.0,1.0,,,,,10.0,5.0,10,,,,
166,,1,,,,5.0,,1.0,,,4,,,,
167,,7,,,,6.0,,,,,2,,,,
168,,10,,,,,,,,,6,,,,
169,,5,,,,2.0,,,6.0,,3,,,,
170,,10,,,,,,,,,7,,,,
171,,6,,,,,,,,,3,,0.0,,
172,,10,,,,,,,,4.0,8,,,,
