0,1,2,3,4,5,6,7,8,9,10,11
61,2,6,1,5,6,6,84,72,2,0,7
3,8,4,0,9,6,9,43,18,9,8,0
50,6,5,8,4,5,7,54,47,5,9,5
73,4,3,2,10,3,5,88,40,4,8,4
11,7,8,3,0,9,10,97,59,4,9,10
41,10,3,2,8,7,10,12,83,5,0,3
36,3,9,4,0,1,7,79,13,4,0,9
28,10,10,2,1,9,1,25,10,5,2,3
6,3,1,9,6,6,7,44,17,0,4,6
54,10,3,4,6,2,5,99,85,7,7,6
52,2,8,4,3,2,4,97,65,6,3,7
93,2,2,0,6,5,0,20,21,0,10,0
72,3,10,3,1,1,2,51,15,6,7,0
44,9,1,0,1,7,2,92,79,7,0,9
96,1,0,1,1,2,0,2,66,1,8,8
44,8,8,0,5,8,5,6,97,9,4,9
39,8,10,9,5,10,0,50,28,9,10,7
68,3,9,0,5,4,5,99,61,4,5,4
0,4,2,8,1,2,4,4,42,0,0,7
38,7,5,8,2,9,9,29,14,1,7,4
82,2,6,4,2,9,5,76,18,3,9,9
9,4,4,9,0,8,3,96,0,5,3,2
5,3,1,5,6,3,0,37,67,3,6,10
79,9,7,3,3,0,3,99,15,3,6,9
87,3,1,2,10,1,9,7,38,7,1,9
38,3,0,0,4,1,3,99,13,9,0,9
19,7,10,3,2,2,9,97,85,5,4,1
35,2,2,2,0,4,7,39,35,1,5,6
90,1,0,0,6,2,0,47,48,0,7,0
94,10,2,5,8,2,10,66,43,8,7,1
54,1,10,2,6,3,0,15,16,9,7,10
27,8,0,7,0,1,0,7,40,9,3,9
41,0,1,5,7,1,2,15,87,7,8,1
62,6,10,5,5,1,1,68,90,9,1,9
23,7,3,10,6,3,2,26,12,8,4,3
85,4,9,5,6,3,3,61,77,5,8,9
67,4,1,10,1,3,4,25,75,6,5,2
71,6,6,0,2,0,3,4,30,0,3,3
81,10,3,1,9,3,10,10,67,6,5,1
9,3,3,3,5,2,1,62,81,1,6,0
24,0,2,2,9,2,1,28,2,3,10,6
4,8,0,3,2,6,10,87,65,0,3,2
