,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,4,2,3,8,3,1,9,7,9,7,1,5,6,3
1,2,9,6,3,9,3,5,5,4,3,4,2,7,3
2,8,7,2,0,10,9,4,4,6,5,3,1,6,2
3,9,4,6,3,0,0,9,2,7,7,10,7,2,6
4,1,10,1,10,9,6,1,6,8,10,4,3,9,6
5,8,1,4,6,7,8,9,8,0,2,6,10,4,4
6,4,3,2,4,8,0,6,6,4,6,2,8,2,7
7,1,2,3,0,1,3,8,3,10,6,2,2,8,1
8,6,10,8,3,0,2,9,3,5,2,7,3,1,8
9,8,5,1,1,8,5,0,3,10,6,1,8,8,6
10,5,5,9,1,8,6,2,7,7,1,4,1,1,2
11,8,10,9,8,2,7,9,10,4,8,10,3,5,2
12,9,2,9,7,5,9,8,1,2,3,7,2,6,8
13,9,1,10,3,8,9,4,6,7,3,4,8,8,9
14,6,6,0,6,0,3,5,10,10,2,2,8,3,2
15,5,3,6,6,0,7,1,3,8,7,0,2,3,10
16,0,2,8,6,0,2,0,7,5,8,0,9,6,10
17,3,4,4,0,8,8,7,2,0,0,8,6,2,3
18,1,8,4,2,6,1,7,6,10,3,10,1,8,1
19,4,9,2,3,10,8,7,3,7,6,7,9,3,7
20,2,0,0,4,2,4,9,10,9,7,1,4,1,1
21,8,9,10,3,1,4,7,10,6,8,5,1,4,1
22,1,8,10,10,8,6,5,0,1,4,4,0,3,2
23,1,8,1,10,9,1,8,8,2,9,0,2,7,3
24,4,1,5,0,6,10,9,2,8,6,6,7,6,3
25,5,5,1,10,3,6,7,6,5,4,10,6,1,3
26,8,2,2,7,6,8,7,2,6,7,4,3,8,0
27,7,3,1,4,0,5,1,9,9,0,7,1,10,5
28,0,9,2,5,7,10,3,7,9,3,1,8,6,8
29,5,10,0,1,2,7,5,0,5,0,4,6,1,7
30,5,8,2,4,1,6,2,5,9,4,4,6,1,1
31,2,0,0,1,9,3,1,1,2,4,2,8,4,8
32,0,1,6,3,8,3,10,10,2,1,1,4,8,1
33,0,8,8,5,7,6,0,3,3,4,6,8,6,7
34,6,1,7,9,4,9,5,8,10,6,7,3,2,7
35,10,7,1,5,6,9,7,5,3,3,5,2,7,7
36,3,10,0,5,5,5,6,5,4,7,0,4,6,1
37,8,8,8,2,2,3,4,4,8,6,2,9,3,2
38,3,4,7,1,2,10,3,9,3,5,7,8,0,3
39,6,5,10,1,8,8,8,3,4,0,9,4,10,1
40,2,2,7,0,9,10,2,4,0,10,8,9,1,10
41,3,0,2,1,2,3,1,4,0,1,9,6,1,7
42,3,0,2,5,4,0,8,5,7,4,4,9,4,6
43,5,8,2,7,2,4,6,5,9,7,6,6,7,1
44,9,3,10,1,3,6,1,5,2,2,0,1,2,7
45,3,6,10,9,0,1,9,4,2,5,0,4,2,9
46,5,10,1,3,8,4,10,3,10,7,9,0,10,3
47,9,3,2,0,3,10,3,7,0,5,9,7,9,4
48,2,9,2,0,1,5,2,10,9,8,0,0,5,9
49,8,6,0,0,2,4,3,0,8,8,7,0,2,6
50,3,9,3,4,3,6,3,10,2,5,10,10,7,1
51,5,1,9,7,9,1,3,5,8,7,6,1,6,1
52,1,3,3,9,10,7,6,4,9,7,0,0,10,1
53,10,0,6,0,0,7,4,0,3,10,5,6,5,2
54,9,6,6,8,10,3,8,4,7,3,10,1,5,10
55,4,9,3,1,0,7,1,2,2,3,8,1,7,8
56,7,2,0,1,8,1,3,10,1,5,1,3,7,1
57,7,2,9,5,7,8,10,6,9,6,5,8,3,1
58,1,4,4,4,8,0,10,2,6,2,9,10,4,9
59,8,7,5,8,5,5,5,8,8,6,2,7,10,9
60,4,4,9,6,7,4,8,7,5,8,6,3,4,9
61,3,5,1,3,8,9,0,4,7,1,8,6,6,10
62,5,0,0,6,0,9,9,8,10,8,10,1,9,9
63,9,8,0,8,2,5,2,3,4,3,8,7,5,9
64,2,10,3,4,3,10,3,0,6,0,10,10,6,7
65,7,6,3,9,2,3,2,6,3,1,5,0,3,0
66,4,7,3,0,3,3,5,6,7,6,7,0,4,8
67,6,4,2,1,6,3,7,9,3,4,4,1,8,8
68,0,5,7,2,8,0,9,2,3,8,10,3,1,7
69,8,5,2,0,6,10,10,6,10,8,10,1,10,2
70,7,4,7,4,4,2,7,2,5,9,2,8,1,4
71,6,7,8,1,8,9,2,3,0,3,6,10,4,8
72,0,8,4,1,5,2,4,4,5,8,3,0,4,8
73,4,4,2,10,10,1,4,0,0,1,1,2,7,7
74,10,10,2,0,5,3,3,8,5,3,9,6,0,7
75,1,1,9,3,9,8,4,2,0,0,10,1,3,9
76,9,9,10,7,1,8,9,0,2,9,10,6,10,4
77,5,3,1,3,3,6,0,9,2,9,10,9,0,5
78,6,10,6,2,1,9,4,7,0,0,6,1,7,1
