0,1,2,3,4,5,6,7,8,9,10
6,8,100,5,8,5,1,4,3,1,72
1,6,60,0,6,1,1,0,6,4,0
0,10,33,7,10,8,10,8,5,1,80
1,10,39,8,2,10,4,8,10,10,57
2,5,91,2,9,1,10,3,7,8,88
4,5,8,9,2,10,7,10,10,1,60
10,7,61,8,6,1,8,1,9,2,22
2,6,96,5,9,10,4,7,10,8,73
9,6,12,9,1,5,6,7,7,10,0
8,2,8,1,3,1,0,3,8,7,89
3,1,4,5,5,10,0,9,7,0,17
9,4,17,3,3,6,10,2,9,9,48
10,1,56,9,1,0,7,0,10,9,58
4,8,12,2,5,1,1,5,4,4,52
3,9,62,10,10,4,7,5,1,10,0
3,4,21,9,0,1,9,4,0,4,27
3,10,54,2,8,1,1,7,9,7,17
8,10,42,4,1,6,0,0,4,8,0
5,7,11,4,5,10,8,7,8,5,54
2,1,76,4,7,4,6,5,6,10,15
6,8,35,5,1,8,3,0,0,0,33
3,9,78,7,0,7,2,10,3,6,34
6,7,100,2,6,4,5,2,8,8,83
7,4,57,1,10,0,1,3,2,8,15
2,4,37,9,0,4,5,1,2,6,10
0,1,23,10,0,5,4,8,1,7,14
7,9,99,1,9,6,7,6,0,6,94
4,9,15,10,4,2,6,1,2,9,47
3,9,64,9,5,2,6,9,10,1,14
0,5,11,3,8,4,6,3,9,8,80
9,9,62,1,4,8,9,2,7,6,42
9,8,4,0,7,5,3,0,5,3,25
2,6,28,10,6,1,2,5,4,2,34
0,10,69,0,3,10,0,2,4,5,92
7,7,58,9,8,0,1,6,9,8,68
3,7,80,8,1,4,6,5,9,9,76
6,2,64,1,8,6,5,7,5,4,0
2,2,33,1,0,0,3,2,8,10,44
8,10,58,6,5,7,10,5,4,5,44
10,1,21,1,4,8,6,9,3,0,47
3,6,90,1,9,7,2,3,3,10,66
6,5,16,6,3,1,9,10,5,9,34
8,0,16,0,4,6,2,3,1,7,7
6,9,2,5,4,9,6,1,6,8,34
5,4,48,0,10,0,9,2,0,1,81
3,2,25,1,7,2,1,7,3,0,6
6,10,56,2,3,1,4,1,6,9,12
4,0,38,0,9,2,4,4,0,7,73
8,4,45,7,10,0,8,7,10,9,29
7,9,50,3,4,0,3,8,6,2,65
2,5,94,1,6,5,0,8,5,5,26
5,8,64,6,1,8,9,5,3,10,15
7,0,9,7,0,10,5,0,0,9,60
6,10,26,6,3,9,3,1,5,0,24
1,4,59,1,8,9,6,9,8,0,97
8,8,33,9,8,0,9,9,7,9,36
0,2,39,0,9,1,8,6,6,7,25
9,6,47,5,2,10,6,8,2,5,91
10,1,38,10,4,4,10,8,3,4,51
2,5,90,9,5,10,5,9,0,6,96
1,5,16,3,4,5,10,7,4,7,31
7,9,92,8,7,6,3,4,0,4,58
7,5,19,9,3,1,4,3,3,0,35
9,2,29,6,8,0,5,7,3,4,40
9,8,70,3,10,7,2,9,6,5,58
4,8,6,9,10,3,0,4,3,8,88
4,1,31,5,2,0,0,0,8,3,18
9,1,6,2,1,10,8,9,0,5,29
10,7,56,3,6,10,5,2,1,3,2
0,3,11,3,2,2,8,7,5,5,79
10,6,92,0,10,7,8,2,10,1,61
7,10,98,0,7,5,5,8,1,10,4
6,3,24,4,10,10,0,3,8,7,8
4,7,87,9,8,7,4,3,2,7,29
7,10,10,3,10,2,4,8,1,6,66
10,2,16,6,2,2,1,5,0,9,65
4,3,11,6,2,7,1,3,10,4,100
9,4,60,0,7,9,8,1,5,9,18
10,4,0,9,6,2,7,5,0,10,98
8,5,100,6,8,5,3,6,8,10,82
4,7,38,8,3,1,1,7,6,2,39
2,8,83,2,1,9,5,3,8,8,55
0,3,71,5,3,9,6,8,2,8,27
0,9,32,8,10,4,8,6,0,6,13
1,4,97,4,2,5,5,7,3,7,42
2,0,63,4,7,5,5,7,1,6,5
0,2,80,7,2,6,1,9,1,0,35
8,4,35,1,7,10,9,2,4,8,61
2,2,82,7,2,6,6,7,6,9,64
8,3,65,9,10,6,3,10,7,10,57
7,8,68,9,4,0,10,2,4,10,17
8,4,90,10,2,9,3,1,0,6,41
6,0,4,4,3,3,4,9,0,3,99
1,3,71,4,6,10,10,2,7,9,49
1,5,44,4,0,0,0,9,9,2,36
10,0,91,4,6,0,3,8,10,2,34
8,7,33,5,7,3,4,0,6,0,15
7,4,91,8,6,6,6,0,1,2,13
9,10,26,7,10,5,1,7,3,5,87
2,4,88,4,2,5,5,0,6,5,76
4,0,89,2,3,4,3,9,2,1,46
8,10,96,3,0,1,5,9,1,6,83
2,5,44,2,0,0,4,10,7,8,34
2,6,33,10,8,0,5,2,2,6,81
5,10,11,10,2,2,8,1,5,0,24
2,2,29,9,6,2,5,6,1,6,86
6,7,62,6,9,3,10,1,3,6,58
9,0,11,10,3,2,7,9,10,0,85
8,4,17,3,1,3,9,10,1,3,11
2,7,34,3,2,8,9,0,9,8,78
7,7,72,2,3,1,3,6,0,4,68
10,4,51,5,1,6,0,0,5,7,50
5,5,78,6,9,4,10,10,7,5,95
1,6,89,1,8,10,0,0,9,4,46
2,1,36,10,0,6,2,7,5,2,55
10,8,79,2,9,9,0,3,2,10,57
0,0,88,2,8,1,2,1,9,4,61
7,6,99,8,6,8,10,10,6,5,46
4,1,5,4,9,0,5,5,9,4,22
4,10,18,0,5,9,1,8,3,5,40
8,0,61,6,7,6,10,4,7,1,7
6,4,67,4,0,6,1,9,5,7,21
3,3,17,2,2,3,3,4,10,6,24
2,5,69,8,5,7,6,7,1,0,27
4,1,6,10,0,8,8,0,9,4,43
10,6,93,9,0,10,2,10,5,4,35
8,1,78,3,1,4,0,9,7,8,11
4,6,12,7,3,8,0,2,8,5,47
0,8,37,8,9,9,3,9,6,4,18
7,1,87,3,10,1,9,3,0,6,83
6,5,81,10,10,8,5,9,3,4,3
8,1,95,9,10,8,3,4,5,1,74
7,8,64,8,5,5,3,7,5,1,29
8,1,39,5,7,7,2,1,8,9,85
5,4,8,10,7,5,5,2,5,9,51
4,2,28,3,3,3,8,10,9,9,16
9,6,95,5,6,0,6,2,9,2,41
0,2,17,5,10,1,5,4,10,4,95
0,9,26,9,8,8,5,10,1,2,22
5,9,8,0,1,6,10,6,4,7,51
2,4,7,1,0,10,6,6,2,1,10
3,6,32,5,1,10,6,8,8,8,34
9,9,28,4,3,4,6,0,9,2,89
2,6,75,8,6,10,8,9,9,0,65
4,6,15,10,6,9,8,3,0,5,90
10,0,66,4,7,3,9,7,9,1,72
5,10,76,4,1,7,0,10,2,7,13
4,4,88,2,8,10,6,4,2,2,6
5,2,19,4,9,8,5,0,9,1,5
9,9,77,2,5,4,9,7,1,7,96
6,6,51,2,4,9,9,1,2,4,56
1,10,91,6,3,5,0,4,0,2,11
1,4,20,4,6,6,3,1,10,7,29
5,0,89,3,3,5,5,0,0,5,4
7,0,8,8,4,6,5,3,5,8,74
4,5,31,7,9,2,2,8,9,1,26
6,1,41,5,0,10,10,3,3,9,27
8,4,14,2,7,3,8,8,6,3,28
3,6,64,2,4,6,4,7,4,5,4
10,9,74,10,5,8,1,6,4,10,41
6,5,68,1,7,6,3,6,0,5,49
6,8,10,1,5,6,10,4,6,1,89
1,7,1,10,0,2,1,0,0,1,21
6,0,1,3,2,3,1,8,0,3,41
7,1,35,10,3,3,7,8,2,4,18
10,1,99,4,10,2,4,4,2,2,57
7,6,10,8,5,7,10,3,6,1,1
7,0,74,8,8,0,4,0,8,10,36
6,4,23,5,9,3,6,5,5,3,82
2,0,10,9,4,10,8,4,4,2,20
6,7,97,10,6,1,6,5,5,3,27
