,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,0,1,10,4,9,2,0,4,9,3,0.0
1,2.0,,9,8,9,6,2,10,2,10,10,7,
2,,1.0,9,6,7,7,7,7,9,0,9,8,9.0
3,10.0,0.0,5,2,2,1,2,1,2,10,0,1,1.0
4,,3.0,3,4,4,0,4,4,10,3,0,5,9.0
5,,,6,9,5,7,5,3,0,2,6,8,
6,,,7,9,0,1,7,3,0,3,2,10,
7,5.0,4.0,4,6,10,1,10,1,3,10,10,6,10.0
8,0.0,,2,3,1,1,2,7,2,0,8,0,0.0
9,9.0,,3,8,9,10,2,9,9,1,7,2,
10,,7.0,0,0,7,0,0,2,2,8,10,0,
11,,1.0,3,6,2,7,0,9,0,4,3,7,
12,9.0,3.0,2,4,8,6,10,10,9,7,1,4,1.0
13,1.0,,8,6,8,2,10,10,5,10,7,1,
14,9.0,,6,1,1,8,5,9,8,6,0,3,
15,6.0,,9,5,10,0,4,0,3,8,0,10,
16,,5.0,8,4,2,6,5,3,7,7,4,8,5.0
17,,,0,0,2,6,3,2,10,1,9,6,2.0
18,5.0,,5,5,7,8,1,9,8,1,3,7,3.0
19,2.0,,9,4,1,8,9,4,9,6,4,5,
20,9.0,9.0,1,8,4,2,7,1,9,10,4,2,6.0
21,10.0,,9,8,6,2,6,9,10,0,5,2,
22,0.0,,1,8,10,5,1,7,9,4,2,4,4.0
23,,,7,4,4,6,9,5,3,3,3,3,3.0
24,1.0,,10,6,8,2,1,8,2,9,5,5,
25,0.0,,5,5,1,9,2,5,8,3,2,9,6.0
26,,2.0,8,9,3,9,3,5,5,0,4,6,9.0
27,,,2,6,8,5,7,8,2,0,1,3,5.0
28,,,6,10,1,7,3,1,1,9,5,1,
29,,9.0,9,0,7,5,9,1,9,4,1,8,10.0
30,,,10,5,4,10,8,8,4,6,9,5,
31,,,1,5,5,4,7,6,7,2,7,3,10.0
32,1.0,,4,7,4,5,4,8,6,2,5,3,9.0
33,0.0,3.0,0,8,4,8,0,8,2,8,5,8,
34,,,3,6,0,4,0,6,7,8,9,6,10.0
35,7.0,,7,8,4,1,0,2,6,2,6,5,
36,,8.0,9,0,4,7,6,7,9,10,0,8,0.0
37,4.0,,0,6,6,4,6,0,6,4,0,6,6.0
38,0.0,10.0,4,1,10,8,6,10,3,3,2,5,1.0
39,3.0,,9,0,4,1,5,10,7,9,7,7,10.0
40,4.0,,6,3,1,10,4,4,9,5,6,4,4.0
41,,,8,5,7,8,8,6,4,5,10,6,2.0
42,6.0,,4,2,2,4,4,6,7,0,8,10,
43,8.0,,0,0,2,10,0,1,9,2,5,4,
44,,4.0,8,3,7,2,5,2,9,4,0,7,
45,,1.0,7,10,1,4,8,4,0,5,5,10,
46,7.0,0.0,1,3,0,9,8,3,2,3,0,5,
47,,,6,9,9,5,9,3,8,10,5,2,
48,,8.0,2,6,1,6,0,0,10,5,1,10,1.0
49,8.0,,0,3,7,3,10,4,6,2,6,3,5.0
50,6.0,,6,7,10,3,10,5,0,4,5,8,4.0
51,,9.0,3,5,3,1,0,7,7,0,10,8,
52,10.0,,0,6,5,0,2,9,5,8,8,4,2.0
53,9.0,8.0,5,5,1,9,8,7,9,9,10,0,
54,,,4,1,5,6,10,7,0,10,1,9,9.0
55,,6.0,2,6,9,3,10,8,3,9,4,3,
56,8.0,1.0,2,1,3,1,3,7,10,6,2,5,
57,,,10,7,3,8,8,9,0,1,2,0,2.0
58,2.0,,2,0,10,10,10,6,6,3,1,3,
59,7.0,2.0,4,0,10,0,5,10,4,2,2,1,
60,7.0,,6,0,1,9,4,3,1,5,7,9,
61,,,9,1,2,9,3,3,5,4,5,8,
62,,,3,3,1,2,10,4,2,10,3,4,0.0
63,9.0,,6,0,10,9,9,0,7,10,7,8,3.0
64,9.0,,8,4,6,1,8,3,0,7,7,6,
