,0,1,2,3,4,5,6,7,8,9,10,11,12
0,8,52,24,10,78,84,31,10,65,64,12,55,92
1,7,1,46,4,62,52,8,1,15,12,62,38,8
2,3,24,69,1,25,91,11,6,80,3,48,66,99
3,4,94,86,10,16,63,88,4,56,14,26,53,30
4,1,23,42,2,72,35,52,5,84,86,47,83,19
5,4,30,85,5,10,35,7,5,54,91,81,59,34
6,1,21,49,2,69,84,91,5,93,87,12,90,95
7,9,79,65,7,48,47,52,5,34,94,5,81,2
8,0,38,25,9,20,78,97,4,1,91,78,39,8
9,10,23,4,3,91,69,16,0,27,30,17,71,67
10,0,59,77,2,78,61,98,9,84,18,23,27,14
11,9,43,86,5,82,22,71,3,16,27,3,56,67
12,6,38,24,9,34,43,5,0,40,52,71,9,28
13,0,60,41,2,85,49,94,3,26,39,16,25,1
14,4,25,24,6,81,28,51,3,0,53,100,2,27
15,9,30,8,9,53,5,97,3,23,1,27,10,50
16,10,96,77,8,13,36,26,4,46,4,23,39,36
17,1,17,6,7,84,99,38,2,79,18,97,56,92
18,3,100,18,5,87,80,97,7,94,31,94,61,18
19,8,52,3,10,62,31,7,1,53,16,15,91,10
20,1,14,100,9,22,39,76,1,18,37,30,0,89
21,10,60,91,2,64,73,76,8,86,15,19,56,68
22,7,49,50,7,87,87,53,8,96,14,75,70,31
23,2,70,32,6,60,35,44,2,1,23,95,83,25
24,9,0,45,1,53,4,23,8,35,61,65,56,59
25,7,82,90,1,55,63,75,0,63,82,24,58,70
26,9,52,6,10,28,85,96,7,94,65,65,62,99
27,7,73,48,3,14,85,11,7,84,77,8,71,40
28,10,23,88,9,45,6,67,0,80,47,98,45,94
29,6,5,36,3,57,54,91,1,87,64,81,31,40
30,7,65,50,1,35,0,63,0,38,80,11,44,28
31,6,86,88,10,26,97,63,3,46,28,4,36,74
32,9,37,94,7,49,47,80,1,21,10,10,81,45
33,7,78,25,1,69,53,87,4,100,97,85,94,54
34,9,94,15,1,95,89,79,1,21,3,77,86,20
35,4,53,32,7,83,6,46,5,45,89,25,53,92
36,7,25,12,4,64,53,71,2,40,46,44,35,84
37,1,53,38,1,25,54,34,0,66,1,68,44,57
38,4,45,87,2,72,2,41,7,67,8,34,70,54
39,1,59,77,7,14,73,61,0,92,31,61,33,44
40,10,39,57,3,3,56,36,8,89,97,70,83,26
41,10,14,49,0,67,0,16,7,23,55,31,72,48
42,0,55,58,0,10,18,70,2,93,17,91,43,42
43,9,91,16,3,57,12,83,2,87,86,45,25,5
44,2,87,88,2,26,81,3,2,19,30,86,99,95
45,4,92,48,5,3,74,81,6,85,2,41,4,12
46,3,51,50,5,65,22,39,7,35,6,92,63,70
47,10,4,21,2,19,95,66,5,93,47,74,55,37
48,2,39,40,10,100,38,11,1,5,84,13,18,86
49,4,28,90,7,81,47,96,10,33,40,0,72,46
50,2,61,76,6,77,0,93,7,54,66,69,8,63
51,10,40,6,3,12,38,66,6,68,50,83,6,13
52,1,86,30,8,81,1,85,4,13,75,45,76,58
53,6,36,88,4,99,1,54,10,7,58,66,23,99
54,8,73,25,7,14,54,96,10,15,2,79,61,45
55,3,70,34,1,63,88,72,7,89,39,62,15,57
56,4,27,51,10,62,94,64,2,17,57,8,24,70
57,9,23,41,1,81,65,50,3,37,62,15,7,69
58,0,10,39,2,33,10,30,5,59,20,92,67,40
59,10,81,34,9,60,51,66,7,39,51,52,7,92
60,5,92,65,5,21,31,71,7,14,26,40,7,22
61,9,50,10,0,72,14,40,4,14,91,80,72,7
62,10,76,40,9,93,88,19,10,23,94,53,81,15
63,1,0,47,0,24,99,68,2,89,5,58,21,42
64,10,65,92,6,87,9,32,7,10,98,51,86,80
65,10,82,53,2,11,10,58,7,27,25,50,23,83
66,7,49,61,4,24,47,23,4,15,30,36,73,49
67,5,32,53,5,87,74,41,9,2,57,25,89,89
68,9,16,66,7,59,17,100,4,94,57,15,91,53
69,6,14,57,8,15,51,51,10,92,21,12,28,64
70,9,94,17,2,95,28,88,2,0,38,88,50,25
71,3,87,85,0,99,24,13,6,44,58,71,72,51
72,7,39,98,9,63,29,2,1,59,70,54,49,31
73,1,56,17,0,43,1,7,10,20,71,61,92,67
74,10,68,64,1,99,46,48,5,29,69,27,80,1
75,5,72,86,2,12,12,4,6,45,79,18,37,100
76,6,97,26,2,24,91,78,0,32,21,55,19,73
77,1,42,54,1,88,64,74,10,5,33,86,60,83
78,1,24,83,8,16,19,44,8,28,93,13,38,20
79,3,82,71,9,98,51,1,6,94,0,77,84,5
80,10,3,73,10,50,19,99,8,12,74,83,68,28
81,8,52,68,7,62,25,91,8,8,66,54,95,59
82,7,29,86,9,37,95,75,8,13,25,33,88,21
83,10,100,5,6,59,48,17,4,2,87,74,30,68
84,3,21,36,2,37,10,60,6,72,35,70,32,91
85,2,68,46,6,80,83,57,10,73,80,27,41,12
86,5,32,0,7,2,93,7,5,18,2,71,50,13
87,1,5,41,1,57,73,69,4,54,55,18,62,47
88,7,46,30,6,82,35,65,1,17,63,99,61,54
