,0,1,2,3,4,5,6
0,9,91,4,74,65,55,4
1,8,65,10,48,94,1,3
2,4,49,1,61,36,68,10
3,4,42,5,58,68,61,9
4,0,52,8,74,8,39,6
5,8,85,4,44,93,18,1
6,2,72,4,91,84,12,0
7,8,43,10,61,26,3,8
8,9,51,8,85,46,34,3
9,6,82,8,13,80,92,8
10,2,97,2,96,39,47,4
11,4,34,4,55,41,70,5
12,3,63,4,12,63,22,4
13,3,4,1,25,28,88,1
14,0,60,10,65,4,29,8
15,9,17,1,45,75,5,0
16,4,100,4,20,96,96,0
17,3,22,8,74,79,49,3
18,6,72,10,55,90,54,7
19,0,76,4,57,10,69,3
20,10,20,2,46,49,17,1
21,6,80,2,18,40,4,1
22,8,42,2,70,90,99,2
23,9,28,1,33,28,92,2
24,7,66,10,23,44,97,3
25,4,72,0,30,29,15,4
26,8,25,3,43,17,23,4
27,8,17,10,71,89,67,1
28,0,55,5,54,32,91,5
29,2,89,6,45,67,22,3
30,6,21,8,7,51,71,9
31,6,68,1,39,96,61,7
32,2,37,3,97,79,26,9
33,6,31,7,8,5,1,8
34,1,11,10,91,9,89,8
35,1,53,2,6,5,36,5
36,10,30,10,64,44,29,6
37,2,39,7,76,38,40,7
38,5,64,7,84,13,90,2
39,0,80,0,0,43,53,4
40,5,12,4,80,16,65,0
41,9,70,9,60,9,6,5
42,5,18,7,67,49,76,5
43,8,84,9,62,84,87,0
44,10,38,0,95,74,7,5
45,6,4,10,14,32,1,3
46,0,41,0,10,69,90,3
47,5,52,5,95,19,57,6
48,3,45,3,37,77,17,0
49,8,100,0,70,76,6,6
50,0,62,4,56,97,84,8
51,5,15,3,36,51,13,10
52,7,67,1,28,1,48,8
53,9,28,2,25,42,87,7
54,1,75,2,94,40,56,6
55,7,45,6,52,67,72,10
56,3,73,8,58,73,17,6
57,8,20,1,37,3,22,0
58,6,72,3,93,4,15,5
59,10,0,9,53,96,18,6
60,1,42,10,33,61,79,7
61,0,99,0,70,28,23,8
62,2,49,6,71,41,93,2
63,4,91,0,32,19,15,9
64,6,52,3,35,5,14,1
65,1,61,4,71,72,46,1
66,10,6,7,20,8,51,10
67,8,73,1,31,3,68,7
68,10,51,1,15,54,33,0
69,10,99,1,19,35,89,4
70,9,81,2,17,42,31,2
71,0,89,7,1,55,57,1
72,5,15,7,2,83,41,8
73,10,6,1,83,20,5,10
74,1,40,9,19,43,83,1
75,3,72,4,59,82,31,5
76,6,61,2,31,92,17,1
77,7,73,1,26,49,54,9
78,8,68,1,82,85,1,4
79,1,83,6,24,32,3,10
80,4,9,2,70,85,86,2
81,6,7,3,36,3,19,2
82,0,10,4,37,31,27,10
83,7,12,0,95,20,28,1
84,1,42,5,27,90,33,7
85,10,1,6,32,88,12,3
86,1,57,8,73,31,61,9
87,2,85,8,83,72,11,10
88,1,31,4,53,84,33,6
89,3,28,6,51,69,44,4
90,5,43,2,40,31,3,2
91,8,64,4,23,95,38,5
92,7,85,10,18,62,59,3
93,0,52,4,50,96,40,4
94,7,26,8,53,54,16,6
95,1,66,6,98,91,23,9
96,9,96,5,9,97,44,1
97,7,80,1,99,97,88,6
98,10,53,6,63,10,51,5
99,8,16,1,96,18,59,9
100,1,32,6,93,11,34,0
101,8,26,9,33,97,23,9
102,10,89,6,38,45,21,10
103,8,3,10,64,11,73,10
104,5,72,3,47,90,10,5
105,7,29,3,74,20,23,0
106,7,97,7,99,81,56,2
107,10,26,8,35,25,21,6
108,6,7,3,26,10,42,4
109,5,94,4,92,39,60,6
110,6,13,2,92,79,8,4
111,6,81,7,50,74,74,9
112,4,99,4,85,78,39,4
113,0,57,5,3,45,34,1
114,8,49,2,2,50,71,8
115,10,81,10,85,47,38,9
116,2,63,10,73,35,88,7
117,8,73,6,86,2,81,8
118,7,35,10,0,52,18,2
119,1,55,3,70,92,87,9
120,4,96,7,34,67,86,2
121,4,92,5,52,50,43,9
122,0,73,8,62,77,11,7
123,8,87,0,16,72,91,5
124,5,55,1,1,95,45,5
125,1,97,5,59,91,56,7
126,7,98,7,82,91,98,8
127,8,61,2,83,96,4,7
128,8,51,3,86,100,43,0
129,2,95,7,70,35,59,1
130,4,0,3,93,59,81,6
131,1,33,7,80,60,42,4
132,2,12,5,82,65,70,8
133,6,75,5,6,52,65,6
134,0,4,1,24,85,88,8
135,10,21,9,21,25,95,0
136,9,59,10,11,24,87,2
137,5,86,2,44,52,51,1
138,2,60,8,29,42,4,4
139,2,89,0,95,1,53,2
140,8,92,4,27,32,54,2
141,9,73,6,56,83,77,10
142,0,31,5,13,98,97,10
143,10,88,9,23,82,86,1
144,2,94,5,90,55,44,9
145,4,90,2,68,85,87,3
146,5,31,0,50,100,12,10
147,10,94,5,87,4,66,3
148,0,100,8,59,95,25,5
149,7,34,9,11,88,10,7
150,8,93,10,29,37,47,10
151,4,41,9,53,15,19,3
152,2,62,10,79,1,10,8
153,0,31,5,12,76,6,10
154,1,94,7,60,65,93,8
155,6,21,4,33,5,85,10
156,7,79,1,21,33,82,10
157,2,90,0,1,37,90,2
158,5,38,2,86,2,9,5
159,10,72,0,0,80,11,2
160,10,14,8,30,27,89,10
161,7,26,6,64,4,4,10
162,4,8,0,74,49,82,9
163,7,39,6,31,27,95,2
164,4,62,6,21,58,61,5
165,5,33,6,38,56,55,2
166,4,24,3,51,53,60,6
167,4,9,6,43,2,13,2
168,3,16,6,34,47,57,9
169,6,87,3,25,31,99,10
170,6,49,1,88,8,40,8
171,0,34,7,84,40,6,7
172,3,11,0,28,87,65,8
173,0,49,7,13,10,26,9
174,5,35,5,41,26,97,5
175,8,86,0,18,65,70,9
176,3,50,5,52,72,98,6
177,6,76,8,53,3,17,3
178,4,97,0,44,81,8,2
179,1,92,6,24,93,28,5
180,8,31,10,64,49,42,9
181,4,84,2,40,73,55,0
182,3,67,10,50,33,30,8
183,0,31,4,18,86,47,2
184,3,31,4,41,32,73,9
185,10,24,9,54,66,79,4
186,0,56,5,24,52,47,7
187,4,15,6,50,24,36,2
188,6,4,6,64,67,46,9
189,0,86,7,45,69,11,2
190,6,60,7,85,76,3,1
191,1,13,10,77,6,59,10
192,7,57,3,34,93,59,2
193,6,7,0,99,80,61,6
194,10,97,8,63,74,79,8
195,10,32,3,21,92,59,4
196,3,74,8,54,33,6,8
197,0,1,10,87,83,64,4
198,5,14,4,26,82,55,10
199,10,21,5,92,85,17,2
200,8,54,1,100,23,83,5
201,4,82,0,96,2,64,4
202,5,31,1,9,18,37,1
203,6,1,9,93,38,74,3
204,2,61,7,5,67,89,7
205,4,61,6,96,54,67,5
206,0,36,0,55,60,30,2
207,6,69,6,39,86,58,3
