0,1,2,3,4,5
,10.0,1.0,3.0,,8.0
,8.571428571428571,3.6666666666666665,6.0,6.0,7.285714285714286
,7.142857142857142,6.333333333333333,7.0,6.0,6.571428571428571
3.0,5.714285714285714,9.0,5.333333333333333,3.0,5.857142857142858
3.75,4.285714285714286,6.0,3.6666666666666665,2.0,5.142857142857142
4.5,2.8571428571428568,9.0,2.0,1.0,4.428571428571429
5.25,1.4285714285714288,8.4,1.0,1.0,3.7142857142857144
6.0,0.0,7.8,0.75,2.25,3.0
4.0,3.0,7.2,0.5,3.5,3.5
3.5,3.0,6.6,0.25,4.75,4.0
3.0,3.0,6.0,0.0,6.0,3.5
0.0,4.0,0.0,8.0,5.875,3.0
2.0,4.0,5.0,7.666666666666667,5.75,2.5
4.0,4.0,10.0,7.333333333333333,5.625,2.0
0.0,10.0,8.25,7.0,5.5,5.0
1.0,7.0,6.5,7.5,5.375,4.0
2.0,4.0,4.75,8.0,5.25,3.0
3.0,1.0,3.0,8.5,5.125,8.0
9.0,1.0,2.625,9.0,5.0,7.333333333333333
9.0,1.0,2.25,4.0,4.0,6.666666666666667
4.5,1.0,1.875,4.5,3.0,6.0
0.0,1.0,1.5,5.0,2.0,7.5
2.0,1.0,1.125,7.0,3.0,9.0
4.0,1.0,0.75,1.0,4.0,8.0
1.0,1.0,0.375,1.0,5.0,8.0
5.0,1.0,0.0,4.5,3.0,8.0
9.0,9.0,3.0,8.0,3.0,8.0
6.0,8.333333333333334,10.0,2.0,2.0,8.0
3.0,7.666666666666667,6.0,8.0,1.0,8.0
5.0,7.0,7.0,5.0,5.0,7.0
7.0,6.0,7.5,4.5,5.25,6.0
9.0,1.0,8.0,4.0,5.5,5.0
4.5,9.0,8.5,5.0,5.75,10.0
0.0,9.0,9.0,6.0,6.0,8.5
6.0,1.0,5.0,7.0,6.2,7.0
0.0,9.0,4.5,4.0,6.4,5.5
3.0,5.5,4.0,1.0,6.6,4.0
6.0,2.0,2.0,9.0,6.8,2.5
6.0,4.5,2.0,8.0,7.0,1.0
6.0,7.0,3.0,7.0,9.0,10.0
9.0,0.0,3.0,6.0,8.333333333333334,8.833333333333334
1.0,1.0,2.3333333333333335,5.0,7.666666666666667,7.666666666666666
5.5,2.0,1.6666666666666667,1.0,7.0,6.5
10.0,4.0,1.0,6.0,5.0,5.333333333333333
8.0,3.0,10.0,5.0,3.0,4.166666666666666
0.0,10.0,5.5,4.0,2.0,3.0
3.5,9.166666666666666,1.0,3.0,3.666666666666667,2.0
7.0,8.333333333333334,3.6666666666666665,2.0,5.333333333333334,1.0
7.0,7.5,6.333333333333333,1.0,7.0,1.75
7.0,6.666666666666666,9.0,1.0,4.0,2.5
7.5,5.833333333333333,0.0,0.0,6.0,3.25
8.0,5.0,9.0,0.0,8.0,4.0
8.5,3.666666666666667,8.0,9.0,8.0,3.25
9.0,2.3333333333333335,7.0,5.5,7.5,2.5
10.0,1.0,7.5,2.0,7.0,1.75
9.0,9.0,8.0,3.0,6.5,1.0
8.5,6.0,8.5,3.8333333333333335,6.0,1.0
8.0,5.0,9.0,4.666666666666667,6.333333333333333,1.0
1.0,4.0,6.0,5.5,6.666666666666667,1.0
5.0,3.5,3.0,6.333333333333334,7.0,6.0
7.5,3.0,3.3333333333333335,7.166666666666667,9.0,4.5
10.0,4.333333333333333,3.6666666666666665,8.0,6.0,3.0
5.5,5.666666666666666,4.0,10.0,3.0,1.5
1.0,7.0,3.5,2.0,1.5,0.0
6.0,8.0,3.0,2.0,0.0,4.5
6.0,9.0,10.0,2.0,5.0,9.0
4.0,7.5,3.0,10.0,5.0,6.75
2.0,6.0,3.0,10.0,6.0,4.5
2.5,7.333333333333333,5.0,10.0,7.0,2.25
3.0,8.666666666666666,7.0,10.0,0.0,0.0
2.6666666666666665,10.0,6.0,10.0,4.0,1.0
2.3333333333333335,6.0,0.0,10.0,6.0,3.0
2.0,3.5,0.0,10.0,5.0,5.0
2.0,1.0,0.0,10.0,4.0,3.333333333333333
0.0,2.5,0.0,7.5,7.0,1.6666666666666665
0.0,4.0,1.75,5.0,8.0,0.0
0.2,3.25,3.5,9.0,9.0,0.0
0.4,2.5,5.25,7.5,9.5,0.0
0.6000000000000001,1.75,7.0,6.0,10.0,3.5
0.8,1.0,1.0,4.5,9.5,7.0
1.0,1.5,4.0,3.0,9.0,4.0
1.5,2.0,7.0,8.0,7.25,4.0
2.0,2.0,4.0,8.0,5.5,4.666666666666667
2.5,2.0,1.0,8.0,3.75,5.333333333333333
3.0,5.0,9.0,8.0,2.0,6.0
3.0,8.0,6.0,8.0,3.5,0.0
4.5,6.0,3.0,8.0,5.0,0.5
6.0,6.2,8.0,6.333333333333333,10.0,1.0
1.0,6.4,6.0,4.666666666666666,0.0,10.0
1.2,6.6,4.0,3.0,3.0,9.0
1.4,6.8,5.2,5.0,2.0,8.75
1.6,7.0,6.4,7.0,10.0,8.5
1.8,0.0,7.6,5.5,9.4,8.25
2.0,6.0,8.8,4.0,8.8,8.0
5.0,8.0,10.0,4.5,8.2,1.0
6.0,7.5,5.5,5.0,7.6,4.0
7.0,7.0,1.0,5.5,7.0,1.0
7.25,7.75,9.0,6.0,4.5,2.0
7.5,8.5,4.0,4.0,2.0,9.0
7.75,9.25,2.0,2.0,0.0,8.333333333333334
8.0,10.0,8.0,1.6666666666666667,0.5,7.666666666666667
8.25,6.0,7.0,1.3333333333333335,1.0,7.0
8.5,6.0,3.5,1.0,1.5,10.0
8.75,4.0,0.0,6.0,2.0,4.0
9.0,2.0,1.5,7.5,2.5,4.0
7.5,4.0,3.0,9.0,3.0,2.0
6.0,5.0,3.0,1.0,3.5,0.0
4.0,0.0,2.6,2.0,4.0,4.0
9.0,0.6666666666666666,2.2,3.0,4.5,8.0
7.0,1.3333333333333333,1.7999999999999998,4.0,5.0,6.0
5.333333333333333,2.0,1.4,5.0,5.0,5.0
3.6666666666666665,3.0,1.0,6.0,6.0,4.0
2.0,2.0,1.25,7.0,7.0,6.0
2.0,5.0,1.5,7.4,7.0,1.0
10.0,8.0,1.75,7.8,7.0,1.5
8.0,8.0,2.0,8.2,7.0,2.0
6.0,7.5,6.0,8.6,7.0,3.5
4.0,7.0,4.666666666666667,9.0,4.0,5.0
2.0,0.0,3.3333333333333335,8.0,5.0,3.0
3.333333333333333,8.0,2.0,7.0,4.0,6.5
4.666666666666666,8.333333333333334,3.333333333333333,6.0,6.5,10.0
6.0,8.666666666666666,4.666666666666666,5.0,9.0,10.0
5.0,9.0,6.0,4.0,7.5,10.0
4.0,9.333333333333334,7.0,3.0,6.0,10.0
5.5,9.666666666666666,6.333333333333333,2.0,4.5,10.0
7.0,10.0,5.666666666666667,7.0,3.0,1.0
8.5,4.0,5.0,9.0,6.5,2.5
10.0,9.0,3.0,1.0,10.0,4.0
7.5,2.0,10.0,8.0,10.0,5.5
5.0,4.0,9.0,6.0,9.5,7.0
6.0,10.0,8.0,4.0,9.0,8.5
0.0,4.0,6.6,5.0,2.0,10.0
0.8,9.0,5.2,6.0,8.0,9.0
1.6,8.6,3.8000000000000007,7.0,4.0,3.0
2.4000000000000004,8.2,2.4000000000000004,8.0,6.5,9.0
3.2,7.8,1.0,9.0,9.0,6.666666666666666
4.0,7.4,9.0,10.0,6.333333333333334,4.333333333333333
10.0,7.0,7.5,2.0,3.666666666666667,2.0
9.333333333333334,7.25,6.0,2.5,1.0,0.0
8.666666666666666,7.5,4.5,3.0,2.8,7.0
8.0,7.75,3.0,1.0,4.6,4.5
4.0,8.0,4.666666666666667,5.0,6.4,2.0
6.0,4.0,6.333333333333334,6.0,8.2,1.3333333333333335
8.0,3.0,8.0,7.5,10.0,0.6666666666666667
0.0,2.0,8.0,9.0,2.0,0.0
1.3333333333333333,7.0,8.0,8.0,2.6,2.6666666666666665
2.6666666666666665,5.666666666666667,4.0,0.0,3.2,5.333333333333333
4.0,4.333333333333334,0.0,4.0,3.8,8.0
2.5,3.0,1.0,8.0,4.4,10.0
1.0,2.6666666666666665,2.0,8.333333333333334,5.0,0.0
6.0,2.3333333333333335,3.0,8.666666666666666,4.875,1.0
6.333333333333333,2.0,4.0,9.0,4.75,2.0
6.666666666666667,8.0,5.0,7.0,4.625,3.0
7.0,6.0,6.0,3.0,4.5,7.0
7.333333333333333,4.0,3.5,3.5,4.375,9.0
7.666666666666666,2.0,1.0,4.0,4.25,9.0
8.0,6.0,8.0,4.666666666666667,4.125,8.666666666666666
3.0,10.0,1.0,5.333333333333333,4.0,8.333333333333334
1.0,10.0,5.0,6.0,3.875,8.0
