,0,1,2,3,4,5,6,7,8,9
0,2,1,6,6,3,1,8,3,2,4
1,10,1,10,0,7,6,2,0,6,1
2,7,10,3,5,5,6,8,6,8,8
3,1,10,3,4,0,0,0,1,2,2
4,2,8,1,7,4,1,8,5,7,7
5,2,0,5,6,10,3,4,7,7,9
6,9,10,3,6,1,2,10,2,4,9
7,4,0,10,5,9,3,2,1,7,3
8,1,10,2,2,3,4,0,0,10,0
9,6,5,2,8,6,3,6,6,8,8
10,8,0,9,0,5,6,10,6,10,9
11,4,8,10,2,9,1,6,1,9,7
12,7,3,4,5,4,1,4,10,9,9
13,2,2,7,8,1,2,8,1,9,6
14,6,3,6,9,9,8,9,1,7,1
15,0,6,4,3,6,3,7,5,5,2
16,5,8,4,8,6,5,8,2,8,8
17,9,0,9,0,6,2,2,8,1,4
18,3,7,7,3,8,3,10,3,7,9
19,4,4,4,9,4,3,2,8,10,5
20,10,6,8,2,6,0,9,0,6,9
21,9,10,7,1,5,2,4,3,5,2
22,5,2,0,6,3,5,4,9,6,8
23,4,6,2,0,5,2,1,2,0,2
24,1,1,0,2,3,6,1,7,9,7
25,3,5,9,10,0,1,3,6,8,9
26,8,6,9,0,1,2,4,7,1,2
27,2,2,2,7,2,10,2,4,4,2
28,8,9,9,8,2,7,8,0,9,10
29,2,5,4,2,9,1,9,7,4,5
30,0,1,5,10,5,7,2,3,8,10
31,0,5,7,10,0,9,10,2,6,1
32,10,5,0,10,8,4,1,3,3,7
33,8,4,7,9,8,4,7,3,7,2
34,1,6,3,4,6,0,1,6,8,3
35,9,8,9,6,10,10,6,10,0,9
36,5,10,3,0,4,0,7,7,1,7
37,3,9,10,3,3,3,8,10,6,1
38,1,1,4,1,8,5,10,6,1,7
39,10,4,5,4,9,0,6,7,8,10
40,10,1,5,4,5,6,0,8,0,3
41,7,3,3,3,10,2,2,1,0,2
42,1,5,3,4,5,4,7,6,9,6
43,7,2,1,5,10,0,9,0,7,2
44,1,2,0,9,9,0,7,9,5,8
45,6,5,4,6,3,1,5,1,1,8
46,8,5,6,4,8,9,3,0,3,9
47,9,7,1,3,4,8,5,6,9,1
48,1,9,3,1,8,9,8,9,7,3
49,7,7,8,7,4,3,6,6,6,3
50,8,2,10,4,1,0,2,6,2,2
51,7,1,4,4,9,10,2,4,3,8
52,5,6,7,3,4,1,3,0,2,9
53,4,8,1,3,3,2,5,5,5,9
54,3,9,9,2,3,7,6,9,2,7
55,1,8,6,5,2,2,1,2,0,7
56,8,5,3,3,8,9,1,5,6,10
57,6,10,6,2,1,5,1,8,5,2
58,0,10,2,5,1,8,4,9,2,1
59,0,7,7,9,6,9,1,10,2,1
60,4,9,0,1,3,3,2,2,4,10
61,5,7,4,10,10,10,6,0,7,0
62,0,8,3,5,8,7,1,4,9,2
63,2,1,2,7,8,7,3,0,8,9
64,8,5,10,7,9,5,10,3,1,3
65,3,1,8,9,0,7,10,9,4,8
66,7,2,8,3,1,1,4,8,10,7
67,4,2,3,5,9,2,8,8,6,10
68,7,7,1,9,5,1,1,6,0,0
69,7,10,5,6,1,1,8,9,9,6
70,6,6,8,9,7,9,5,1,3,10
71,9,9,8,5,3,5,9,2,2,9
72,9,2,2,4,5,5,2,7,9,3
73,3,6,0,2,4,1,9,10,10,6
74,4,4,8,2,4,3,8,2,8,9
75,6,7,8,4,5,7,1,9,9,0
76,9,9,9,7,6,8,1,3,1,5
77,9,3,9,1,0,3,10,1,7,5
78,5,3,0,8,9,1,3,0,1,6
79,5,2,5,2,10,6,10,10,1,8
80,5,6,4,0,5,7,6,8,5,0
81,1,9,7,9,10,9,5,10,7,3
82,7,4,6,10,4,3,8,7,8,7
