,0,1,2,3,4,5
0,7.0,3,3,4.0,3,5
1,10.0,3,7,0.0,3,6
2,,4,1,,7,0
3,5.0,3,5,,8,7
4,,8,0,,6,6
5,2.0,3,10,,5,4
6,2.0,2,4,,10,0
7,,7,9,5.0,8,2
8,8.0,5,8,,10,6
9,1.0,8,10,,2,4
10,8.0,3,2,1.0,3,8
11,2.0,9,0,,1,10
12,,5,2,8.0,2,1
13,,4,1,,10,0
14,0.0,10,2,8.0,0,10
15,,3,0,3.0,5,1
16,,10,9,2.0,8,3
17,,9,7,9.0,9,10
18,,10,0,,6,8
19,,4,1,2.0,6,8
20,1.0,6,6,,10,2
21,3.0,10,1,,2,9
22,,2,3,4.0,3,7
23,,7,10,,1,0
24,3.0,3,6,5.0,8,0
25,3.0,3,8,1.0,6,0
26,8.0,1,6,,7,9
27,,5,5,,0,6
28,,8,0,3.0,10,4
29,7.0,2,2,,5,4
30,,3,4,4.0,2,9
31,9.0,0,10,,3,8
32,,6,0,,0,0
33,7.0,10,10,,2,9
34,,1,3,,1,5
35,,7,2,,7,7
36,4.0,7,0,,2,9
37,10.0,10,5,2.0,10,10
38,10.0,1,2,9.0,7,10
39,6.0,2,9,,0,9
40,0.0,0,10,,7,7
41,0.0,8,0,,0,4
42,10.0,2,1,,8,9
43,,5,2,,10,5
44,,7,0,,7,4
45,,10,9,,9,7
46,,4,3,,0,2
47,,3,9,8.0,4,3
48,2.0,2,5,10.0,0,7
49,,9,3,,1,3
50,,5,2,7.0,3,8
51,,2,6,,8,0
52,,9,7,3.0,8,4
53,1.0,7,6,,6,0
54,,6,5,4.0,8,10
55,0.0,6,7,4.0,5,7
56,6.0,5,10,3.0,8,5
57,1.0,2,9,0.0,5,9
58,3.0,0,8,0.0,2,3
59,7.0,4,8,3.0,6,6
60,,6,9,,10,4
61,1.0,0,7,,7,9
62,6.0,1,8,10.0,0,1
63,10.0,8,6,,8,1
64,,1,6,,2,6
65,,0,1,10.0,8,10
66,9.0,4,3,1.0,5,10
67,,8,3,,3,2
68,7.0,4,6,,3,3
69,2.0,3,1,,7,10
70,9.0,3,1,,8,0
71,9.0,8,10,1.0,5,8
72,,9,6,,2,3
73,,9,10,6.0,3,0
74,,7,9,,0,9
75,,8,0,8.0,1,10
76,5.0,9,10,,2,7
77,5.0,0,3,,3,9
78,6.0,2,3,,1,10
79,6.0,0,2,,4,2
80,5.0,8,9,,1,1
81,9.0,2,6,,1,3
82,7.0,9,8,4.0,6,7
83,,3,5,3.0,5,6
84,,3,1,9.0,6,1
85,2.0,0,1,8.0,5,5
86,0.0,8,8,3.0,7,9
87,9.0,10,0,,2,10
88,,5,3,3.0,9,0
89,,9,3,8.0,0,7
90,1.0,3,1,,0,2
91,,9,9,,7,10
92,,3,5,6.0,3,7
93,5.0,10,7,1.0,5,5
94,,3,4,,3,6
95,,7,4,8.0,10,4
96,0.0,7,4,,10,8
97,,10,4,,3,6
98,9.0,6,6,5.0,5,0
99,7.0,3,7,9.0,0,10
100,0.0,3,3,9.0,2,3
101,,2,1,3.0,10,6
102,5.0,10,4,5.0,8,6
103,10.0,8,9,,8,7
104,7.0,2,9,,3,3
105,5.0,3,9,8.0,5,8
106,,1,10,9.0,7,6
107,8.0,10,7,,6,9
108,,2,0,8.0,3,2
109,7.0,7,10,0.0,6,9
110,8.0,1,2,,6,3
111,,4,2,5.0,7,6
112,10.0,8,4,8.0,9,8
113,,7,0,,8,2
114,,1,4,4.0,3,8
115,,4,0,0.0,4,0
116,,0,10,5.0,6,8
117,,10,3,6.0,4,5
118,,9,3,7.0,1,1
119,,7,3,,2,4
120,,8,2,,10,7
121,,2,5,,10,7
122,,9,2,,10,1
123,,10,6,4.0,7,5
124,,10,9,,10,0
125,,6,6,1.0,10,1
126,,3,9,,0,1
127,,0,5,,3,8
128,,4,0,,3,10
129,8.0,8,1,,2,8
130,3.0,7,7,3.0,2,5
131,4.0,10,8,0.0,2,7
132,8.0,5,7,5.0,3,1
133,,5,9,,3,7
134,9.0,6,2,,3,8
135,8.0,6,6,,10,9
136,,10,7,1.0,7,3
137,0.0,0,5,0.0,9,7
138,,5,8,7.0,8,7
139,,4,4,4.0,7,4
140,,7,7,,4,5
141,,8,2,,6,2
142,8.0,5,4,,0,4
143,,9,7,3.0,9,9
144,5.0,5,10,0.0,8,9
145,,10,5,,9,0
146,,0,6,10.0,9,1
147,3.0,6,4,,4,5
148,5.0,4,1,,3,2
149,,2,9,2.0,3,2
150,7.0,4,7,8.0,5,3
151,,0,1,,2,6
152,,4,8,3.0,6,4
153,9.0,7,9,,3,4
154,,8,0,0.0,4,1
155,3.0,2,6,6.0,7,5
156,,4,8,9.0,5,0
157,,3,0,,1,1
158,,7,9,,3,4
159,,5,1,9.0,0,4
160,,9,8,10.0,6,7
161,0.0,9,6,,8,4
162,9.0,6,4,8.0,9,9
163,,6,4,8.0,3,6
164,1.0,1,9,9.0,10,10
165,10.0,10,3,0.0,5,5
166,2.0,4,7,,8,0
167,,1,5,8.0,10,0
168,3.0,0,9,,9,1
169,,0,7,,4,4
170,6.0,0,10,,6,7
171,,5,8,,0,1
172,8.0,5,6,,2,7
173,,9,5,8.0,6,10
174,2.0,5,7,,8,2
175,,9,2,,9,9
176,2.0,5,5,,4,8
177,,5,8,4.0,7,7
178,1.0,3,3,6.0,3,10
179,,2,3,7.0,1,10
180,,7,5,6.0,9,1
181,3.0,6,7,1.0,6,8
182,,4,7,,9,10
183,,3,7,5.0,2,3
184,9.0,6,0,,10,8
185,7.0,1,0,2.0,4,0
186,5.0,8,0,8.0,5,4
187,10.0,9,5,,5,6
188,,6,3,2.0,10,6
189,,2,8,6.0,5,0
190,,2,3,9.0,2,0
191,9.0,0,3,,4,6
192,,10,1,,3,4
193,,2,7,,1,1
194,,4,4,,0,2
195,1.0,3,10,,8,4
196,,1,3,5.0,6,9
197,2.0,0,5,,7,5
198,,6,0,0.0,10,5
199,4.0,9,5,0.0,8,8
200,8.0,9,8,4.0,8,4
201,7.0,6,3,,8,1
202,,10,9,10.0,0,4
203,8.0,3,2,,8,10
204,2.0,5,8,3.0,3,7
205,5.0,4,5,,10,10
206,10.0,10,2,,1,6
207,1.0,9,7,,1,7
208,,9,4,,1,1
209,,0,5,5.0,4,10
210,,9,5,,1,9
211,,1,0,2.0,4,2
212,6.0,6,10,,10,6
213,,4,5,7.0,8,1
214,7.0,9,9,2.0,6,6
215,,3,3,2.0,1,0
216,9.0,0,1,,0,8
217,10.0,10,4,,1,0
218,9.0,0,0,,0,8
219,,5,4,8.0,5,1
220,0.0,7,9,,9,5
221,,9,2,,2,3
222,0.0,3,3,7.0,9,6
223,,2,9,,1,6
224,1.0,10,0,6.0,8,3
225,,4,6,6.0,2,8
226,,3,8,1.0,2,1
227,8.0,1,5,5.0,3,6
228,,5,5,0.0,5,8
229,,2,2,5.0,9,4
230,1.0,4,5,6.0,5,10
231,7.0,5,4,4.0,6,8
232,0.0,4,3,,1,5
233,9.0,2,4,,8,6
234,7.0,9,7,,2,6
235,7.0,6,10,,9,7
236,9.0,1,0,1.0,1,7
237,2.0,9,5,,7,0
238,10.0,8,1,,2,5
239,10.0,3,0,,7,2
240,3.0,6,6,10.0,2,5
241,,4,0,0.0,6,9
242,4.0,2,6,,1,2
243,6.0,4,8,6.0,7,6
244,,1,10,3.0,10,2
245,1.0,5,3,,7,2
246,10.0,3,10,2.0,6,0
247,0.0,0,4,,10,2
248,,5,2,10.0,4,2
249,6.0,1,0,,6,10
250,,5,8,0.0,9,2
251,8.0,5,6,5.0,3,8
252,5.0,6,3,5.0,8,5
253,2.0,0,1,,9,9
254,,10,4,8.0,10,8
255,2.0,0,9,,10,9
256,1.0,6,9,,1,10
257,0.0,0,10,,2,2
258,5.0,6,6,,4,0
259,10.0,3,2,3.0,5,9
260,,5,6,,1,2
261,3.0,5,6,9.0,10,9
262,2.0,5,0,,3,1
263,2.0,3,7,,4,7
264,9.0,8,2,,3,5
265,7.0,8,10,,10,8
266,,6,5,9.0,8,10
267,,6,8,4.0,1,0
268,,5,2,,1,3
269,,9,4,5.0,8,9
270,,6,2,8.0,1,1
271,,10,5,7.0,2,1
272,,1,1,4.0,7,9
273,6.0,4,9,,5,6
274,1.0,3,7,,1,5
275,,6,2,6.0,7,4
276,3.0,8,8,4.0,9,4
277,,0,2,,9,10
278,8.0,0,4,,3,7
279,10.0,5,8,,3,7
280,,1,9,,9,2
281,4.0,1,4,,5,4
282,,1,1,0.0,3,8
283,,5,1,0.0,10,4
284,5.0,0,0,,10,0
285,,3,4,,6,0
286,,10,3,7.0,5,4
287,1.0,8,4,1.0,10,1
288,,10,4,7.0,7,5
289,5.0,4,8,8.0,1,5
290,,7,3,,6,2
291,5.0,5,8,0.0,4,9
292,,4,4,4.0,9,8
293,1.0,3,0,,0,7
294,,9,10,,7,7
295,8.0,7,3,2.0,1,4
296,1.0,2,6,0.0,1,5
297,2.0,10,1,5.0,8,5
298,,4,7,6.0,2,5
299,,6,1,,4,6
300,0.0,1,8,,2,1
301,,5,2,,7,0
302,,0,0,5.0,3,1
303,,3,6,,4,1
304,,1,8,0.0,1,6
305,,0,9,,9,3
306,,0,3,,9,1
307,4.0,5,3,,9,4
308,6.0,4,1,,8,5
309,,8,7,0.0,7,3
310,6.0,0,6,,9,10
311,,7,6,,4,7
312,,10,3,2.0,8,1
313,0.0,6,6,,8,2
314,1.0,9,5,,4,4
315,0.0,5,9,3.0,4,5
316,0.0,0,3,,10,6
317,,5,4,,7,5
318,10.0,5,7,,4,6
319,,3,2,2.0,9,8
320,,3,4,9.0,0,5
321,2.0,7,9,,6,4
322,7.0,6,2,6.0,5,9
323,,9,8,1.0,4,5
324,,9,3,,4,6
325,9.0,10,10,,7,0
326,,7,7,,6,9
327,5.0,6,5,,0,0
328,4.0,9,4,2.0,10,9
329,,3,7,,1,8
330,0.0,5,3,,4,2
331,5.0,3,8,0.0,1,10
332,9.0,0,6,2.0,3,7
333,4.0,3,3,,10,10
334,,0,4,,1,2
335,,1,5,1.0,6,3
336,0.0,5,9,7.0,6,7
337,0.0,7,3,,4,7
338,3.0,3,3,0.0,8,2
339,,6,1,6.0,6,4
340,,1,4,,6,8
341,1.0,0,0,7.0,0,9
342,,10,2,10.0,0,9
343,,0,8,,3,4
344,3.0,4,4,,4,2
345,0.0,5,10,,4,2
346,2.0,3,2,,9,4
347,,0,10,,5,10
348,6.0,1,1,,7,7
349,8.0,6,8,,8,0
350,7.0,3,6,2.0,0,0
351,2.0,0,9,,8,8
352,,5,2,,1,0
353,9.0,6,10,2.0,5,3
354,5.0,4,3,,1,2
355,,1,6,9.0,3,2
356,6.0,5,8,9.0,10,4
357,,3,0,6.0,2,4
358,8.0,4,9,,8,9
359,6.0,3,10,2.0,2,0
360,1.0,3,5,0.0,8,3
361,7.0,6,9,,9,1
362,4.0,9,10,,9,4
363,4.0,8,9,,8,9
364,0.0,1,2,,3,9
365,8.0,8,3,,6,9
366,7.0,4,4,,6,3
367,4.0,6,0,0.0,1,0
368,6.0,4,10,7.0,6,9
369,,4,5,8.0,7,10
370,4.0,1,10,8.0,9,2
371,10.0,4,8,,2,8
372,,1,5,,4,6
373,,10,4,5.0,1,0
374,,1,9,,2,6
375,,7,4,5.0,1,6
376,,4,3,8.0,6,8
377,3.0,3,4,,10,10
378,,0,0,,2,9
379,10.0,0,5,,5,3
380,9.0,6,4,4.0,2,3
381,,7,10,2.0,1,8
382,,9,1,,6,6
383,1.0,8,9,,5,9
384,9.0,1,5,8.0,9,9
385,10.0,0,8,10.0,7,1
386,3.0,8,1,,1,10
387,,7,5,10.0,6,2
388,1.0,7,1,10.0,4,6
389,,0,6,,10,9
390,,4,10,,2,8
391,,5,0,10.0,4,10
392,,4,10,4.0,4,4
393,10.0,6,4,,4,3
394,,3,1,,7,2
395,,4,9,,9,10
396,,7,1,,8,5
397,3.0,10,5,,1,0
398,8.0,8,6,2.0,5,10
399,8.0,3,3,,1,7
400,,8,6,6.0,6,2
