0,1,2,3,4,5,6,7
6,1,3,4,0,39,8,46
6,3,0,1,0,96,7,13
3,9,9,4,8,72,0,83
3,10,10,3,9,62,5,21
2,3,7,9,9,4,0,52
1,8,8,5,7,47,1,100
10,2,1,9,1,31,5,3
4,6,4,4,10,83,3,64
2,3,7,3,3,21,6,100
0,3,4,8,9,71,8,31
6,0,4,1,9,56,6,6
1,7,10,7,0,53,9,24
2,8,6,6,8,70,1,79
1,8,8,10,10,49,7,72
1,2,8,0,6,14,10,69
2,6,9,1,4,61,6,84
1,9,3,5,1,67,6,73
7,1,5,7,8,82,2,36
8,5,7,1,2,52,6,88
10,0,4,10,10,28,2,82
0,9,0,7,1,61,8,95
4,4,1,5,6,46,8,74
4,9,5,2,10,9,2,49
8,9,7,5,4,20,8,27
9,1,1,7,7,67,1,73
4,9,1,7,9,56,5,62
0,1,5,0,2,32,8,84
7,3,1,2,8,79,9,23
5,2,5,3,3,6,6,1
10,3,4,10,10,83,9,89
6,6,9,1,6,4,6,41
10,10,5,10,0,80,3,97
1,2,10,1,5,44,4,29
3,6,2,5,4,26,4,89
3,5,10,6,1,79,10,11
7,10,3,9,1,93,5,20
9,7,6,9,5,78,2,9
0,1,5,8,8,20,4,13
1,4,1,3,0,24,3,65
1,5,6,6,5,8,1,49
7,1,3,7,8,19,9,61
1,4,8,6,0,78,3,25
6,0,0,2,6,50,7,54
6,5,3,1,2,27,0,61
2,0,1,6,9,82,4,59
0,7,0,8,6,77,4,83
5,9,5,2,2,88,8,54
5,7,10,8,3,21,3,6
0,8,1,8,6,1,7,15
5,8,9,1,7,89,1,87
10,7,8,8,5,55,9,96
2,4,0,3,4,23,9,89
3,8,6,3,10,88,2,52
4,2,10,10,7,41,2,90
0,8,5,9,9,1,6,78
5,5,6,7,7,4,6,77
3,4,0,10,3,86,1,65
1,9,10,6,9,4,7,19
7,1,2,9,2,78,10,20
0,7,4,1,5,90,6,26
7,6,4,7,8,84,1,69
1,7,2,5,1,6,9,52
4,1,1,5,10,53,8,79
1,7,7,1,2,44,8,84
6,8,2,3,10,93,7,21
3,3,9,1,10,89,8,17
6,10,4,3,3,39,4,91
7,9,6,10,8,13,5,81
10,4,3,5,2,56,6,98
7,8,8,0,2,94,9,0
9,9,9,10,5,62,9,1
7,6,3,4,3,35,9,74
0,0,0,2,8,86,9,8
5,4,9,2,1,73,8,6
3,4,9,9,7,89,10,39
6,1,10,5,1,41,7,93
8,6,8,2,6,95,5,79
6,6,10,1,6,11,1,75
7,2,0,2,1,11,0,93
6,3,0,5,0,79,6,33
4,6,3,9,2,8,4,72
3,8,7,0,1,43,9,4
7,5,2,5,10,39,9,67
9,5,5,8,4,62,0,24
6,0,6,10,6,12,5,79
8,4,4,5,1,51,3,8
6,1,10,0,0,28,3,22
2,4,4,6,4,97,9,20
9,10,4,8,3,12,3,91
1,5,6,1,1,96,2,40
5,1,9,8,6,4,9,4
3,5,1,7,1,10,8,47
1,10,7,8,8,81,10,95
9,3,1,8,0,84,8,1
0,9,3,8,7,7,2,12
9,7,7,4,7,23,7,29
0,4,2,9,8,96,4,1
1,2,5,2,2,32,10,92
0,9,3,8,4,18,1,65
8,6,1,1,5,35,4,8
4,4,1,8,4,5,9,6
8,7,8,4,1,61,1,72
3,2,3,1,8,12,3,89
8,10,4,4,2,42,1,0
3,1,10,0,2,89,10,43
1,10,9,1,0,85,4,19
6,6,6,5,0,41,2,47
6,1,10,6,2,49,2,8
2,4,1,5,2,92,4,64
2,4,0,1,2,18,8,89
7,1,3,10,1,26,4,82
2,3,4,5,8,64,10,68
6,10,0,2,0,9,7,43
0,0,6,8,3,71,3,68
10,10,6,2,0,1,8,19
8,4,0,7,1,23,1,14
9,10,0,4,0,41,10,94
3,4,5,5,5,28,1,41
5,8,9,7,8,45,6,22
7,5,5,0,10,25,5,52
1,4,3,2,3,88,8,100
4,8,0,0,8,74,0,9
0,0,2,6,3,47,5,76
3,7,10,1,9,45,9,64
2,1,10,7,7,84,8,96
0,10,3,7,0,20,7,80
3,2,1,1,6,22,10,14
8,9,3,1,6,5,0,95
1,3,10,7,3,94,1,18
9,9,4,10,0,79,5,100
7,7,8,2,5,86,2,13
3,7,6,6,6,96,1,15
3,10,10,3,6,74,2,62
10,2,9,10,6,31,2,45
0,3,1,2,5,26,8,58
7,4,8,6,8,33,10,59
3,1,3,7,7,26,6,83
7,7,5,4,3,75,2,7
4,4,9,8,10,34,8,100
8,2,2,8,1,97,10,53
3,8,10,0,6,18,1,70
0,3,9,3,7,24,1,80
4,10,1,0,1,7,3,0
7,10,7,4,0,70,2,50
3,2,6,5,4,89,7,61
5,4,9,9,2,12,6,95
9,9,9,5,7,48,2,46
3,7,5,5,8,9,5,31
1,8,2,7,3,87,8,42
5,0,2,5,4,69,6,23
8,0,3,6,10,25,1,80
5,10,5,3,1,36,8,34
7,0,7,0,9,61,4,6
9,10,0,0,3,37,9,85
10,10,10,4,5,95,6,59
4,10,1,6,6,16,9,9
