,0,1,2,3,4,5,6,7,8
0,,5.0,,,1,0.0,,0,7
1,,,,,2,,0.0,5,3
2,1.0,,5.0,,10,1.0,,5,5
3,0.0,5.0,,7.0,6,,6.0,5,4
4,,,,10.0,1,5.0,,9,5
5,3.0,,,6.0,2,,,4,1
6,8.0,,,6.0,3,9.0,,4,9
7,6.0,,2.0,,4,,9.0,2,3
8,,6.0,1.0,,6,,,10,5
9,,9.0,,,9,7.0,9.0,5,8
10,,6.0,7.0,2.0,6,,,3,3
11,0.0,5.0,6.0,8.0,10,9.0,10.0,5,8
12,,9.0,9.0,0.0,2,,,7,5
13,8.0,0.0,6.0,1.0,0,,9.0,1,7
14,,,0.0,2.0,1,,,8,8
15,10.0,9.0,2.0,,5,,0.0,0,2
16,,,6.0,9.0,10,,7.0,7,10
17,0.0,1.0,5.0,10.0,9,,,10,8
18,,3.0,,0.0,10,0.0,5.0,0,1
19,,,,,5,,8.0,6,4
20,1.0,4.0,,4.0,7,6.0,,9,3
21,,5.0,5.0,,1,,,4,2
22,,,,10.0,3,,,1,1
23,,,6.0,7.0,6,,,1,1
24,2.0,,,3.0,9,0.0,3.0,9,4
25,5.0,10.0,,6.0,3,2.0,9.0,1,0
26,6.0,10.0,,9.0,8,2.0,0.0,2,2
27,,,,,1,,,4,8
28,0.0,6.0,7.0,,1,,7.0,4,8
29,1.0,,,7.0,10,,5.0,4,3
30,,,1.0,5.0,10,8.0,8.0,4,8
31,,5.0,1.0,,8,,,4,10
32,,,,0.0,6,,5.0,0,4
33,,5.0,1.0,2.0,3,,10.0,2,5
34,,,,,4,,1.0,5,6
35,10.0,,4.0,10.0,5,6.0,,2,7
36,10.0,4.0,9.0,,6,,,0,1
37,8.0,,,9.0,0,,1.0,1,0
38,,4.0,7.0,7.0,4,7.0,,2,4
39,,0.0,,,4,6.0,2.0,2,1
40,,7.0,,1.0,1,,1.0,7,0
41,8.0,,,1.0,10,,3.0,5,9
42,10.0,,,7.0,2,7.0,3.0,0,5
43,,,1.0,3.0,4,,9.0,5,6
44,,7.0,6.0,0.0,2,,8.0,9,3
45,,,,,4,0.0,,4,0
46,,3.0,0.0,2.0,0,0.0,,7,2
47,,,1.0,4.0,10,,3.0,9,8
48,,,,1.0,4,1.0,3.0,6,9
49,10.0,,7.0,3.0,8,1.0,,4,0
50,,,,4.0,10,,6.0,9,0
51,1.0,,,,0,,,9,9
52,,2.0,,,10,,,3,0
53,,,,,6,1.0,4.0,8,6
54,,8.0,3.0,3.0,5,5.0,10.0,3,0
55,4.0,,,,5,,,10,10
56,,2.0,,,3,6.0,2.0,8,8
57,,,9.0,,10,,,3,10
58,0.0,4.0,,,5,7.0,,3,0
59,,,,,9,,,8,3
60,10.0,,2.0,5.0,5,,7.0,0,8
61,2.0,,,,3,,6.0,9,3
62,,7.0,,10.0,6,,9.0,10,8
63,,,,,10,,3.0,5,1
64,,4.0,,,1,,,8,2
65,8.0,,7.0,2.0,9,0.0,,3,5
66,3.0,,,4.0,7,3.0,0.0,0,7
67,,4.0,,,6,10.0,,2,2
68,2.0,2.0,,,5,3.0,8.0,2,5
69,,,8.0,5.0,4,3.0,,4,9
70,10.0,,,2.0,5,8.0,8.0,0,6
71,,9.0,,,7,2.0,,6,3
