,0,1,2,3,4,5
0,5,4,4,44,12,55
1,1,4,0,70,64,80
2,7,1,0,48,71,6
3,2,5,9,21,74,12
4,0,8,10,58,30,52
5,0,6,6,36,35,11
6,7,7,7,13,26,54
7,9,9,10,95,41,92
8,7,4,1,62,3,67
9,1,10,0,97,15,60
10,9,4,1,40,90,32
11,5,5,0,76,51,93
12,8,2,10,80,44,77
13,8,5,9,9,45,96
14,9,10,9,95,73,44
15,8,1,8,68,65,32
16,9,6,10,46,81,26
17,9,3,6,40,68,70
18,3,1,9,33,0,16
19,5,1,5,2,14,4
20,10,7,1,70,10,73
21,4,5,8,74,53,85
22,6,4,2,85,59,24
23,6,9,10,62,95,46
24,3,1,9,47,24,63
25,5,8,4,71,99,97
26,1,10,3,14,39,54
27,10,10,1,70,24,79
28,10,4,1,3,91,54
29,1,0,0,34,22,89
30,1,5,3,58,0,67
31,6,5,5,92,47,59
32,1,9,8,17,8,44
33,4,8,5,43,84,66
34,8,1,5,80,47,47
35,0,3,9,84,49,25
36,9,7,1,0,20,67
37,0,0,3,88,62,25
38,4,8,3,59,72,75
39,5,1,3,51,62,58
40,6,1,2,84,100,44
41,0,6,9,45,55,5
42,4,9,6,16,59,19
43,1,7,0,7,13,67
44,3,2,2,80,71,49
45,6,0,10,79,53,51
46,4,1,9,73,69,25
47,7,2,4,83,73,52
48,5,2,6,71,91,83
49,9,1,5,43,73,10
50,1,4,6,99,95,53
51,2,3,6,58,58,44
52,1,8,6,41,51,39
53,7,0,6,99,64,47
54,3,3,1,23,52,72
55,6,4,9,71,34,5
56,0,3,9,81,48,48
57,2,1,7,42,5,40
58,4,5,4,29,91,58
59,1,6,6,77,68,12
60,5,7,7,99,52,11
61,6,5,9,99,1,25
62,2,1,3,30,87,60
63,6,1,10,98,39,91
64,6,9,10,19,32,70
65,9,8,8,2,30,83
66,3,6,2,92,66,54
67,1,7,4,32,45,14
68,6,3,3,99,82,53
69,9,0,1,42,91,43
70,5,7,1,44,8,73
71,4,4,0,68,23,57
72,2,10,10,42,46,73
73,0,5,3,95,77,30
74,4,9,5,14,82,18
75,7,5,4,78,80,15
76,2,0,8,99,71,60
77,8,5,8,64,56,64
78,1,7,3,69,32,62
79,8,0,5,42,27,52
80,8,4,0,19,33,3
81,5,5,10,13,26,34
82,1,10,2,55,28,14
83,4,10,5,32,11,80
84,8,5,4,0,44,94
85,4,7,1,12,85,2
86,2,0,0,0,21,13
87,0,10,9,42,23,5
88,3,2,3,32,20,12
89,7,7,6,18,17,43
90,4,7,5,33,89,10
91,3,0,7,90,60,1
92,5,2,9,89,15,44
93,5,1,8,98,9,28
94,7,3,10,40,45,44
95,8,3,2,96,35,4
96,1,8,1,68,28,10
97,9,5,10,27,84,45
98,6,6,9,68,45,25
99,8,0,5,20,65,11
100,8,0,6,88,34,64
101,5,1,7,79,56,37
102,6,3,7,85,74,45
103,7,4,4,71,71,89
104,1,2,2,93,96,66
105,0,1,3,63,82,22
106,0,3,6,99,0,97
107,10,2,6,45,60,21
108,8,0,6,28,86,27
109,10,0,1,44,14,71
110,8,10,5,40,82,59
111,2,8,1,69,10,94
112,10,0,2,72,97,21
113,8,0,6,47,36,52
114,9,4,9,73,36,61
115,4,0,5,42,87,30
116,6,0,7,95,25,83
117,8,8,7,42,56,79
118,2,7,1,27,39,70
119,9,0,9,84,11,25
120,10,9,7,44,49,100
121,6,6,1,49,42,30
122,3,1,9,91,28,26
123,6,6,10,75,42,5
124,6,10,4,25,47,39
125,1,6,0,46,59,80
126,9,2,7,12,51,16
127,7,6,10,14,66,15
128,4,6,10,98,99,0
129,9,2,1,83,39,73
130,6,1,1,59,76,36
131,10,9,2,30,86,24
132,8,5,2,53,10,24
133,1,9,8,88,71,69
134,9,7,6,100,20,9
135,10,5,4,95,98,16
136,4,7,1,63,28,67
137,2,9,10,11,97,12
138,3,3,10,56,11,19
139,7,8,7,84,58,18
140,10,2,9,65,8,78
141,7,1,6,94,31,3
142,10,10,10,64,45,60
143,0,6,7,10,9,48
144,5,6,0,89,63,70
145,4,6,8,31,69,68
146,6,9,2,42,45,53
147,2,5,1,49,95,45
148,10,1,9,56,16,80
149,1,1,7,92,24,97
150,9,8,10,54,10,16
151,4,7,6,38,18,39
152,1,8,2,89,60,32
153,10,8,1,78,37,89
154,10,0,4,15,58,53
155,6,0,2,43,76,49
156,4,0,2,43,6,69
157,1,10,0,41,32,13
158,5,8,1,90,95,60
159,6,7,0,0,73,79
160,5,3,3,87,16,96
161,4,3,2,79,89,73
162,1,9,5,79,100,61
163,2,3,2,82,88,22
164,10,10,2,56,13,55
165,2,3,2,92,78,30
166,4,0,5,65,56,87
167,0,8,7,84,97,58
168,8,9,10,77,96,66
169,6,0,3,82,46,28
170,10,8,10,45,53,13
171,7,4,4,1,86,25
172,1,7,2,25,17,45
173,10,9,10,65,24,65
174,1,1,0,41,92,33
175,3,6,0,54,15,0
176,7,8,2,83,31,57
177,10,6,7,33,81,67
178,3,5,9,76,84,30
179,4,7,5,88,16,18
180,3,7,6,59,48,75
181,0,6,2,17,12,21
182,7,6,5,62,67,90
183,3,5,0,0,89,75
184,7,2,8,72,22,16
185,2,9,4,53,75,98
186,1,0,5,27,1,62
187,9,2,10,57,98,64
188,8,6,6,21,36,13
189,9,4,7,55,21,2
190,10,5,5,13,42,91
191,5,4,0,94,19,45
192,3,0,3,15,41,41
193,10,2,5,50,37,52
194,5,2,8,55,52,12
195,4,2,10,26,65,97
196,0,4,5,77,83,42
197,9,1,0,2,43,35
198,1,5,9,4,88,91
199,2,0,9,21,93,25
