0,1,2,3,4,5,6,7,8,9,10,11,12
,7,,8.0,7,,9,5.0,3,10,8,1.0,2
,6,7.0,5.0,8,,0,3.0,1,7,1,1.5,10
4.0,4,8.0,3.5,0,0.0,7,1.0,8,4,2,2.0,0
1.0,1,9.0,2.0,8,3.5,9,1.5,5,10,4,1.0,5
4.0,3,10.0,9.0,5,7.0,4,2.0,10,9,7,2.0,10
2.0,1,9.5,7.75,4,3.0,10,9.0,8,8,1,3.0,3
0.0,3,9.0,6.5,5,2.0,8,8.5,3,9,3,4.0,5
3.0,1,7.5,5.25,1,0.0,1,8.0,5,5,6,3.0,10
3.0,3,6.0,4.0,2,0.0,6,7.0,6,0,5,10.0,0
4.0,9,10.0,6.0,3,0.0,0,3.0,10,10,4,10.0,1
5.0,7,7.0,3.0,3,0.0,0,5.0,9,10,0,4.0,8
6.0,10,8.0,4.0,3,8.0,10,5.0,3,8,5,7.0,3
3.0,6,9.0,5.0,9,3.0,5,5.0,6,7,9,10.0,6
2.0,5,6.0,4.166666666666667,9,10.0,10,7.0,8,6,3,9.0,9
5.0,1,3.0,3.333333333333333,7,3.0,3,9.0,2,6,9,9.0,10
8.0,0,3.0,2.5,7,0.0,8,6.0,4,3,6,9.0,9
4.0,5,3.0,1.6666666666666665,9,2.0,2,3.0,2,10,1,9.0,1
3.0,0,5.0,0.833333333333333,3,3.0,4,0.0,10,6,10,9.0,4
0.0,10,7.0,0.0,8,1.5,6,0.0,0,6,8,9.0,3
8.0,9,9.0,2.0,3,0.0,9,0.0,8,6,5,10.0,1
5.0,5,8.5,4.0,7,0.5,7,0.0,6,6,3,3.0,9
2.0,9,8.0,6.0,3,1.0,8,7.0,0,2,3,0.0,5
5.0,5,7.5,6.0,4,3.5,9,7.166666666666667,9,0,4,0.3333333333333333,10
10.0,7,7.0,6.0,10,6.0,5,7.333333333333333,3,10,1,0.6666666666666666,8
9.142857142857142,1,5.0,6.0,1,7.0,7,7.5,3,6,0,1.0,8
8.285714285714286,0,6.0,6.0,1,5.0,2,7.666666666666667,1,10,4,0.5,4
7.428571428571429,0,7.0,6.0,3,3.0,4,7.833333333333333,5,5,3,0.0,10
6.571428571428571,6,8.0,6.4,5,7.0,2,8.0,2,5,0,8.0,8
5.714285714285714,10,9.0,6.8,7,4.0,10,6.0,8,10,3,8.0,2
4.857142857142858,7,10.0,7.2,9,2.5,6,4.0,7,0,0,8.0,3
4.0,4,4.0,7.6,5,1.0,2,2.0,3,2,2,9.0,6
6.5,8,8.0,8.0,2,2.5,8,7.0,5,9,9,8.0,5
9.0,8,8.0,8.0,6,4.0,1,2.0,9,6,6,7.0,8
8.0,10,5.5,5.0,10,4.0,6,4.0,10,9,2,6.0,9
7.0,7,3.0,6.0,0,9.0,7,2.0,0,2,3,3.5,7
6.0,3,3.6666666666666665,2.0,1,6.5,2,3.0,0,3,6,1.0,2
5.0,7,4.333333333333333,7.0,0,4.0,10,5.0,5,8,5,3.0,8
5.333333333333333,5,5.0,5.666666666666667,3,1.0,0,7.0,10,8,0,5.0,0
5.666666666666667,1,2.0,4.333333333333334,8,1.5714285714285714,4,8.5,9,9,2,7.0,2
6.0,3,6.0,3.0,5,2.142857142857143,3,10.0,2,9,8,6.5,7
0.0,4,10.0,4.4,0,2.7142857142857144,0,5.0,1,6,2,6.0,4
1.0,9,0.0,5.8,6,3.2857142857142856,8,10.0,7,3,0,1.0,7
2.0,4,0.0,7.199999999999999,4,3.8571428571428568,10,2.0,9,6,5,4.0,6
3.0,6,0.0,8.6,1,4.428571428571429,9,1.6,1,9,5,2.5,9
8.0,4,0.0,10.0,1,5.0,3,1.2,3,2,0,1.0,0
7.125,8,2.0,8.333333333333334,1,8.0,2,0.7999999999999998,2,1,1,4.0,2
6.25,0,5.5,6.666666666666666,2,6.0,0,0.3999999999999999,9,10,5,7.0,0
5.375,6,9.0,5.0,0,6.75,2,0.0,10,7,5,6.5,8
4.5,9,10.0,4.666666666666667,9,7.5,3,10.0,3,1,7,6.0,3
3.625,7,8.0,4.333333333333333,4,8.25,7,3.0,5,6,2,2.0,2
2.75,3,6.0,4.0,3,9.0,5,9.0,1,2,4,2.0,1
1.875,10,4.0,3.666666666666667,3,8.5,1,7.0,5,2,9,2.0,6
1.0,4,2.0,3.3333333333333335,1,8.0,2,9.0,1,7,8,3.5,2
1.0,3,0.0,3.0,7,6.0,10,2.0,9,5,5,5.0,10
1.6666666666666665,9,5.0,5.0,9,5.25,4,1.0,2,6,0,6.333333333333333,7
2.333333333333333,8,0.0,10.0,8,4.5,1,5.0,1,2,5,7.666666666666666,0
3.0,5,2.5,7.0,6,3.75,0,4.0,6,4,6,9.0,5
4.0,9,5.0,4.0,4,3.0,10,3.75,9,10,3,9.5,7
5.0,1,6.333333333333333,1.0,2,4.0,9,3.5,8,6,8,10.0,0
6.0,7,7.666666666666666,7.0,7,5.0,9,3.25,0,7,2,3.0,0
7.0,3,9.0,8.0,6,4.5,9,3.0,6,1,4,5.0,1
6.4,3,9.0,5.0,1,4.0,7,2.5,9,3,8,5.75,3
5.8,6,9.0,6.5,2,5.0,0,2.0,10,1,2,6.5,0
5.2,1,9.0,8.0,6,6.5,2,9.0,1,3,4,7.25,8
4.6,9,8.666666666666666,6.666666666666667,8,8.0,2,3.0,5,3,4,8.0,6
4.0,0,8.333333333333334,5.333333333333334,4,6.0,6,6.0,4,0,2,9.0,10
4.0,7,8.0,4.0,4,6.0,5,7.0,4,8,9,7.5,6
6.0,8,4.0,3.5,9,6.0,4,4.0,1,10,4,6.0,2
8.0,7,5.0,3.0,7,6.0,7,0.0,4,10,0,6.25,10
6.0,2,6.0,4.0,5,6.0,1,6.0,0,3,6,6.5,1
4.0,5,7.0,4.5,0,6.5,0,7.5,1,2,10,6.75,4
2.0,3,8.0,5.0,9,7.0,10,9.0,9,2,4,7.0,4
0.0,1,9.0,5.5,0,8.0,8,1.0,7,9,3,4.666666666666666,2
1.3333333333333333,2,9.25,6.0,0,9.0,3,3.0,3,10,1,2.333333333333333,5
2.6666666666666665,1,9.5,2.0,6,9.0,5,1.0,10,10,8,0.0,1
4.0,8,9.75,2.6666666666666665,1,10.0,1,2.5,5,6,6,2.0,6
4.5,7,10.0,3.333333333333333,6,8.0,2,4.0,7,6,5,8.0,6
5.0,10,4.0,4.0,4,6.0,8,3.0,7,3,5,5.5,2
5.5,9,5.5,5.0,0,10.0,7,2.0,4,8,5,3.0,7
6.0,3,7.0,6.0,8,5.0,3,4.0,8,1,6,0.0,3
7.333333333333333,7,9.0,5.0,6,0.0,3,5.5,4,5,9,2.0,9
8.666666666666666,5,8.666666666666666,4.0,8,2.3333333333333335,1,7.0,5,5,1,4.0,7
10.0,7,8.333333333333334,3.0,9,4.666666666666667,8,1.0,6,0,10,4.5,6
10.0,5,8.0,2.0,6,7.0,2,2.25,3,10,10,5.0,1
9.0,3,6.0,1.8,1,5.0,9,3.5,4,5,3,5.5,3
8.0,7,4.0,1.6,9,3.75,10,4.75,2,0,10,6.0,7
7.0,1,2.0,1.4,3,2.5,8,6.0,7,8,7,2.0,9
5.666666666666667,6,8.0,1.2,10,1.25,10,4.5,4,2,6,3.333333333333333,9
4.333333333333334,1,7.0,1.0,3,0.0,10,3.0,10,0,1,4.666666666666666,4
3.0,4,6.0,5.0,6,9.0,4,6.0,6,7,9,6.0,7
1.0,0,8.0,5.0,7,8.0,5,9.0,5,5,9,7.333333333333333,10
1.2,4,3.0,2.0,1,7.0,0,8.25,4,6,3,8.666666666666666,8
1.4,10,3.0,2.6666666666666665,9,6.0,9,7.5,6,8,10,10.0,2
1.6,10,3.0,3.333333333333333,7,5.0,5,6.75,9,0,10,6.666666666666666,7
1.8,6,3.0,4.0,7,2.0,4,6.0,6,0,4,3.333333333333333,8
2.0,5,4.333333333333333,3.7142857142857144,9,2.625,2,7.0,5,10,4,0.0,10
1.0,7,5.666666666666666,3.428571428571429,2,3.25,2,8.0,3,1,4,5.0,8
0.0,4,7.0,3.142857142857143,8,3.875,4,6.5,2,7,10,4.5,4
2.3333333333333335,1,5.0,2.857142857142857,10,4.5,1,5.0,6,3,5,4.0,3
4.666666666666667,5,1.0,2.5714285714285716,0,5.125,10,1.0,2,8,1,2.0,1
7.0,3,2.0,2.2857142857142856,3,5.75,1,4.0,6,7,0,0.0,5
4.0,8,4.0,2.0,5,6.375,2,1.0,6,7,0,1.0,6
8.0,3,4.333333333333333,2.1666666666666665,5,7.0,6,5.5,4,10,1,2.0,4
8.0,5,4.666666666666667,2.3333333333333335,5,3.0,6,10.0,1,3,4,3.0,5
8.0,2,5.0,2.5,3,4.0,3,9.0,8,2,1,4.0,6
8.0,6,6.0,2.6666666666666665,8,5.0,5,9.5,7,10,5,4.0,0
8.0,9,7.0,2.833333333333333,2,4.0,9,10.0,4,9,2,2.5,9
2.0,10,5.0,3.0,5,3.0,1,6.0,4,5,2,1.0,6
1.0,2,4.0,6.0,3,2.0,3,8.0,10,7,7,5.0,5
0.0,10,4.0,0.0,8,1.0,10,7.333333333333333,6,5,2,2.5,7
3.5,10,0.0,0.0,7,0.0,6,6.666666666666667,4,0,2,0.0,7
7.0,10,10.0,0.0,0,0.6,3,6.0,1,1,0,7.0,1
