,0,1,2,3,4,5,6,7,8,9,10
0,7,5,10.0,3,4,4,,,4,4,2
1,10,0,,1,3,7,,8.0,4,3,8
2,1,5,,5,4,0,9.0,,10,8,3
3,5,5,4.0,2,0,4,,8.0,2,5,1
4,7,6,,1,6,5,,,3,9,6
5,8,10,6.0,9,3,5,,7.0,5,10,5
6,1,2,9.0,3,4,7,,,6,2,8
7,8,8,9.0,9,4,2,7.0,4.0,7,8,3
8,6,3,,3,4,2,7.0,,6,10,10
9,9,5,6.0,7,6,3,,7.0,9,10,0
10,7,1,,2,6,0,3.0,,1,2,5
11,1,5,,7,6,10,,2.0,9,6,7
12,7,2,3.0,1,0,1,,,2,3,9
13,10,6,,2,6,3,,,8,2,1
14,4,2,,8,10,10,,3.0,0,1,10
15,3,3,1.0,6,1,10,2.0,4.0,8,3,6
16,0,8,10.0,2,0,5,0.0,,9,5,3
17,2,2,,1,8,8,,,3,3,9
18,10,10,3.0,2,1,3,1.0,0.0,3,6,9
19,8,4,,7,5,1,2.0,9.0,7,1,9
20,5,4,0.0,7,4,9,,7.0,2,9,10
21,6,1,3.0,9,2,1,0.0,2.0,8,1,9
22,3,4,0.0,1,6,5,,,7,8,9
23,0,0,0.0,2,7,8,4.0,5.0,6,9,4
24,7,6,,5,2,6,,,2,0,3
25,10,10,,9,3,0,,,6,2,6
26,9,7,5.0,8,7,1,,,5,4,6
27,1,6,,3,1,9,,10.0,0,6,5
28,7,5,10.0,2,8,7,8.0,2.0,8,2,3
29,0,7,,9,10,0,0.0,,7,1,8
30,1,2,3.0,8,2,7,9.0,,8,1,7
31,7,6,,3,6,3,4.0,7.0,0,1,2
32,1,10,7.0,3,0,5,,1.0,0,10,0
33,8,4,,3,4,7,2.0,7.0,7,7,10
34,0,1,9.0,5,8,4,0.0,2.0,10,5,8
35,10,9,,1,8,2,10.0,3.0,10,10,4
36,6,1,4.0,1,0,0,,0.0,0,0,0
37,10,9,3.0,1,9,7,7.0,,10,0,5
38,2,5,,5,6,2,2.0,5.0,5,1,10
39,8,1,2.0,0,6,8,,3.0,3,7,2
40,1,10,1.0,7,5,8,,,1,3,1
41,10,8,,1,6,2,,9.0,1,9,6
42,8,6,7.0,4,8,8,,,7,5,4
43,9,4,9.0,9,0,6,,0.0,0,7,2
44,7,7,4.0,9,3,7,,,4,6,2
45,10,0,,3,3,6,1.0,1.0,5,7,4
46,4,6,,1,9,3,,1.0,0,1,8
47,2,1,,10,6,8,,,7,0,1
48,7,0,,0,8,5,0.0,6.0,4,0,1
49,8,6,,7,0,8,1.0,,10,3,5
