,0,1,2,3,4,5,6,7
0,6,7,,5,7,6.0,,1.0
1,0,2,,0,6,5.0,,
2,5,7,7.0,6,4,5.0,0.0,
3,6,8,,7,4,,3.0,7.0
4,0,10,,2,3,1.0,,8.0
5,4,3,,2,3,,9.0,3.0
6,0,2,,9,4,7.0,,9.0
7,4,5,,9,1,,0.0,
8,2,9,,2,0,,,8.0
9,6,4,,10,3,,8.0,
10,2,4,,5,4,4.0,,
11,7,7,,5,6,9.0,4.0,
12,1,7,8.0,3,6,,,6.0
13,4,3,8.0,6,10,,,7.0
14,9,0,,6,1,,10.0,9.0
15,3,0,,1,10,,,5.0
16,4,7,,1,5,,1.0,
17,10,1,2.0,3,9,6.0,10.0,
18,9,9,,3,0,9.0,,2.0
19,10,9,,0,5,3.0,1.0,5.0
20,5,4,6.0,7,3,9.0,4.0,
21,8,1,4.0,4,7,,,10.0
22,4,4,10.0,2,4,,,
23,7,2,7.0,0,0,3.0,0.0,
24,2,4,1.0,9,0,8.0,,
25,1,4,,6,0,,1.0,5.0
26,6,6,9.0,1,7,,,4.0
27,6,9,,10,9,1.0,10.0,
28,8,2,,8,1,,,
29,2,3,,6,10,,,7.0
30,1,7,,1,10,,9.0,1.0
31,6,8,4.0,5,1,,6.0,
32,7,2,5.0,3,7,,,
33,9,7,5.0,1,1,,,9.0
34,0,6,6.0,4,0,,4.0,
35,10,10,,5,2,,,
36,5,1,,2,7,4.0,7.0,
37,2,4,6.0,9,6,9.0,,
38,5,1,0.0,9,0,,0.0,6.0
39,8,9,4.0,7,9,,,
40,3,0,6.0,7,3,3.0,,
41,10,9,0.0,2,3,,,4.0
42,0,3,8.0,1,2,,4.0,8.0
43,3,7,,3,1,6.0,,8.0
44,3,2,,7,9,10.0,9.0,
45,1,9,1.0,4,2,0.0,3.0,
46,6,6,,3,1,,7.0,7.0
47,9,10,,0,5,2.0,,3.0
48,5,0,,0,8,,,
49,6,10,,6,5,5.0,,5.0
50,9,6,,1,7,,,4.0
51,4,7,,3,6,,,
52,5,1,8.0,8,9,1.0,7.0,2.0
53,10,4,,10,2,,7.0,
54,4,1,6.0,4,9,10.0,,9.0
55,6,5,7.0,5,3,,,
56,1,4,6.0,9,10,8.0,5.0,
57,9,8,,2,6,,4.0,
58,5,3,,5,2,,1.0,
59,6,7,9.0,1,3,6.0,9.0,5.0
60,1,5,,3,8,,,
61,8,5,3.0,10,10,,,
62,10,1,,6,0,,,
63,8,5,,1,2,,4.0,10.0
64,2,10,,9,1,1.0,9.0,1.0
65,0,1,2.0,3,5,,,9.0
66,0,10,,8,5,,9.0,
67,9,9,,1,9,8.0,4.0,3.0
68,7,1,,2,5,0.0,9.0,9.0
69,2,5,,5,2,,10.0,
70,3,7,6.0,4,9,,,5.0
71,6,2,,8,10,0.0,,
72,5,8,,9,3,,,3.0
73,1,9,6.0,1,2,,5.0,
74,0,5,10.0,3,2,5.0,8.0,
75,4,5,1.0,10,7,0.0,7.0,3.0
76,6,4,3.0,6,5,6.0,,9.0
77,0,4,3.0,3,0,,7.0,
78,8,8,,6,5,,4.0,
79,8,5,1.0,1,0,10.0,,9.0
80,5,7,,8,10,6.0,0.0,4.0
81,10,0,,3,7,,,
82,0,10,1.0,1,2,3.0,,
83,7,0,7.0,4,3,,,
84,5,8,3.0,0,3,8.0,,6.0
85,8,8,,5,4,,7.0,
86,0,5,3.0,9,3,,7.0,
87,7,4,9.0,0,7,10.0,9.0,6.0
88,2,7,,10,5,,,
89,3,3,,0,9,,3.0,
90,4,8,4.0,9,6,10.0,,1.0
91,8,3,8.0,7,1,,3.0,10.0
92,0,1,8.0,10,5,,,
93,1,7,4.0,10,6,,,
94,3,10,2.0,9,1,,4.0,1.0
95,3,9,,3,5,10.0,,4.0
96,1,2,10.0,4,4,,,3.0
97,6,10,,9,7,,2.0,8.0
98,10,8,,4,4,7.0,,8.0
99,9,1,2.0,9,6,,9.0,
100,10,1,,2,6,10.0,6.0,
101,0,6,2.0,5,4,,8.0,
102,3,3,,1,1,,,8.0
103,3,5,2.0,7,3,,,
104,1,10,,2,8,5.0,10.0,10.0
105,8,6,,8,5,3.0,,1.0
106,8,10,,9,1,3.0,10.0,
107,4,2,,4,1,,4.0,
108,0,9,2.0,6,8,,5.0,8.0
109,7,3,7.0,8,5,5.0,3.0,9.0
110,0,1,,10,9,,,
111,5,3,,8,5,,,3.0
112,4,4,,8,2,4.0,,
113,1,6,,0,5,4.0,,3.0
114,7,10,,1,1,,,5.0
115,9,7,,4,2,1.0,1.0,9.0
116,10,2,5.0,6,0,,5.0,
117,7,6,2.0,5,1,10.0,4.0,
118,2,4,,1,6,0.0,1.0,0.0
119,10,0,,4,5,,,
120,5,1,0.0,5,4,,,
121,7,3,0.0,4,6,5.0,,9.0
122,4,2,,6,9,7.0,0.0,
123,0,10,0.0,0,4,,10.0,7.0
124,1,8,0.0,10,4,,,
