,0,1,2,3,4,5,6,7
0,59,9,36,60,60,55,8,51
1,89,1,20,93,3,12,6,4
2,52,4,50,27,16,75,3,70
3,22,7,87,67,15,18,4,28
4,20,2,99,87,29,47,4,63
5,15,5,19,51,95,40,4,41
6,32,8,13,90,96,97,8,59
7,56,6,50,99,84,80,1,6
8,4,2,81,80,18,75,10,80
9,62,8,32,61,71,79,1,10
10,14,9,99,59,27,94,0,46
11,78,4,97,58,36,71,5,26
12,42,9,50,43,86,54,4,74
13,55,3,12,92,66,89,3,86
14,26,8,14,16,75,22,1,26
15,30,7,39,41,3,30,7,78
16,38,1,73,97,4,93,7,8
17,47,7,90,50,38,33,3,97
18,73,1,11,26,86,17,2,73
19,93,6,74,83,66,80,8,63
20,57,6,55,59,93,66,1,55
21,26,6,78,64,100,24,7,47
22,21,5,54,60,73,31,5,49
23,99,9,40,23,70,44,2,95
24,9,3,25,86,79,60,4,16
25,40,7,49,50,48,43,9,26
26,20,0,99,39,55,76,10,4
27,82,8,82,64,75,38,10,82
28,25,6,31,60,97,67,7,11
29,75,4,62,91,21,86,5,9
30,21,10,19,1,64,24,3,1
31,15,10,75,70,32,73,3,37
32,74,8,69,100,58,61,3,80
33,48,1,10,21,65,41,4,69
34,11,10,5,99,37,69,10,11
35,52,9,72,7,3,65,10,17
36,99,5,45,91,82,49,9,45
37,4,10,54,67,79,46,3,79
38,34,5,97,96,22,60,1,66
39,13,9,96,70,14,1,0,3
40,94,4,84,66,33,52,9,64
41,30,1,8,35,80,33,7,16
42,87,8,32,72,42,44,3,36
43,51,8,100,3,69,56,8,58
44,90,6,45,89,38,2,2,19
45,81,2,16,99,22,61,3,75
46,35,9,75,56,5,30,2,81
47,99,3,64,91,53,40,9,43
48,84,8,80,28,93,61,4,31
49,33,0,51,48,64,89,2,0
50,76,2,87,27,9,80,4,9
51,48,8,31,8,0,100,3,95
52,19,2,93,28,93,70,9,77
53,45,1,65,86,57,17,2,76
54,35,9,10,16,69,36,9,71
55,46,5,13,3,85,7,0,93
56,2,7,63,96,49,95,0,62
57,72,6,47,11,23,28,7,68
58,70,6,15,19,74,54,1,32
59,17,1,99,42,58,44,5,60
60,90,6,36,56,63,32,3,43
61,74,4,83,48,8,81,5,86
62,18,1,55,29,88,88,3,86
63,25,7,13,12,28,79,10,74
64,17,9,13,99,80,99,10,10
65,59,3,39,30,83,48,5,24
66,86,3,25,75,81,55,6,37
67,8,6,69,2,85,31,0,36
68,81,8,8,8,50,16,9,83
69,24,1,48,84,11,88,6,59
70,74,4,64,59,61,100,8,18
71,2,1,23,59,88,26,4,29
72,98,1,80,79,27,87,7,81
73,54,6,8,6,85,55,9,67
74,21,6,48,88,42,37,3,32
75,73,2,84,35,76,3,3,7
76,41,10,97,17,40,4,10,77
77,8,2,75,22,14,38,2,43
78,64,6,98,21,63,30,7,42
79,14,3,89,38,32,31,10,31
80,90,6,65,79,28,34,8,16
