,0,1,2,3,4,5,6,7,8
0,1.0,1.0,0.0,6,,3.0,6.0,10.0,
1,,0.0,3.0,5,,8.0,9.0,,4.0
2,5.0,,4.0,0,5.0,,,,
3,3.0,,6.0,0,,7.0,2.0,,2.0
4,,5.0,8.0,9,6.0,5.0,2.0,,
5,6.0,,,9,,,4.0,10.0,10.0
6,,6.0,,6,,,,,
7,4.0,,,7,10.0,,,,9.0
8,8.0,,1.0,2,,5.0,2.0,9.0,4.0
9,1.0,,9.0,10,5.0,8.0,1.0,8.0,
10,1.0,2.0,,8,,,1.0,5.0,
11,9.0,,,1,,,5.0,,0.0
12,,,,8,1.0,3.0,,3.0,
13,5.0,,,8,2.0,,,,5.0
14,5.0,10.0,8.0,0,,,1.0,,8.0
15,5.0,,,0,4.0,,,,
16,0.0,3.0,0.0,3,,4.0,,3.0,
17,,,4.0,2,9.0,,6.0,,9.0
18,,,,1,6.0,,,9.0,
19,,,,7,,0.0,7.0,2.0,
20,,0.0,1.0,6,,4.0,9.0,,
21,,,,2,,6.0,9.0,4.0,2.0
22,8.0,7.0,6.0,5,,,,8.0,1.0
23,1.0,4.0,7.0,1,3.0,9.0,,,9.0
24,5.0,7.0,,2,10.0,,0.0,,10.0
25,6.0,,3.0,7,,6.0,,2.0,7.0
26,,5.0,9.0,7,3.0,10.0,,,6.0
27,,,4.0,8,,,,,8.0
28,,0.0,2.0,8,,,,6.0,
29,,,,6,4.0,2.0,,8.0,
30,9.0,,3.0,1,,1.0,4.0,,
31,,10.0,1.0,2,9.0,,7.0,,
32,,,,10,,4.0,,,
33,0.0,4.0,7.0,1,6.0,,,,
34,4.0,7.0,9.0,6,10.0,1.0,,,
35,,,2.0,10,5.0,,,4.0,1.0
36,,7.0,3.0,6,10.0,9.0,,8.0,
37,0.0,,6.0,4,,7.0,8.0,,2.0
38,1.0,,3.0,5,,,,,8.0
39,,,0.0,7,4.0,,,4.0,1.0
40,,,10.0,10,7.0,6.0,,6.0,
41,6.0,,,2,8.0,10.0,,0.0,7.0
42,,,1.0,10,4.0,,0.0,,
43,,,7.0,9,,,4.0,,
44,,0.0,4.0,6,7.0,10.0,10.0,,
45,,5.0,4.0,7,4.0,8.0,5.0,10.0,
46,9.0,2.0,,10,2.0,,8.0,,4.0
47,,9.0,7.0,0,,8.0,,,1.0
48,,,,5,,5.0,,,10.0
49,6.0,10.0,9.0,10,2.0,7.0,,,
50,,,5.0,0,4.0,,10.0,,
51,1.0,,1.0,8,,,6.0,,
52,,,6.0,7,,,5.0,6.0,0.0
53,,1.0,,5,3.0,,5.0,5.0,4.0
54,,8.0,,3,,,,,6.0
55,,,,2,,10.0,2.0,9.0,
56,6.0,0.0,6.0,10,6.0,5.0,2.0,,
57,,,,6,,,,,9.0
58,8.0,4.0,,3,8.0,,,,
59,,5.0,,10,0.0,,1.0,7.0,
60,,3.0,2.0,3,8.0,10.0,,,5.0
61,,9.0,2.0,0,4.0,2.0,,6.0,
