,0,1,2,3,4,5,6,7
0,84,5,10,3,45,10,4,0
1,12,1,0,2,34,7,1,1
2,74,10,0,5,61,9,4,6
3,18,0,1,0,10,9,0,3
4,76,8,6,10,88,8,5,2
5,91,5,8,9,52,7,10,9
6,49,1,8,4,11,7,5,4
7,17,4,10,0,32,2,7,2
8,28,9,8,4,0,1,4,4
9,81,6,7,0,58,5,6,2
10,29,0,1,5,7,2,7,10
11,64,7,7,7,85,8,3,10
12,16,8,5,0,3,5,6,6
13,25,0,9,3,40,8,8,10
14,17,6,7,6,76,0,8,6
15,100,7,5,8,1,7,9,10
16,98,0,5,7,30,2,4,10
17,69,0,5,9,53,10,5,1
18,24,8,2,6,84,9,9,6
19,27,2,2,8,10,1,10,10
20,85,10,4,10,34,3,10,5
21,24,3,10,7,99,3,1,6
22,75,0,6,1,55,6,8,7
23,36,3,1,3,40,5,6,10
24,48,7,3,8,45,7,7,2
25,4,9,7,2,68,10,2,1
26,17,8,3,10,41,5,7,9
27,90,5,5,3,36,5,9,1
28,34,1,10,1,50,0,0,0
29,79,4,0,7,58,3,9,3
30,26,4,7,0,25,0,6,4
31,100,5,7,6,62,9,9,6
32,78,2,0,5,2,3,1,3
33,45,7,1,1,49,6,9,2
34,98,4,6,7,54,8,2,2
35,30,1,5,10,50,0,5,10
36,51,5,10,0,75,1,3,6
37,10,9,10,4,30,8,6,2
38,91,10,7,8,44,4,7,6
39,75,10,0,3,81,3,7,10
40,53,1,2,10,47,8,7,3
41,42,3,7,8,81,5,10,0
42,32,9,5,6,40,9,0,7
43,32,4,10,8,98,9,5,10
44,87,8,2,10,63,7,9,4
45,87,3,3,0,21,6,3,2
46,31,2,8,2,65,9,3,0
47,62,2,5,1,79,8,9,10
48,45,0,0,7,15,9,0,10
49,18,2,10,0,88,9,4,3
50,60,0,4,2,7,3,4,3
51,70,9,1,10,36,5,2,4
52,69,2,6,4,53,9,4,2
53,10,9,10,3,83,5,4,6
54,10,1,0,6,59,5,8,7
55,79,3,3,2,83,5,6,9
56,48,2,0,8,20,8,1,0
57,28,2,7,5,90,7,0,1
58,94,2,9,6,48,4,0,7
59,87,4,10,7,100,4,2,4
60,97,7,7,4,32,1,4,0
61,72,6,10,1,90,7,5,8
62,24,8,7,2,24,10,5,7
63,31,3,7,1,22,1,7,5
64,22,2,6,7,23,10,1,10
65,59,7,5,8,80,5,6,1
