,0,1,2,3,4,5,6,7,8,9,10,11,12
0,9,7,1,9,8,2,2,10,3,1,2,2,5
1,9,7,5,5,8,8,0,5,7,8,6,4,8
2,2,0,1,10,4,1,7,8,10,0,7,0,2
3,0,8,6,6,4,2,0,4,5,4,10,9,5
4,3,0,8,0,3,5,2,9,3,0,0,0,7
5,2,9,3,8,3,5,0,2,4,3,3,4,6
6,7,2,1,3,4,2,5,10,2,9,8,3,7
7,10,0,3,7,9,2,1,5,0,3,5,0,3
8,1,8,3,10,8,10,3,6,2,3,6,0,4
9,9,2,4,6,9,7,7,0,10,10,10,9,6
10,1,2,5,10,1,7,1,8,1,6,0,8,10
11,5,3,1,8,4,8,1,9,0,8,1,2,4
12,5,6,1,9,2,1,3,5,9,1,1,3,3
13,9,1,9,4,5,3,9,0,10,2,5,3,6
14,4,2,9,6,5,5,5,2,10,4,9,0,1
15,3,6,10,2,8,6,10,3,6,9,2,1,0
16,7,2,6,6,10,4,4,3,9,3,8,3,3
17,8,5,6,5,8,3,0,9,10,4,10,0,4
18,8,8,6,4,10,5,4,4,8,2,1,1,5
19,8,3,6,4,7,6,9,3,3,0,5,5,5
20,7,0,9,8,9,9,9,1,2,7,5,4,7
21,10,5,9,5,0,8,4,10,7,0,0,10,8
22,1,7,6,4,0,5,1,3,10,7,6,8,1
23,4,7,4,3,2,7,7,6,4,7,5,8,6
24,5,1,2,4,5,8,7,8,10,1,7,7,8
25,4,3,7,4,1,7,5,0,2,6,7,7,9
26,4,2,0,5,10,7,5,8,9,9,9,9,2
27,6,7,2,4,3,1,4,8,9,0,5,0,7
28,5,8,8,6,2,6,7,1,2,2,9,9,3
29,1,6,9,7,4,2,0,7,6,1,3,3,1
30,4,2,1,1,3,9,10,0,1,5,8,4,0
31,0,2,0,10,2,3,2,10,3,0,3,8,0
32,3,7,0,10,6,3,0,10,7,2,3,6,5
33,1,3,4,9,8,5,5,7,2,2,5,0,9
34,2,4,9,10,7,10,5,0,2,0,10,6,5
35,6,1,0,7,9,1,2,2,2,0,5,9,4
36,10,6,7,0,9,0,8,4,10,7,6,7,7
37,0,0,5,0,9,9,2,1,7,3,3,10,2
38,0,0,7,7,4,9,4,0,2,6,3,2,0
39,9,6,5,0,0,0,2,0,2,7,2,4,3
40,1,0,4,1,10,1,2,8,0,10,5,4,8
41,10,10,9,10,4,3,6,5,1,0,5,5,8
42,6,1,10,5,9,1,4,3,6,5,1,3,10
43,5,8,3,2,10,9,8,1,1,7,0,0,2
44,8,9,4,5,6,3,7,9,5,5,2,10,7
45,2,7,3,1,9,5,8,2,4,9,7,10,1
46,0,0,4,7,1,2,10,5,10,5,7,0,8
47,5,0,8,2,9,5,8,1,9,2,1,5,4
48,6,1,6,7,10,6,5,6,9,1,7,9,8
49,8,0,3,9,5,5,4,8,2,7,2,8,7
50,10,8,9,3,8,9,9,7,7,3,6,6,8
51,5,9,8,4,1,5,1,1,3,4,4,9,3
52,9,7,7,7,0,4,3,9,10,8,5,9,10
53,5,10,2,3,6,0,5,5,0,1,9,6,0
54,10,2,4,1,2,3,3,5,9,1,8,6,2
55,6,7,0,8,4,8,2,5,2,7,10,4,7
56,8,10,5,5,0,0,2,6,10,10,1,3,3
57,6,6,2,3,9,7,3,8,10,0,3,5,5
58,4,0,4,1,3,3,3,9,10,0,8,5,3
59,4,8,10,7,5,2,0,1,5,3,0,5,8
60,4,3,8,8,1,3,1,7,7,9,4,6,5
61,1,7,5,10,6,2,2,7,6,7,5,9,0
62,4,7,1,5,5,10,0,8,9,10,8,9,8
63,1,6,4,7,8,8,5,6,8,6,4,7,2
64,10,9,10,5,5,5,4,3,3,2,6,1,0
65,2,10,4,10,5,8,9,8,2,8,3,2,1
66,4,10,3,6,0,0,6,5,0,3,2,0,0
67,0,6,9,3,2,6,9,8,9,0,1,2,6
68,10,8,1,0,4,2,10,2,1,2,10,10,5
69,2,6,0,8,6,1,5,10,10,3,0,10,1
70,6,4,7,4,9,4,4,4,8,6,8,1,0
71,5,8,5,1,2,6,4,10,5,7,5,1,10
72,0,10,10,3,1,9,0,3,0,1,5,6,1
73,3,7,7,5,6,1,0,7,9,6,9,4,2
74,0,5,6,5,6,7,5,0,3,6,9,6,5
75,2,3,9,4,0,2,9,1,8,5,0,2,2
76,7,4,5,2,8,2,0,4,4,2,5,10,2
77,5,6,2,2,9,0,4,4,8,6,4,0,10
78,4,2,7,9,3,9,6,0,7,8,4,8,10
79,4,5,3,1,3,2,2,4,10,5,9,5,9
80,3,5,7,9,8,8,8,0,8,10,0,7,8
81,9,7,1,6,1,7,5,2,7,6,3,8,7
82,2,3,8,3,8,3,3,8,3,7,5,10,3
83,7,7,7,1,1,9,6,1,3,6,8,7,10
84,5,3,2,7,3,6,9,4,8,4,0,2,10
85,6,8,2,3,3,8,2,1,5,7,7,4,3
86,6,3,8,7,5,4,0,8,2,0,0,5,10
87,3,5,5,6,6,1,0,6,8,7,5,0,2
88,4,2,7,9,7,0,9,9,10,8,10,9,0
89,4,0,9,1,10,4,8,5,1,8,8,0,10
90,5,5,6,5,3,8,9,1,8,10,0,3,6
91,8,0,1,2,0,7,7,6,3,0,6,5,3
92,9,8,4,9,7,4,4,7,0,5,10,6,3
93,8,9,1,9,9,1,9,3,4,7,9,5,8
94,8,5,5,8,10,10,9,3,1,8,1,3,4
95,4,9,10,2,6,10,0,0,8,4,9,0,3
96,7,7,6,4,9,7,4,4,1,2,4,3,2
97,7,9,6,4,8,4,6,1,3,6,1,10,0
98,4,0,8,2,9,5,3,9,9,4,5,6,2
99,8,5,7,9,5,5,3,4,4,6,8,10,7
100,3,1,10,2,6,1,6,2,2,0,4,6,1
101,9,6,3,2,4,10,2,1,4,4,1,4,8
102,2,6,1,8,7,4,7,5,6,6,4,1,3
103,10,1,8,2,10,2,5,9,0,7,7,9,1
104,5,7,2,10,8,2,5,4,9,0,4,8,6
105,8,3,4,6,0,6,7,3,5,1,10,10,8
106,9,4,3,8,3,4,9,0,4,6,1,10,10
107,6,8,6,4,6,6,10,4,8,9,7,7,0
108,8,7,1,8,6,10,9,2,4,0,9,9,9
109,3,7,6,2,0,2,0,10,0,9,6,7,8
110,9,5,5,9,1,4,3,9,9,4,6,8,7
111,3,4,0,2,7,10,3,8,5,10,9,3,2
112,2,9,5,8,10,8,6,1,3,6,5,8,9
113,10,1,2,2,7,3,8,1,8,1,2,1,4
114,9,6,4,9,1,9,3,1,9,4,5,3,5
115,9,4,7,3,8,8,2,4,1,6,2,6,5
116,7,10,10,8,5,4,1,6,1,4,6,7,1
117,0,7,7,4,0,1,6,1,5,8,9,5,2
118,8,1,9,4,1,10,5,2,5,4,1,8,2
119,7,1,6,4,1,4,3,8,5,3,0,8,0
120,9,3,7,6,8,4,2,4,4,2,10,9,9
121,6,3,10,2,7,5,0,5,0,9,7,2,1
122,8,8,9,6,2,10,9,3,4,1,8,6,6
123,5,0,10,10,9,5,0,6,6,6,0,4,5
124,3,3,0,10,4,2,3,9,7,8,0,5,2
125,8,6,4,2,7,9,0,3,9,6,3,3,2
126,8,9,5,4,10,9,0,6,4,4,8,2,5
127,1,3,3,0,2,0,8,6,10,1,1,6,0
128,7,5,7,10,8,5,2,8,6,5,2,5,1
129,4,10,6,4,5,10,8,8,1,10,5,5,8
130,2,7,4,6,9,1,4,2,0,0,1,9,8
131,6,1,0,9,4,9,1,10,4,4,6,9,6
132,1,2,5,8,3,4,3,7,4,4,10,4,1
133,1,5,3,1,4,5,8,2,2,2,6,9,6
134,3,9,1,2,7,10,7,10,5,5,9,6,0
135,9,5,5,3,1,1,2,0,0,8,6,8,6
136,7,9,9,0,7,1,0,5,4,6,6,8,0
137,8,6,7,5,7,4,9,2,7,3,4,10,4
138,2,9,9,1,8,1,1,0,5,9,6,8,5
139,7,8,10,4,3,3,10,3,10,3,6,2,4
140,1,7,5,4,5,0,7,1,4,4,3,0,4
141,6,1,4,1,1,4,5,0,1,6,5,2,2
142,3,0,3,6,5,4,2,5,0,6,3,8,7
143,7,4,3,2,4,3,2,4,5,4,2,7,1
144,4,8,1,5,9,10,10,4,0,4,8,2,6
145,10,6,2,1,2,8,1,5,3,4,4,5,10
146,1,7,5,9,8,0,7,1,1,5,10,6,0
147,0,10,5,9,0,5,10,4,4,7,8,6,9
148,9,6,1,4,7,3,1,8,10,10,2,0,5
149,9,6,3,3,6,5,4,2,4,10,1,0,5
150,10,5,2,7,2,0,4,10,2,2,6,6,3
151,4,8,6,8,6,9,7,3,4,4,3,2,10
152,8,5,0,2,3,6,1,5,4,6,9,1,10
153,8,7,8,0,10,2,9,10,2,0,8,4,5
154,0,4,10,7,0,4,1,9,5,3,10,10,6
155,0,2,3,4,3,5,9,1,2,5,10,3,4
156,5,9,1,7,8,9,1,9,4,6,8,7,10
157,1,6,2,9,1,6,9,9,10,9,10,9,3
158,1,0,8,10,6,4,4,4,9,10,9,0,9
159,9,9,10,9,8,1,1,6,7,4,5,9,5
160,2,0,4,4,3,8,4,5,0,10,6,1,1
161,4,10,10,5,8,0,7,3,3,4,6,3,2
162,9,5,6,9,2,8,0,8,4,5,10,3,1
163,2,9,10,3,9,8,1,0,3,7,4,4,10
164,5,3,1,3,4,10,4,0,0,6,0,4,0
165,7,8,7,2,10,0,9,0,9,0,1,0,3
166,9,7,4,10,2,5,4,8,10,2,7,9,7
167,1,6,0,7,8,0,1,1,4,8,2,3,9
