,0,1,2,3,4,5,6,7
0,7,1,10,6,3,4,4,0
1,2,3,2,7,6,6,6,10
2,6,8,4,7,1,7,7,4
3,6,10,1,7,5,2,5,0
4,8,2,4,8,8,6,1,3
5,0,6,7,4,4,9,10,3
6,0,8,8,5,1,4,3,9
7,8,1,9,6,6,3,0,1
8,9,3,4,5,6,3,4,4
9,10,7,10,0,1,9,3,9
10,5,3,5,3,8,3,8,1
11,2,9,9,2,8,3,10,5
12,2,1,7,4,2,4,2,1
13,0,1,7,1,0,6,0,4
14,5,9,1,3,7,5,7,4
15,1,6,1,5,4,7,3,4
16,5,0,5,7,2,7,7,0
17,9,6,5,3,1,10,3,10
18,8,9,5,3,4,3,10,2
19,4,9,0,1,1,7,7,9
20,6,8,8,4,10,6,2,5
21,1,2,9,9,6,6,10,3
22,1,4,1,4,1,3,9,4
23,7,0,2,8,4,3,2,3
24,9,7,2,0,1,2,2,8
25,4,5,7,5,4,1,5,3
26,9,7,7,10,7,2,0,9
27,0,10,7,0,0,2,2,8
28,5,2,8,0,4,3,10,7
29,2,6,8,9,3,7,7,5
30,6,6,10,10,1,4,7,9
31,2,1,1,10,10,8,6,6
32,10,4,5,9,7,10,0,8
33,10,8,5,9,1,6,4,8
34,4,8,5,8,4,3,7,7
35,5,9,9,0,10,5,10,1
36,2,8,8,2,8,10,8,3
37,4,3,9,7,5,5,6,6
38,8,3,8,10,1,0,2,6
39,3,9,1,5,5,5,10,8
40,1,7,9,4,3,4,7,4
41,6,2,6,6,9,8,0,0
42,2,3,1,9,7,1,3,1
43,6,3,3,1,7,6,1,2
44,8,10,5,1,1,7,8,0
45,4,0,1,1,2,7,5,5
46,2,5,4,1,8,10,8,7
47,3,2,2,7,7,6,6,4
48,4,9,10,6,1,4,6,7
49,8,6,1,5,1,5,9,1
50,7,10,0,3,8,7,10,8
51,4,10,9,6,7,4,6,4
52,8,6,7,9,10,3,0,0
53,8,8,10,6,1,6,6,9
54,5,9,2,8,1,8,1,8
55,5,10,3,5,4,0,3,4
56,0,10,9,0,8,1,8,2
57,5,4,6,3,7,2,9,7
58,5,10,4,9,7,9,7,3
59,7,0,9,1,5,8,1,10
60,4,6,5,0,7,10,10,8
61,1,3,4,9,8,7,2,0
62,6,9,6,7,2,8,9,9
63,5,4,9,8,3,2,10,1
64,8,8,7,4,6,2,2,9
