,0,1,2,3,4,5,6,7
0,3,3,8,,3,,9.0,5
1,7,0,1,,3,,,5
2,0,0,5,4.0,9,5.0,,2
3,5,6,1,,9,1.0,,9
4,1,1,5,1.0,2,7.0,,10
5,5,8,5,10.0,4,,,0
6,1,4,6,,5,,,7
7,3,2,8,,4,6.0,,0
8,3,6,6,,2,,,4
9,4,1,9,8.0,6,5.0,2.0,8
10,8,5,10,,3,2.0,5.0,4
11,8,3,7,3.0,3,,,5
12,8,7,2,8.0,6,1.0,3.0,8
13,5,9,8,,1,9.0,9.0,4
14,7,7,6,5.0,4,,,1
15,4,1,10,,0,,7.0,7
16,9,10,7,2.0,4,,,9
17,5,3,6,,7,,,8
18,2,0,1,6.0,9,8.0,,10
19,8,4,7,6.0,9,,4.0,9
20,8,3,7,,5,,7.0,4
21,7,4,3,,0,,,7
22,0,5,5,2.0,5,,,6
23,9,9,3,,7,,5.0,7
24,2,10,1,7.0,5,2.0,0.0,10
25,1,8,6,,9,8.0,,6
26,6,5,4,,3,10.0,,0
27,9,0,7,10.0,3,3.0,,6
28,6,10,7,,3,,9.0,0
29,7,2,1,,9,4.0,8.0,2
30,2,10,2,,8,,,4
31,1,4,5,6.0,0,8.0,,3
32,3,2,7,4.0,10,,10.0,2
33,2,1,10,6.0,2,,10.0,3
34,9,2,2,2.0,0,3.0,2.0,2
35,3,1,7,,2,,2.0,0
36,8,0,4,4.0,7,,7.0,2
37,3,2,0,,5,0.0,,4
38,5,3,9,,6,6.0,,4
39,0,8,5,,7,,5.0,10
40,6,9,4,5.0,10,,,9
41,1,1,2,0.0,3,0.0,8.0,8
42,8,10,3,5.0,1,7.0,,2
43,10,10,9,,8,,3.0,6
44,8,10,2,1.0,10,4.0,,1
45,10,1,9,0.0,2,10.0,,2
46,2,4,6,2.0,0,8.0,,5
47,1,1,9,0.0,5,1.0,,1
48,4,2,7,6.0,8,,4.0,1
49,8,5,8,7.0,3,7.0,,2
50,7,9,3,1.0,8,,1.0,1
51,1,3,10,9.0,3,5.0,,5
52,3,7,5,,6,3.0,,7
53,9,1,6,1.0,5,1.0,,3
54,7,4,3,8.0,10,,,4
55,10,6,10,,4,9.0,5.0,0
56,3,9,4,0.0,10,5.0,8.0,5
57,8,5,4,,5,,6.0,10
58,2,5,2,3.0,1,0.0,8.0,10
59,0,10,6,,8,4.0,,2
60,3,5,0,5.0,2,,,6
61,2,10,4,1.0,2,,,8
62,0,3,2,6.0,1,9.0,8.0,0
63,1,3,0,7.0,10,,10.0,5
64,8,1,9,4.0,3,,4.0,0
65,1,7,0,,5,,,8
66,8,7,5,,10,,4.0,9
67,0,3,0,,7,,,3
68,4,4,0,6.0,10,2.0,,9
69,3,7,6,,6,6.0,4.0,1
70,2,9,7,0.0,4,,,0
71,2,6,7,,6,,,7
72,2,2,7,0.0,4,,,1
73,8,2,3,,3,,,0
74,3,9,9,9.0,1,,,10
75,10,10,8,,6,,,4
76,0,4,3,0.0,2,5.0,3.0,1
77,10,5,10,,5,2.0,,0
78,10,9,10,,9,4.0,4.0,6
79,0,9,0,8.0,10,5.0,,6
80,5,7,0,2.0,1,,6.0,9
81,3,10,1,,4,,,10
82,10,1,10,1.0,3,9.0,,9
83,3,8,2,9.0,5,,,3
84,9,8,3,,7,,,9
85,3,1,0,5.0,10,7.0,8.0,9
86,5,2,5,7.0,10,7.0,,4
87,4,8,9,,5,6.0,4.0,10
88,8,4,6,2.0,5,,,3
89,9,5,8,0.0,3,1.0,,0
90,5,4,2,5.0,2,,,8
91,9,10,8,4.0,9,4.0,,0
92,4,6,1,6.0,9,2.0,,5
93,3,10,6,,2,9.0,9.0,4
94,4,4,8,0.0,0,,,2
95,3,10,10,,0,6.0,5.0,3
96,0,10,4,3.0,1,,8.0,3
97,0,5,8,4.0,8,,,8
98,5,5,5,,2,0.0,,1
99,9,5,0,9.0,10,7.0,2.0,10
100,3,5,5,,9,,,3
101,6,7,3,1.0,4,3.0,,8
102,2,3,0,,2,,3.0,7
103,2,8,1,8.0,3,,,0
104,10,2,7,5.0,9,,8.0,9
105,7,0,10,2.0,9,,8.0,7
106,3,2,2,,9,,8.0,10
107,8,1,3,,1,,,6
108,2,0,1,,3,,,4
109,10,9,4,,8,,1.0,1
110,9,3,10,,5,,,4
111,8,4,9,0.0,1,5.0,,3
112,9,5,4,,1,1.0,2.0,1
113,6,5,5,6.0,8,0.0,,6
114,9,10,0,2.0,3,9.0,,8
115,3,3,9,,4,8.0,,2
116,4,4,7,,7,6.0,,4
117,5,5,3,,9,5.0,10.0,9
118,2,1,6,,9,,8.0,3
119,7,7,0,1.0,9,8.0,,5
120,4,1,6,0.0,6,,,7
121,3,4,7,10.0,4,,2.0,4
122,6,10,10,1.0,7,2.0,,9
123,8,7,5,,10,3.0,1.0,2
124,9,0,7,9.0,5,5.0,0.0,9
125,8,0,2,8.0,9,2.0,,9
126,1,2,6,4.0,4,,,8
127,8,0,10,1.0,7,,,0
