0,1,2,3,4,5,6,7
3,3,8,,3,,9.0,5
7,0,1,,3,,8.222222222222221,5
0,0,5,4.0,9,5.0,7.444444444444445,2
5,6,1,2.5,9,1.0,6.666666666666666,9
1,1,5,1.0,2,7.0,5.888888888888889,10
5,8,5,10.0,4,6.666666666666667,5.111111111111111,0
1,4,6,9.5,5,6.333333333333333,4.333333333333333,7
3,2,8,9.0,4,6.0,3.5555555555555554,0
3,6,6,8.5,2,5.5,2.7777777777777777,4
4,1,9,8.0,6,5.0,2.0,8
8,5,10,5.5,3,2.0,5.0,4
8,3,7,3.0,3,1.5,4.0,5
8,7,2,8.0,6,1.0,3.0,8
5,9,8,6.5,1,9.0,9.0,4
7,7,6,5.0,4,8.8,8.0,1
4,1,10,3.5,0,8.6,7.0,7
9,10,7,2.0,4,8.4,6.25,9
5,3,6,4.0,7,8.2,5.5,8
2,0,1,6.0,9,8.0,4.75,10
8,4,7,6.0,9,7.0,4.0,9
8,3,7,4.666666666666667,5,6.0,7.0,4
7,4,3,3.3333333333333335,0,5.0,6.333333333333333,7
0,5,5,2.0,5,4.0,5.666666666666667,6
9,9,3,4.5,7,3.0,5.0,7
2,10,1,7.0,5,2.0,0.0,10
1,8,6,8.0,9,8.0,2.25,6
6,5,4,9.0,3,10.0,4.5,0
9,0,7,10.0,3,3.0,6.75,6
6,10,7,9.0,3,3.5,9.0,0
7,2,1,8.0,9,4.0,8.0,2
2,10,2,7.0,8,6.0,8.666666666666666,4
1,4,5,6.0,0,8.0,9.333333333333334,3
3,2,7,4.0,10,6.333333333333333,10.0,2
2,1,10,6.0,2,4.666666666666666,10.0,3
9,2,2,2.0,0,3.0,2.0,2
3,1,7,3.0,2,2.0,2.0,0
8,0,4,4.0,7,1.0,7.0,2
3,2,0,4.25,5,0.0,6.333333333333333,4
5,3,9,4.5,6,6.0,5.666666666666667,4
0,8,5,4.75,7,4.0,5.0,10
6,9,4,5.0,10,2.0,6.5,9
1,1,2,0.0,3,0.0,8.0,8
8,10,3,5.0,1,7.0,5.5,2
10,10,9,3.0,8,5.5,3.0,6
8,10,2,1.0,10,4.0,3.2,1
10,1,9,0.0,2,10.0,3.4,2
2,4,6,2.0,0,8.0,3.6,5
1,1,9,0.0,5,1.0,3.8,1
4,2,7,6.0,8,4.0,4.0,1
8,5,8,7.0,3,7.0,2.5,2
7,9,3,1.0,8,6.0,1.0,1
1,3,10,9.0,3,5.0,1.8,5
3,7,5,5.0,6,3.0,2.6,7
9,1,6,1.0,5,1.0,3.4000000000000004,3
7,4,3,8.0,10,5.0,4.2,4
10,6,10,4.0,4,9.0,5.0,0
3,9,4,0.0,10,5.0,8.0,5
8,5,4,1.5,5,2.5,6.0,10
2,5,2,3.0,1,0.0,8.0,10
0,10,6,4.0,8,4.0,8.0,2
3,5,0,5.0,2,5.666666666666667,8.0,6
2,10,4,1.0,2,7.333333333333334,8.0,8
0,3,2,6.0,1,9.0,8.0,0
1,3,0,7.0,10,7.833333333333333,10.0,5
8,1,9,4.0,3,6.666666666666666,4.0,0
1,7,0,4.5,5,5.5,4.0,8
8,7,5,5.0,10,4.333333333333333,4.0,9
0,3,0,5.5,7,3.166666666666666,4.0,3
4,4,0,6.0,10,2.0,4.0,9
3,7,6,3.0,6,6.0,4.0,1
2,9,7,0.0,4,5.857142857142857,3.857142857142857,0
2,6,7,0.0,6,5.714285714285714,3.7142857142857144,7
2,2,7,0.0,4,5.571428571428571,3.5714285714285716,1
8,2,3,4.5,3,5.428571428571429,3.428571428571429,0
3,9,9,9.0,1,5.285714285714286,3.2857142857142856,10
10,10,8,4.5,6,5.142857142857143,3.142857142857143,4
0,4,3,0.0,2,5.0,3.0,1
10,5,10,2.6666666666666665,5,2.0,3.5,0
10,9,10,5.333333333333333,9,4.0,4.0,6
0,9,0,8.0,10,5.0,5.0,6
5,7,0,2.0,1,6.333333333333333,6.0,9
3,10,1,1.5,4,7.666666666666666,6.4,10
10,1,10,1.0,3,9.0,6.8,9
3,8,2,9.0,5,8.333333333333334,7.2,3
9,8,3,7.0,7,7.666666666666667,7.6,9
3,1,0,5.0,10,7.0,8.0,9
5,2,5,7.0,10,7.0,6.0,4
4,8,9,4.5,5,6.0,4.0,10
8,4,6,2.0,5,3.5,4.833333333333333,3
9,5,8,0.0,3,1.0,5.666666666666667,0
5,4,2,5.0,2,2.5,6.5,8
9,10,8,4.0,9,4.0,7.333333333333334,0
4,6,1,6.0,9,2.0,8.166666666666668,5
3,10,6,3.0,2,9.0,9.0,4
4,4,8,0.0,0,7.5,7.0,2
3,10,10,1.5,0,6.0,5.0,3
0,10,4,3.0,1,4.0,8.0,3
0,5,8,4.0,8,2.0,6.0,8
5,5,5,6.5,2,0.0,4.0,1
9,5,0,9.0,10,7.0,2.0,10
3,5,5,5.0,9,5.0,2.3333333333333335,3
6,7,3,1.0,4,3.0,2.6666666666666665,8
2,3,0,4.5,2,3.2,3.0,7
