,0,1,2,3,4,5,6,7,8,9
0,7,8,90,0,4,0,4,99,96,3
1,4,2,56,10,3,1,5,10,43,6
2,9,9,23,2,5,6,8,96,66,2
3,2,3,59,2,7,1,9,42,73,0
4,8,1,88,1,1,3,4,95,8,6
5,10,8,46,2,3,3,4,83,80,7
6,9,6,70,1,0,6,0,73,42,0
7,1,4,45,8,4,1,10,93,50,4
8,8,3,83,0,6,4,0,66,95,4
9,4,10,1,2,10,5,9,71,31,6
10,8,5,22,5,6,2,4,56,35,10
11,5,5,58,9,2,4,2,30,83,4
12,4,10,88,6,7,2,2,60,19,10
13,6,1,52,6,2,10,2,72,71,10
14,6,5,22,7,7,0,10,59,80,2
15,1,1,0,4,10,6,6,44,36,9
16,4,7,96,3,10,10,7,5,27,6
17,4,3,50,10,8,0,10,85,85,6
18,6,9,81,8,9,5,8,77,83,0
19,0,5,20,1,9,1,6,76,56,8
20,3,7,99,0,1,9,2,82,90,10
21,3,2,80,0,1,4,8,40,85,9
22,4,0,85,7,0,7,2,59,81,3
23,1,2,85,5,8,2,3,20,94,7
24,7,7,90,9,9,5,5,73,1,8
25,9,1,72,7,8,9,10,71,76,10
26,6,6,21,0,9,10,6,94,45,2
27,1,6,21,0,3,4,9,48,1,5
28,9,0,92,0,8,2,0,77,73,1
29,3,10,29,6,0,5,3,20,14,7
30,2,3,48,0,8,4,7,43,63,1
31,3,6,11,9,10,1,4,10,37,7
32,2,7,16,1,10,1,3,72,54,4
33,9,5,12,6,6,4,7,14,2,0
34,9,2,55,5,8,5,0,46,79,0
35,7,3,39,7,4,0,6,8,38,8
36,4,10,20,8,6,9,8,7,78,5
37,3,3,18,9,3,3,3,50,81,8
38,3,7,35,8,1,4,2,47,45,10
39,2,0,14,5,9,0,0,57,20,2
40,6,0,23,6,5,9,1,72,88,2
41,1,7,78,7,2,9,6,26,75,2
42,10,7,16,6,7,9,6,12,54,1
43,3,3,0,1,5,5,9,93,2,6
44,5,2,33,5,1,4,5,53,74,7
45,8,5,58,4,1,3,7,56,98,8
46,4,8,77,9,3,7,7,81,3,5
47,1,4,44,10,7,5,4,41,64,8
48,6,3,47,3,5,6,8,17,79,6
49,1,7,35,10,0,7,5,14,43,1
50,1,6,76,3,9,3,3,85,55,2
51,9,6,80,2,3,1,2,63,12,5
52,10,6,37,1,6,10,7,75,26,1
53,9,5,73,4,1,9,2,32,98,2
54,1,2,20,3,1,8,6,12,68,3
55,3,4,98,9,3,4,4,50,4,5
56,1,1,30,10,0,7,7,72,42,5
57,6,8,34,9,1,9,4,37,33,6
58,6,0,80,8,6,10,5,94,26,0
59,1,6,77,1,3,0,5,63,9,7
60,2,10,80,5,0,8,2,100,25,7
61,3,10,83,0,10,9,4,85,77,10
62,2,1,83,2,7,0,3,25,25,8
63,9,6,97,2,4,8,9,3,28,8
64,6,10,37,9,8,2,2,86,27,7
65,7,8,46,7,5,4,9,95,31,3
66,3,3,93,9,3,5,4,4,78,7
67,7,0,36,2,5,9,9,70,70,6
68,10,8,87,7,3,7,6,28,58,4
69,3,0,80,0,0,4,1,5,27,0
70,6,4,51,1,7,4,3,45,0,9
71,4,8,41,10,1,7,0,4,31,0
72,4,0,98,7,3,7,6,17,23,9
73,10,9,1,0,7,8,9,87,18,4
74,0,3,30,7,8,2,1,0,2,9
75,9,7,43,9,2,5,0,98,68,7
76,9,7,87,0,10,5,4,1,46,8
77,5,10,19,2,8,6,8,50,38,6
78,9,9,90,1,5,1,2,8,98,0
79,6,8,28,4,8,8,2,4,17,6
80,8,5,29,8,6,9,9,11,90,1
81,6,2,90,10,7,4,3,53,63,6
82,2,6,75,8,7,8,9,18,90,3
83,1,8,20,8,3,1,1,46,44,0
84,1,2,12,0,5,2,5,87,3,8
85,10,10,61,9,9,8,8,43,86,7
86,5,9,100,10,10,9,9,88,64,1
87,9,9,25,10,8,8,6,1,34,3
88,7,10,81,8,7,9,8,41,67,7
89,3,3,21,10,9,3,4,41,96,1
90,7,7,12,2,0,0,5,82,91,6
91,9,8,99,0,4,4,6,21,40,2
92,9,0,62,9,6,3,2,40,12,9
93,7,7,38,2,10,5,2,58,49,9
94,9,6,42,7,6,4,6,89,75,4
95,7,7,44,4,7,1,9,33,94,6
96,2,3,49,6,0,6,4,0,75,7
97,9,9,53,6,9,8,7,38,96,2
98,3,7,6,3,0,7,5,92,32,3
99,10,6,64,6,4,9,1,72,90,7
100,3,5,87,9,8,3,6,41,82,9
101,3,9,12,4,2,9,1,86,90,4
102,10,9,77,1,0,3,6,48,11,3
103,2,3,31,5,5,4,7,45,35,6
104,1,7,65,6,10,3,0,36,54,3
105,3,4,6,3,4,0,7,13,75,3
106,3,5,59,4,8,7,0,11,77,10
107,7,8,62,10,7,1,10,4,65,7
108,2,8,17,1,10,1,7,70,42,1
109,8,4,77,9,8,1,10,7,77,9
110,5,7,95,10,8,6,3,49,20,1
111,6,2,49,2,9,6,0,42,94,7
112,3,2,8,9,4,10,7,97,68,9
113,4,5,29,8,3,1,5,22,47,9
114,1,4,96,4,5,8,5,42,24,7
115,3,5,39,6,0,5,2,99,76,2
116,4,0,15,8,2,10,5,24,0,1
117,5,10,68,6,4,5,3,63,96,4
118,10,6,2,0,10,3,9,40,39,9
119,2,7,60,9,0,9,6,12,95,8
120,5,2,36,3,1,10,0,33,72,9
121,7,9,55,5,8,6,4,77,83,9
122,5,10,40,0,5,10,3,82,19,10
123,8,4,87,8,5,4,0,63,26,7
124,10,0,8,10,2,4,8,66,89,6
125,5,4,14,10,2,1,10,55,82,1
126,0,2,55,8,2,7,5,75,58,2
127,10,5,14,8,5,10,1,54,93,10
128,10,4,38,6,1,9,9,98,41,4
129,7,9,88,4,1,6,5,16,1,6
130,9,10,97,5,7,8,0,75,76,0
131,1,1,8,3,10,9,10,68,20,4
132,3,10,58,4,3,8,1,35,42,1
133,3,7,78,3,7,8,1,23,72,9
134,9,6,71,7,10,6,9,77,99,9
135,6,2,29,1,3,0,1,60,7,4
136,1,9,85,8,6,6,5,79,81,2
137,2,8,41,1,9,4,6,43,15,6
138,1,10,40,5,4,2,4,70,10,9
139,7,3,53,8,5,0,7,76,93,9
140,7,4,72,2,8,3,10,36,48,8
141,6,10,54,10,3,0,0,45,68,0
142,1,4,92,5,8,7,8,45,6,3
143,5,8,64,6,3,9,7,27,27,6
144,1,0,48,5,8,2,5,95,49,4
145,4,9,60,8,2,2,10,75,78,5
146,2,4,44,4,7,2,5,96,12,1
147,4,3,78,1,5,2,0,4,51,10
148,6,0,55,9,7,6,0,10,9,8
149,10,8,93,4,7,2,4,85,8,10
150,8,2,24,4,5,3,0,68,10,8
151,10,10,62,0,4,8,9,35,86,7
152,5,10,4,2,9,5,7,96,64,9
153,9,5,10,3,8,10,3,47,62,1
154,2,6,42,5,5,0,0,27,12,8
155,10,6,57,3,9,0,2,94,4,1
156,5,4,80,10,8,7,5,80,100,0
157,6,4,98,1,5,10,2,63,51,4
158,6,2,0,4,4,3,6,23,60,0
159,0,4,4,9,8,3,10,81,35,6
160,4,8,80,5,5,2,5,90,32,8
161,2,9,100,10,6,0,7,2,63,7
162,2,7,25,0,6,6,6,96,27,10
163,5,3,78,5,0,9,2,93,88,4
164,9,4,36,3,8,1,8,82,68,1
165,3,8,55,3,9,8,2,70,88,0
166,1,8,86,3,3,0,7,94,60,10
167,8,10,60,10,1,1,9,79,68,5
168,9,6,36,0,5,0,4,0,74,7
169,10,7,71,10,2,4,3,11,0,6
170,3,7,5,8,4,3,4,13,0,7
171,10,9,37,3,10,10,10,53,17,9
172,6,10,79,3,1,1,0,84,76,10
173,0,4,10,9,7,8,5,36,82,10
174,1,1,24,5,7,2,8,8,6,7
175,1,6,92,4,6,3,0,86,33,2
176,7,2,33,10,4,8,4,86,34,3
177,1,4,16,8,1,10,0,32,44,1
178,2,2,35,7,5,5,6,71,67,10
179,1,8,57,9,4,5,6,60,64,10
180,9,10,81,8,8,3,4,91,98,7
181,8,9,0,1,10,5,6,22,48,5
