,0,1,2,3,4,5,6,7,8
0,3,8,5,7,9,,3.0,6,10
1,2,1,10,10,10,8.0,,8,6
2,7,6,4,1,4,,,8,0
3,6,7,10,1,8,8.0,,8,9
4,2,0,9,5,0,3.0,1.0,3,7
5,4,4,0,5,3,9.0,,5,6
6,1,0,4,2,1,2.0,,6,9
7,3,10,5,5,10,0.0,4.0,6,6
8,3,4,5,4,7,,,1,5
9,1,4,10,0,8,,0.0,8,10
10,3,10,6,7,3,0.0,8.0,9,6
11,7,1,6,3,5,,,0,10
12,8,7,8,0,9,6.0,1.0,9,6
13,9,1,7,5,1,3.0,3.0,5,4
14,1,1,9,0,8,,3.0,3,8
15,7,8,6,3,8,1.0,2.0,8,4
16,2,8,10,2,3,,,4,0
17,0,10,5,9,10,7.0,,10,8
18,6,9,7,7,3,3.0,6.0,2,3
19,7,9,5,1,5,1.0,,3,3
20,4,10,9,9,9,9.0,,3,9
21,3,1,3,0,5,,,2,3
22,5,1,10,3,1,,3.0,8,4
23,7,5,7,0,9,8.0,2.0,5,4
24,3,10,1,3,2,,8.0,8,2
25,10,6,10,5,3,,,8,10
26,9,1,7,7,9,6.0,6.0,8,9
27,0,10,8,4,6,4.0,6.0,5,2
28,3,6,1,5,3,,5.0,9,8
29,10,2,2,10,4,7.0,9.0,2,0
30,6,8,4,7,5,,,0,7
31,2,7,7,10,8,3.0,,0,6
32,2,6,0,4,9,9.0,2.0,2,5
33,4,6,4,3,1,0.0,,9,3
34,8,4,4,1,10,4.0,,7,1
35,2,3,3,4,3,10.0,7.0,1,9
36,1,10,4,8,0,7.0,,2,5
37,4,3,1,2,7,,2.0,2,0
38,2,4,10,5,5,,6.0,2,3
39,7,0,4,0,1,,4.0,9,4
40,3,10,5,0,2,,,8,9
41,5,10,4,9,4,6.0,4.0,7,0
42,2,5,4,8,1,4.0,5.0,7,8
43,3,8,7,10,5,,,8,10
44,5,6,8,10,9,2.0,1.0,8,9
45,5,8,4,2,9,9.0,3.0,1,3
46,9,1,9,8,9,9.0,9.0,2,3
47,8,8,6,7,7,10.0,10.0,7,6
48,7,3,3,7,10,,,9,3
49,10,2,8,8,9,,,2,7
50,10,3,10,7,2,,3.0,7,5
51,10,3,9,10,4,4.0,,2,0
52,7,5,2,10,2,,,7,4
53,6,10,2,2,4,,,8,7
54,3,2,10,10,1,,,3,2
55,2,3,3,0,0,10.0,5.0,10,1
56,7,1,5,1,7,,,3,9
