,0,1,2,3,4,5,6,7,8,9
0,9,10,7,6,3,8,0,7,2,4
1,3,0,10,2,5,9,8,5,1,6
2,0,3,4,3,10,8,6,0,5,10
3,3,3,0,2,2,1,10,8,5,4
4,5,10,3,0,3,3,0,5,9,0
5,2,0,5,6,8,7,6,3,6,6
6,9,0,5,8,5,5,3,2,2,6
7,10,10,7,9,3,4,5,10,10,4
8,2,6,5,5,9,5,5,6,4,8
9,0,9,9,8,6,5,7,6,10,5
10,9,8,3,7,7,2,5,0,7,2
11,6,2,3,8,6,3,10,4,3,2
12,2,1,1,4,7,3,8,8,2,9
13,3,6,7,2,1,1,9,6,8,3
14,5,4,6,9,7,10,6,1,8,4
15,7,5,1,8,8,4,0,8,6,6
16,6,4,1,0,4,10,2,0,2,9
17,5,6,8,6,10,5,8,3,9,5
18,10,7,10,0,5,0,8,10,6,10
19,3,7,1,4,8,2,0,0,9,3
20,6,6,2,3,4,0,5,0,1,8
21,0,5,8,3,2,4,9,6,6,6
22,1,4,4,7,8,6,6,2,7,10
23,6,1,10,10,2,4,8,10,8,4
24,1,1,6,5,0,2,8,4,1,4
25,6,1,3,6,1,7,2,10,7,10
26,5,8,9,10,9,4,3,5,0,5
27,7,5,9,9,6,0,8,8,9,6
28,5,4,9,8,5,9,6,4,8,0
29,6,2,10,0,8,8,0,5,2,9
30,4,9,1,6,0,3,5,5,9,6
31,0,9,2,10,1,5,4,6,7,0
32,2,8,7,2,1,9,10,10,3,3
33,4,10,4,1,3,4,8,9,9,9
34,5,0,7,1,7,3,6,7,1,7
35,9,3,9,2,2,6,8,2,8,7
36,0,6,10,4,5,2,10,6,1,6
37,3,1,1,10,6,3,3,10,6,2
38,7,4,1,5,2,2,7,7,0,7
39,9,0,2,5,1,10,4,9,5,9
40,8,1,5,8,7,0,1,3,8,7
41,9,10,1,1,1,0,7,4,5,1
42,7,8,2,8,8,10,10,9,7,6
43,6,4,3,4,2,3,7,6,6,1
44,3,3,10,6,9,1,2,9,9,7
45,3,9,5,7,6,9,6,9,2,3
46,5,9,8,10,2,8,7,1,1,7
47,8,4,6,7,4,8,6,6,1,6
48,0,2,2,4,6,3,10,8,7,7
49,4,6,5,9,7,9,8,5,1,9
50,5,6,2,3,4,10,2,9,3,6
51,10,0,7,8,2,3,9,10,8,6
52,0,9,9,10,8,6,7,2,9,5
53,8,6,0,5,3,2,6,4,5,1
54,5,8,6,4,1,5,8,8,4,3
55,6,8,5,1,6,8,10,3,3,6
56,3,10,3,3,0,6,8,5,10,7
57,3,0,7,4,8,2,6,2,8,4
58,6,9,1,7,6,7,6,6,5,7
59,8,7,4,3,4,6,5,3,6,8
60,6,8,1,10,9,1,2,1,3,6
61,9,6,9,10,2,10,3,10,5,1
62,10,3,0,4,6,8,3,0,4,8
63,0,4,5,5,4,8,1,9,10,4
64,7,0,6,2,0,10,1,0,8,7
65,0,1,3,9,10,6,4,9,3,5
66,4,2,5,8,1,1,9,6,10,3
67,10,1,9,1,1,2,3,4,8,0
68,10,6,6,9,10,4,8,9,10,2
69,10,0,10,1,9,0,8,4,3,3
70,5,9,2,6,6,9,9,1,8,0
71,4,0,6,8,7,2,6,0,7,6
72,4,3,7,3,7,1,10,4,0,2
73,2,1,6,8,2,10,0,6,4,6
74,10,6,10,6,10,9,7,1,6,7
75,3,10,8,3,9,10,5,0,3,2
76,4,5,8,4,3,5,0,10,2,1
77,9,10,2,1,7,2,8,3,1,1
78,5,2,1,5,8,4,1,7,6,5
79,9,5,5,10,2,0,9,8,1,5
80,4,6,6,0,9,0,8,6,3,4
81,8,6,3,4,2,2,7,6,2,2
82,1,8,6,3,3,4,8,0,3,4
83,2,7,5,5,7,6,5,1,6,2
84,3,8,7,8,9,0,5,8,7,4
85,6,6,5,8,5,7,6,5,9,4
86,3,1,10,8,1,6,1,0,4,5
87,3,6,4,5,3,4,0,0,8,1
88,1,5,10,8,4,1,3,1,7,4
89,5,8,8,1,3,2,2,5,9,4
90,2,10,8,0,2,6,4,10,4,10
91,4,5,4,8,3,1,9,9,8,7
92,9,0,7,0,3,0,0,3,2,2
93,5,9,4,1,9,5,4,0,0,6
94,9,10,10,8,4,3,4,2,9,10
95,8,1,8,4,2,7,0,6,0,1
96,8,9,9,9,5,1,2,6,4,2
97,9,10,2,0,9,4,3,10,0,8
98,0,4,10,8,6,6,2,9,10,6
99,3,6,10,4,2,5,1,1,3,3
100,5,7,6,2,6,9,10,9,3,8
101,9,5,5,2,10,7,0,2,8,10
102,1,7,8,8,8,7,6,3,7,9
103,2,3,10,4,10,6,6,0,9,7
104,0,0,3,6,6,2,2,10,10,2
105,6,3,1,9,10,4,6,7,7,9
106,3,6,4,3,3,8,4,8,1,4
107,4,5,8,5,4,1,5,10,9,6
108,10,10,9,5,9,9,4,10,8,8
109,6,0,1,5,8,3,6,7,5,2
110,9,3,0,5,10,4,5,8,5,3
111,9,8,7,9,1,2,1,0,7,9
112,2,2,9,6,8,10,1,7,2,1
113,7,3,8,9,1,5,5,10,10,2
114,0,3,8,0,2,9,1,5,1,9
115,8,7,7,9,9,0,7,7,2,9
116,8,10,3,2,5,4,0,3,9,10
117,3,2,7,4,4,2,9,2,8,5
118,2,6,4,10,2,9,0,7,5,3
119,4,4,10,6,5,6,4,5,6,5
120,10,1,9,5,5,6,8,2,10,0
121,10,3,7,4,3,2,8,1,10,1
122,10,0,0,10,8,5,3,8,2,6
123,9,1,7,3,3,4,7,8,6,0
124,2,1,2,2,8,0,4,8,0,1
125,0,6,8,8,3,6,3,1,9,8
126,3,1,8,5,0,2,2,1,4,1
127,1,0,9,9,3,0,7,8,8,0
128,2,4,8,0,10,3,7,3,5,9
129,5,1,9,1,10,5,7,4,1,1
130,8,10,5,6,7,1,9,6,4,0
131,0,4,8,9,5,7,10,1,2,8
132,5,9,1,0,8,5,4,10,7,4
133,5,5,2,6,7,4,4,2,2,9
134,2,7,9,6,5,0,4,0,8,8
135,2,6,1,6,4,9,5,1,7,1
136,5,6,8,2,5,6,8,6,1,1
137,7,8,3,7,10,9,8,1,5,4
138,0,8,6,7,2,9,0,0,9,4
139,10,7,2,5,6,7,5,9,8,1
140,5,4,0,10,9,7,10,7,10,5
141,7,4,7,1,10,4,3,0,10,5
142,8,2,7,0,4,0,5,7,4,9
143,2,3,8,8,10,5,2,1,10,6
144,1,2,2,5,6,4,9,8,4,0
145,3,5,8,9,7,5,8,1,7,7
146,3,2,4,8,8,7,9,4,8,9
147,2,10,10,9,6,8,10,4,2,4
148,0,9,10,1,9,7,9,6,10,2
149,5,3,7,10,5,10,4,2,3,2
150,6,5,8,0,3,10,7,7,1,9
151,8,2,3,2,5,5,0,3,0,3
152,9,1,2,4,3,7,0,10,2,9
153,1,1,1,0,8,10,0,2,2,6
154,8,9,8,7,2,5,10,7,2,8
155,2,7,1,5,6,9,8,1,8,10
156,2,3,1,0,9,4,3,1,9,3
157,6,2,5,10,1,10,5,4,8,5
158,2,0,9,3,9,1,0,5,0,2
159,2,9,0,7,5,8,1,4,10,4
160,3,6,3,5,9,8,0,9,8,1
161,9,9,9,7,3,5,0,2,8,2
162,1,6,7,8,2,7,6,5,5,6
163,5,3,7,6,8,6,4,7,1,8
164,0,2,8,2,8,4,8,10,8,5
165,10,3,8,5,1,7,10,5,3,0
166,7,2,5,5,5,5,10,2,0,0
167,1,8,3,3,6,1,7,1,9,8
168,0,4,4,2,3,5,8,9,9,10
169,2,9,1,5,8,4,4,5,0,2
