0,1,2,3,4,5,6,7,8,9
2,2,0,7,1,4,2,10,52,3
7,10,9,2,3,9,7,10,39,6
5,4,0,8,8,6,7,10,3,7
0,2,7,9,3,3,5,10,76,4
8,10,0,5,10,10,7,10,44,1
4,6,5,5,10,10,10,10,16,1
2,6,5,1,2,6,6,10,45,8
9,0,9,10,4,6,7,10,37,3
5,5,9,6,8,10,4,10,51,2
4,5,9,10,10,2,7,10,14,8
4,8,5,7,0,3,10,10,88,4
2,10,10,3,6,10,10,10,59,10
8,7,0,9,0,8,2,10,57,10
5,2,8,9,10,10,3,10,18,5
7,1,10,2,1,6,6,10,97,7
0,1,7,8,8,5,7,10,56,2
6,6,9,7,6,0,9,10,71,8
7,2,7,7,7,10,1,10,91,3
3,0,7,1,3,5,8,10,68,3
9,0,3,8,3,9,1,10,25,5
0,8,7,5,6,4,8,10,32,0
10,4,9,4,10,1,2,10,12,3
1,0,2,7,9,8,1,10,50,8
2,3,10,10,4,6,5,10,0,9
3,4,10,8,8,8,1,10,27,0
3,0,3,5,3,0,8,10,91,0
2,2,0,3,9,10,1,0,23,0
3,1,1,3,2,1,4,10,44,9
7,8,6,1,10,7,6,10,67,3
10,3,8,8,9,10,9,9,54,8
1,6,4,3,6,7,3,10,53,9
4,6,1,7,8,3,6,10,59,4
0,0,8,2,5,1,9,10,8,10
8,4,5,3,6,1,1,10,98,3
0,0,7,1,5,2,9,10,72,0
10,3,3,3,7,3,2,10,53,7
4,2,1,1,3,0,6,0,2,9
4,8,9,2,8,9,5,10,32,0
6,3,5,0,0,3,10,10,7,10
9,0,2,7,1,3,3,10,0,10
0,8,5,0,4,8,7,10,13,0
0,10,7,0,10,3,2,10,97,2
7,5,3,9,2,1,7,10,38,7
1,2,8,4,5,8,7,10,39,6
7,2,5,2,8,4,8,3,56,4
2,5,0,4,6,8,1,10,60,7
1,1,9,5,1,0,8,10,39,0
8,8,6,2,1,1,1,10,8,6
7,2,6,3,8,0,10,10,15,0
9,4,6,3,9,10,8,10,58,5
6,8,8,10,4,3,8,10,7,8
6,1,6,4,5,9,3,10,69,3
9,3,3,5,7,3,1,10,8,3
5,10,6,6,3,3,4,10,87,6
8,4,8,7,8,1,1,10,48,8
8,4,6,4,2,1,5,10,32,4
0,4,5,6,0,1,1,0,10,1
2,9,9,9,5,5,4,10,54,3
9,3,1,7,8,5,5,6,49,3
1,8,5,10,7,1,1,10,49,3
6,8,4,1,8,4,1,10,48,10
3,8,2,10,0,5,0,10,84,2
10,0,3,5,10,7,3,10,87,1
2,0,5,1,3,0,3,5,27,10
7,10,0,0,2,7,4,10,57,8
8,2,7,1,3,7,6,10,41,9
0,4,4,6,9,4,0,10,17,2
8,6,10,3,3,0,1,10,34,5
8,10,5,2,7,5,3,10,17,5
8,4,2,8,3,6,5,10,45,9
10,0,9,9,8,7,4,10,32,6
1,9,8,5,0,5,5,10,64,9
4,1,0,9,7,2,8,10,5,3
9,3,5,10,7,5,7,10,78,0
0,2,1,5,6,10,8,10,41,8
4,1,9,0,10,6,9,10,84,4
8,3,1,2,1,4,6,10,4,6
3,8,0,8,6,8,8,10,56,8
9,8,2,0,1,2,1,10,19,8
6,2,4,2,1,1,9,10,33,0
8,3,3,2,0,6,7,3,0,10
1,6,6,5,10,9,2,10,19,10
10,6,1,8,5,2,9,10,95,0
10,1,7,10,6,6,1,10,97,5
8,9,10,5,0,9,1,10,52,4
6,6,9,4,5,6,9,10,4,6
4,0,3,9,9,9,10,10,10,3
8,6,8,10,7,4,4,4,45,2
3,4,7,3,4,6,5,10,25,3
0,7,0,9,2,4,8,10,57,5
1,4,7,8,7,6,10,10,96,8
8,5,7,10,7,2,8,4,92,7
6,8,10,0,8,0,5,10,41,1
1,6,6,2,10,0,2,10,41,7
6,7,7,6,4,7,3,10,85,2
8,10,5,5,10,3,9,10,63,6
8,0,3,4,8,10,5,10,61,4
10,10,7,3,1,2,10,10,77,2
8,4,4,7,8,4,3,10,66,1
4,1,5,10,3,8,7,10,82,9
3,1,9,3,4,0,7,10,47,3
6,1,1,6,3,7,7,10,11,9
4,4,8,2,8,6,10,0,38,7
5,10,2,1,0,5,3,10,39,9
1,1,4,2,9,9,9,10,14,7
4,10,10,8,9,3,9,10,86,5
4,5,8,10,7,4,2,10,80,7
1,1,5,1,4,1,5,10,82,10
4,4,8,8,2,5,5,10,66,8
4,7,9,2,8,8,7,10,72,3
10,7,1,4,10,3,10,10,89,5
0,8,0,2,1,8,7,10,18,7
4,9,1,7,0,6,10,10,3,9
10,1,1,1,3,4,2,10,15,9
10,5,4,0,0,8,9,10,81,5
7,7,8,7,9,7,1,10,60,7
9,5,2,1,5,2,8,1,29,10
5,2,2,8,7,10,7,10,78,5
6,1,0,1,1,4,7,10,51,9
2,6,0,10,6,10,3,10,82,4
1,4,7,0,5,5,5,10,27,0
6,0,2,9,10,9,4,10,71,10
4,10,5,4,7,1,0,10,29,7
3,1,4,8,8,0,2,10,73,0
1,5,3,6,5,3,7,3,15,7
5,3,7,5,9,4,7,10,75,9
10,4,6,10,3,4,8,6,98,7
2,8,3,5,7,1,8,10,79,6
4,7,9,0,3,1,10,10,73,4
10,8,1,1,1,5,10,10,38,8
10,6,4,4,4,9,6,10,79,2
1,7,2,3,3,9,5,10,5,2
10,3,8,6,0,5,9,10,8,3
1,6,3,7,6,0,9,10,92,6
0,6,2,8,7,7,10,10,83,3
0,1,6,0,0,4,0,10,11,2
10,8,6,1,2,6,8,10,4,4
0,9,3,8,3,7,8,10,50,0
4,5,6,1,0,6,9,10,80,4
2,8,10,1,1,8,9,10,95,5
9,8,9,5,7,9,7,10,6,5
1,9,5,5,7,7,1,10,97,2
9,7,0,3,10,6,7,10,81,0
6,6,3,1,10,6,6,3,86,3
3,2,8,9,0,9,9,10,47,7
7,3,6,2,10,3,0,10,63,7
0,2,9,5,4,1,9,10,58,10
3,1,6,8,2,7,1,10,24,2
8,2,10,1,2,7,6,10,46,10
7,5,6,6,8,8,7,10,88,5
7,10,5,2,9,5,1,10,24,8
7,9,2,6,9,5,5,10,25,2
3,3,9,4,7,4,1,10,48,4
4,0,5,2,5,7,6,10,15,9
2,6,9,2,0,10,9,10,24,5
7,6,4,10,5,7,5,10,1,5
0,10,1,6,4,4,9,10,98,0
3,10,4,6,6,2,6,10,45,0
2,4,4,4,5,4,3,10,39,0
