0,1,2,3,4
5,9,62,76,88
3,4,44,44,33
10,8,85,24,4
8,1,84,11,42
8,8,9,39,5
7,7,25,33,96
1,8,70,71,29
8,5,50,21,49
10,10,94,69,80
10,7,89,77,53
3,2,37,37,87
4,5,66,87,4
6,3,15,50,52
1,1,1,71,76
2,9,2,85,93
7,4,83,39,38
10,3,99,68,80
3,5,97,71,72
3,1,6,6,8
0,4,26,35,13
4,9,53,21,39
10,1,50,50,2
10,7,17,3,60
6,0,22,16,60
8,8,0,39,3
6,2,51,83,70
10,10,70,90,25
10,0,84,75,20
8,2,2,46,6
0,9,19,47,55
0,5,72,8,79
7,7,36,58,73
8,8,100,38,1
4,9,32,27,88
4,4,42,77,61
7,9,78,35,38
10,10,75,100,87
0,5,43,72,90
5,0,63,37,13
1,4,86,18,21
6,0,0,30,59
6,4,48,53,48
10,2,9,4,85
4,3,94,86,43
8,5,93,7,92
9,7,100,39,24
5,5,20,30,23
4,3,96,60,22
3,8,21,69,82
10,10,35,18,63
1,7,85,90,57
5,7,50,25,20
6,7,3,27,32
2,10,18,50,16
10,2,57,62,84
0,7,10,31,47
4,2,100,36,98
9,0,69,93,7
0,7,7,93,39
5,9,45,94,81
2,3,44,38,82
8,5,21,91,79
10,7,71,35,9
6,7,94,8,11
5,5,66,27,83
4,8,27,1,1
4,3,89,89,49
9,8,15,4,44
10,6,10,96,29
6,4,96,91,69
6,9,95,84,69
7,2,57,1,72
9,9,58,61,98
4,5,30,1,35
9,8,85,3,8
4,0,83,66,41
6,0,96,43,83
10,7,22,66,25
2,7,75,94,50
2,7,96,22,42
5,8,72,60,2
9,4,95,67,85
4,2,45,83,20
4,3,47,18,84
0,8,47,44,9
5,3,57,31,8
10,4,38,10,42
6,3,17,7,4
0,4,29,49,97
0,6,23,76,68
10,2,80,38,33
10,10,37,22,36
8,6,70,34,15
9,0,60,63,12
5,6,74,66,9
6,1,18,11,64
10,1,41,81,41
3,9,77,31,2
10,9,36,22,2
2,4,74,94,41
1,7,4,67,93
7,2,34,9,35
7,2,63,28,25
10,8,60,99,14
8,8,51,37,52
9,1,53,11,45
2,3,35,38,17
4,6,66,90,54
10,8,61,42,98
9,5,59,56,3
7,4,53,18,50
9,0,39,73,20
1,10,82,31,31
3,5,73,62,17
7,8,4,97,14
6,9,73,69,27
9,5,76,14,96
6,8,95,87,71
2,10,56,50,6
4,2,43,96,45
7,6,54,26,48
7,3,71,70,42
8,10,60,76,83
2,4,6,61,75
8,3,94,36,46
0,9,31,98,59
6,9,35,35,62
7,10,44,56,74
8,4,60,95,28
4,1,75,4,13
3,0,64,77,69
6,0,13,19,77
8,4,49,83,49
2,8,85,39,82
9,8,95,94,38
7,7,22,17,5
10,10,90,25,81
5,5,19,8,75
3,1,2,30,77
10,3,77,96,27
5,2,16,15,26
4,5,82,22,54
2,10,97,23,49
5,5,68,38,84
2,1,39,27,62
10,0,67,19,9
6,8,99,77,45
5,2,12,65,48
7,4,9,25,26
0,10,89,40,62
2,9,96,17,38
4,0,82,28,20
4,6,77,71,49
8,1,78,4,40
9,2,41,59,16
3,7,81,89,83
10,10,11,5,46
7,7,31,19,84
3,2,70,78,24
4,1,6,66,28
3,1,30,38,8
5,7,34,50,6
4,5,41,49,37
6,1,64,22,91
1,4,95,93,30
1,3,70,34,60
5,6,80,79,54
10,8,68,87,14
4,9,90,92,46
10,2,46,9,64
7,10,26,17,1
6,0,88,65,57
8,10,55,52,92
3,5,77,68,0
3,1,87,21,17
3,7,82,7,13
4,4,15,0,72
4,6,42,26,27
4,2,61,94,9
5,7,42,53,4
9,6,87,66,88
5,7,55,84,47
8,4,53,96,8
0,9,89,82,5
1,3,27,31,39
8,1,7,62,59
5,5,7,6,92
9,10,10,46,24
5,6,67,95,73
7,1,55,55,49
2,2,72,94,29
3,10,4,11,95
5,3,49,94,92
5,7,53,70,95
2,3,31,40,65
6,8,19,25,15
5,3,42,35,41
2,4,98,35,36
0,0,26,22,30
6,7,33,28,43
7,6,41,29,98
8,5,48,53,94
9,4,51,24,77
1,10,89,48,85
3,10,45,41,20
3,10,69,45,89
3,6,74,100,32
3,4,58,61,85
3,2,49,47,10
0,5,37,22,7
0,8,92,71,53
0,6,14,32,38
6,3,64,6,43
1,10,39,0,98
4,4,65,65,74
3,9,81,18,41
9,8,2,2,64
9,3,32,64,7
5,7,39,2,59
7,3,76,27,17
10,3,56,84,18
7,7,40,87,43
0,8,24,40,71
8,0,60,94,57
3,2,76,51,56
5,10,23,71,65
8,7,99,81,49
4,7,50,69,82
2,6,61,14,92
6,1,46,66,70
8,10,40,52,41
4,6,73,50,29
7,5,61,25,78
10,4,96,46,44
0,1,51,11,13
1,2,38,49,28
1,3,71,13,82
6,10,55,2,33
10,9,75,57,57
3,9,96,45,100
5,9,4,94,12
5,10,97,0,10
0,10,93,3,17
5,5,55,67,92
3,0,67,3,97
3,3,68,10,57
10,2,80,55,10
6,0,24,18,91
8,1,42,12,37
8,3,57,50,100
10,1,51,83,100
9,1,7,82,23
0,3,83,42,87
2,4,69,79,82
10,5,42,61,32
4,3,8,83,100
2,2,87,57,23
