0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,8,1,34,8,9,5,81,6,7,0,28,26,0
2,88,7,21,99,6,7,97,1,0,7,77,30,10
7,82,8,94,91,7,16,1,6,6,10,91,33,0
2,75,7,82,9,7,64,39,3,4,3,87,21,7
6,35,9,85,51,10,81,58,6,8,6,81,41,1
5,18,1,72,77,8,88,71,9,8,10,79,34,3
1,21,4,57,77,1,38,3,6,4,3,50,10,4
1,10,6,70,56,3,96,19,2,5,0,72,3,2
10,28,10,27,20,3,38,85,1,4,5,20,45,3
3,72,3,60,98,10,41,97,7,3,5,56,71,3
3,95,5,90,61,10,27,63,6,10,2,37,26,7
3,51,4,64,12,10,30,40,9,6,3,29,100,8
10,41,7,40,70,3,24,72,9,6,5,13,18,2
3,90,2,47,20,0,12,63,10,6,10,70,46,0
8,90,7,88,76,10,60,82,3,1,1,65,70,9
9,97,1,62,84,4,53,0,1,3,9,35,4,10
9,85,4,60,52,5,47,59,1,6,4,80,62,2
9,8,10,93,86,1,100,56,0,2,8,53,84,10
3,1,0,94,94,4,69,81,4,7,6,23,1,2
1,92,10,94,15,3,96,47,7,0,6,32,47,3
0,15,9,15,33,8,17,35,0,4,9,67,57,1
0,2,3,96,50,6,79,19,0,2,10,43,58,5
9,19,9,45,27,0,36,54,1,8,8,36,43,9
5,4,9,24,67,6,40,91,1,8,7,46,50,10
5,21,5,70,97,8,58,14,4,10,7,37,42,5
3,25,8,42,54,9,53,2,2,5,3,2,43,2
1,10,3,37,34,3,4,13,3,7,1,0,18,5
8,47,3,30,43,8,36,90,3,5,3,81,86,8
2,88,4,42,10,9,1,31,3,6,3,83,20,2
2,24,5,61,46,0,98,29,9,5,3,22,38,4
1,4,5,67,77,8,52,0,10,8,2,93,88,0
9,23,2,76,10,5,67,86,10,9,3,31,62,1
7,45,8,14,89,1,46,27,3,0,3,82,80,6
2,23,6,50,46,0,51,4,1,2,4,9,97,10
6,15,6,18,95,9,45,61,9,3,7,84,39,3
0,10,3,5,30,0,42,96,6,10,9,96,20,6
8,92,7,40,22,2,38,19,0,7,7,46,6,4
9,61,7,55,80,10,99,100,0,9,4,30,95,1
3,5,5,26,89,3,84,77,4,9,3,71,60,4
3,30,5,81,40,3,90,26,7,1,3,95,90,2
3,46,1,64,20,0,6,66,6,5,3,13,47,10
9,86,8,11,23,5,7,0,0,9,0,36,83,1
3,33,7,1,65,8,15,53,10,10,10,12,43,9
8,90,3,78,73,9,0,69,4,10,8,98,52,2
4,42,4,81,61,9,0,55,9,8,2,79,80,3
9,26,6,92,45,9,61,85,3,6,2,29,8,8
5,77,3,14,67,5,95,76,1,0,5,75,74,1
3,64,7,3,95,5,5,92,4,3,9,52,44,2
0,10,0,52,82,2,31,74,6,2,6,48,90,0
9,78,3,95,98,6,28,0,3,10,3,77,43,1
10,14,5,87,25,8,75,42,5,7,8,11,21,2
2,37,5,47,95,1,78,68,2,8,1,80,13,3
3,67,0,75,50,9,100,69,5,10,0,48,49,1
0,9,4,99,54,0,90,65,5,5,8,51,28,8
3,49,6,27,61,7,10,18,10,6,7,87,87,2
6,53,6,4,64,4,74,96,8,0,9,52,38,1
5,5,0,63,51,10,31,59,5,9,2,18,97,10
5,49,4,60,81,2,49,48,2,6,7,56,14,9
6,6,9,14,8,8,86,85,4,10,10,9,33,7
5,86,1,18,77,8,91,90,5,5,0,100,92,7
4,27,4,53,87,9,70,97,5,9,8,94,6,1
0,64,10,78,2,3,91,72,8,5,8,7,48,7
0,73,5,86,46,10,29,18,9,0,2,11,61,2
9,14,4,28,75,0,4,20,3,1,5,45,53,7
8,66,8,30,93,0,26,81,6,10,7,86,95,2
10,69,4,58,1,9,81,43,8,3,2,42,5,10
2,90,6,32,46,6,46,76,3,6,5,78,18,9
3,60,7,24,56,9,10,38,10,0,10,36,31,4
