,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,8,1,34,8,9,5,81,6,7,0,28,26,0
1,2,88,7,21,99,6,7,97,1,0,7,77,30,10
2,7,82,8,94,91,7,16,1,6,6,10,91,33,0
3,2,75,7,82,9,7,64,39,3,4,3,87,21,7
4,6,35,9,85,51,10,81,58,6,8,6,81,41,1
5,5,18,1,72,77,8,88,71,9,8,10,79,34,3
6,1,21,4,57,77,1,38,3,6,4,3,50,10,4
7,1,10,6,70,56,3,96,19,2,5,0,72,3,2
8,10,28,10,27,20,3,38,85,1,4,5,20,45,3
9,3,72,3,60,98,10,41,97,7,3,5,56,71,3
10,3,95,5,90,61,10,27,63,6,10,2,37,26,7
11,3,51,4,64,12,10,30,40,9,6,3,29,100,8
12,10,41,7,40,70,3,24,72,9,6,5,13,18,2
13,3,90,2,47,20,0,12,63,10,6,10,70,46,0
14,8,90,7,88,76,10,60,82,3,1,1,65,70,9
15,9,97,1,62,84,4,53,0,1,3,9,35,4,10
16,9,85,4,60,52,5,47,59,1,6,4,80,62,2
17,9,8,10,93,86,1,100,56,0,2,8,53,84,10
18,3,1,0,94,94,4,69,81,4,7,6,23,1,2
19,1,92,10,94,15,3,96,47,7,0,6,32,47,3
20,0,15,9,15,33,8,17,35,0,4,9,67,57,1
21,0,2,3,96,50,6,79,19,0,2,10,43,58,5
22,9,19,9,45,27,0,36,54,1,8,8,36,43,9
23,5,4,9,24,67,6,40,91,1,8,7,46,50,10
24,5,21,5,70,97,8,58,14,4,10,7,37,42,5
25,3,25,8,42,54,9,53,2,2,5,3,2,43,2
26,1,10,3,37,34,3,4,13,3,7,1,0,18,5
27,8,47,3,30,43,8,36,90,3,5,3,81,86,8
28,2,88,4,42,10,9,1,31,3,6,3,83,20,2
29,2,24,5,61,46,0,98,29,9,5,3,22,38,4
30,1,4,5,67,77,8,52,0,10,8,2,93,88,0
31,9,23,2,76,10,5,67,86,10,9,3,31,62,1
32,7,45,8,14,89,1,46,27,3,0,3,82,80,6
33,2,23,6,50,46,0,51,4,1,2,4,9,97,10
34,6,15,6,18,95,9,45,61,9,3,7,84,39,3
35,0,10,3,5,30,0,42,96,6,10,9,96,20,6
36,8,92,7,40,22,2,38,19,0,7,7,46,6,4
37,9,61,7,55,80,10,99,100,0,9,4,30,95,1
38,3,5,5,26,89,3,84,77,4,9,3,71,60,4
39,3,30,5,81,40,3,90,26,7,1,3,95,90,2
40,3,46,1,64,20,0,6,66,6,5,3,13,47,10
41,9,86,8,11,23,5,7,0,0,9,0,36,83,1
42,3,33,7,1,65,8,15,53,10,10,10,12,43,9
43,8,90,3,78,73,9,0,69,4,10,8,98,52,2
44,4,42,4,81,61,9,0,55,9,8,2,79,80,3
45,9,26,6,92,45,9,61,85,3,6,2,29,8,8
46,5,77,3,14,67,5,95,76,1,0,5,75,74,1
