,0,1,2,3,4,5,6,7,8
0,9,10,5,9,9,59,0,8,69
1,38,7,5,3,4,51,6,6,35
2,42,1,9,7,1,79,2,10,70
3,58,1,9,5,3,38,9,9,7
4,50,1,8,0,3,34,4,1,85
5,19,6,10,9,7,5,5,9,95
6,62,3,1,5,1,30,1,3,15
7,89,6,3,7,7,29,4,6,64
8,100,8,0,7,10,61,4,3,94
9,49,10,8,4,4,90,8,6,48
10,26,3,0,2,10,20,7,8,17
11,62,3,3,1,4,86,2,9,86
12,74,1,4,3,10,1,3,4,40
13,85,4,10,7,10,89,5,5,59
14,84,6,2,2,10,90,4,9,7
15,7,10,10,9,6,78,5,6,84
16,33,9,10,6,1,42,3,1,93
17,64,4,0,7,3,65,10,3,9
18,80,2,2,10,3,5,9,8,33
19,43,1,10,6,6,44,5,3,4
20,22,0,10,0,9,17,2,4,83
21,7,9,1,5,5,71,6,0,19
22,14,8,8,4,10,0,4,2,44
23,34,7,1,6,7,33,0,9,13
24,83,7,8,1,7,68,8,5,51
25,82,2,1,4,4,29,9,5,77
26,22,1,10,5,8,83,8,5,26
27,76,8,1,1,1,32,3,4,41
28,38,0,10,10,4,84,8,3,73
29,45,5,1,8,5,83,3,5,44
30,68,6,8,3,3,51,0,0,30
31,13,3,7,0,2,95,3,10,52
32,75,3,0,7,0,21,1,0,64
33,94,6,6,6,9,62,7,8,60
34,88,4,2,10,5,26,10,0,20
35,40,6,9,7,7,53,4,8,80
36,58,0,7,10,8,84,7,7,41
37,29,9,1,7,8,79,8,3,64
38,99,3,7,2,1,27,1,3,61
39,5,9,5,3,4,93,8,10,50
40,76,0,9,0,5,72,6,6,54
41,48,3,1,2,4,24,4,4,69
42,50,5,10,9,6,59,3,10,4
43,68,8,7,6,2,68,5,2,71
44,63,8,6,7,3,37,5,6,63
45,40,5,6,6,9,63,2,6,23
46,61,5,2,3,6,11,9,9,27
47,31,7,0,9,2,2,6,9,25
48,64,8,0,7,8,97,10,5,31
49,43,0,6,8,1,34,7,7,6
50,3,10,0,5,6,1,7,3,77
51,100,5,8,10,5,38,0,2,22
52,45,5,4,1,7,51,10,7,3
53,42,9,2,3,8,30,0,10,97
54,22,1,3,2,9,33,4,10,53
55,37,5,1,8,5,14,6,7,24
56,93,10,6,8,3,52,7,2,72
57,80,8,7,1,8,33,1,3,31
58,43,10,4,1,2,77,1,2,52
59,21,3,1,8,10,2,10,5,19
60,88,4,10,4,6,2,6,10,3
61,79,10,8,3,7,33,9,9,21
62,2,1,5,1,6,20,5,1,60
63,88,5,3,9,6,93,9,3,10
64,58,9,2,1,3,4,8,5,5
65,82,4,5,3,10,60,0,9,97
66,26,8,10,5,1,35,8,10,1
67,50,4,2,5,10,5,5,10,93
68,21,3,5,3,8,70,5,6,67
69,59,4,5,4,5,0,7,4,44
70,49,9,4,8,4,60,4,3,82
71,69,0,3,2,0,6,9,4,99
72,54,0,0,6,8,36,10,8,59
73,90,0,3,5,7,23,1,8,76
74,53,6,6,10,2,72,5,2,18
75,51,0,9,6,10,27,5,10,23
76,38,10,3,4,7,18,6,0,55
77,10,6,4,3,0,81,6,1,98
78,96,2,0,1,4,31,6,9,88
79,50,0,10,10,7,2,10,9,43
80,29,1,4,6,0,30,3,4,68
81,19,4,0,0,1,74,0,3,3
82,100,7,1,7,6,39,9,2,29
83,40,1,9,8,6,45,0,9,18
84,87,6,5,3,2,22,9,3,42
85,78,7,9,9,6,37,3,2,41
86,32,9,8,3,5,20,9,10,97
87,42,8,1,7,2,97,2,7,54
88,95,7,6,0,3,54,4,6,13
89,73,2,7,8,10,24,8,6,58
90,45,4,2,9,10,28,10,7,52
91,99,10,5,5,0,72,6,8,99
92,72,6,6,6,9,83,7,9,59
93,6,2,1,1,5,89,1,9,1
94,11,10,4,8,9,76,5,9,52
95,74,8,3,9,10,77,6,5,72
96,1,4,3,3,3,89,10,0,2
97,25,3,0,1,3,8,4,1,31
98,71,1,10,3,9,33,8,0,34
99,6,4,6,3,3,86,5,10,98
100,67,8,6,5,8,44,8,9,32
101,27,4,3,7,8,82,0,4,90
102,35,7,0,10,0,59,3,6,71
103,75,0,2,6,8,82,9,8,56
104,20,8,8,1,5,100,7,10,75
105,55,1,7,4,6,40,2,10,94
106,2,2,5,8,1,21,6,4,80
107,34,4,10,1,5,18,8,10,40
108,94,3,8,2,4,67,8,2,91
109,71,7,5,8,4,83,10,0,55
110,17,3,0,0,8,90,2,10,27
111,18,6,5,0,3,59,4,8,84
112,48,8,8,9,9,87,6,8,32
113,43,5,7,6,2,7,8,4,6
114,20,8,8,9,7,18,6,6,5
115,57,7,9,0,0,97,8,10,81
116,21,1,6,4,6,20,1,3,91
117,1,8,9,2,3,100,2,2,4
118,53,3,7,0,9,38,8,8,84
119,18,0,10,6,5,93,9,7,87
120,93,3,4,0,4,58,10,7,91
121,65,3,4,8,1,43,7,0,63
122,76,3,8,7,4,79,4,8,4
123,69,8,9,8,0,52,4,0,59
124,58,4,9,1,5,17,8,1,19
125,39,7,1,10,10,80,6,9,42
126,19,2,4,2,0,70,5,1,37
127,50,4,3,2,3,46,9,7,58
128,57,5,7,10,2,56,0,10,87
129,83,8,1,9,3,30,9,8,100
130,25,2,8,9,2,88,10,7,31
131,27,7,7,8,10,65,2,4,9
132,5,8,6,9,8,53,2,9,92
133,22,9,8,10,8,43,0,6,68
134,58,1,2,4,3,79,8,10,83
135,15,3,10,9,1,30,1,5,6
136,88,3,6,1,8,33,8,7,36
137,97,10,7,3,5,12,7,10,1
138,98,9,4,2,3,66,9,10,7
139,2,4,3,0,0,66,0,4,33
140,50,0,4,10,9,59,4,2,47
141,21,9,2,1,10,71,9,7,29
142,93,9,10,6,9,5,1,7,2
143,42,9,10,7,5,22,8,6,73
144,25,4,7,5,0,3,0,4,79
145,88,4,9,10,3,60,6,3,90
146,55,8,2,7,2,36,1,2,57
147,2,10,10,10,8,68,7,5,0
148,80,2,0,7,4,9,2,0,52
149,19,8,8,9,9,11,7,1,76
150,29,7,5,8,0,48,4,7,21
151,19,7,4,6,3,24,10,6,17
152,56,4,1,4,8,92,8,6,81
153,7,5,7,5,10,84,0,5,76
154,94,9,5,9,0,51,4,2,29
155,5,4,5,7,1,63,2,6,61
156,23,0,7,1,6,56,3,9,76
157,47,9,5,10,5,75,8,5,42
158,84,4,0,6,1,82,1,3,69
159,87,3,6,5,3,93,6,5,97
160,53,3,1,5,9,17,9,0,25
161,91,3,0,6,7,75,0,5,1
162,38,4,7,6,0,99,0,5,32
163,5,4,10,8,4,21,1,6,79
164,100,6,6,1,8,56,0,4,83
165,50,6,5,4,8,12,0,4,8
166,3,7,5,9,6,24,0,0,11
167,91,8,0,6,4,68,5,9,30
168,56,1,5,2,4,48,0,5,87
169,57,9,5,0,0,38,4,1,55
170,94,6,8,8,8,89,9,0,87
171,76,1,4,6,2,48,5,1,36
172,84,10,1,8,3,41,2,4,83
173,29,8,5,7,0,16,8,1,87
174,26,4,1,7,4,32,4,2,57
175,51,6,3,4,4,16,5,4,47
176,78,7,5,2,9,17,4,3,85
177,31,6,7,7,1,95,5,8,4
178,35,9,2,6,1,26,4,3,61
179,52,10,2,7,5,69,9,3,76
180,59,6,9,2,1,32,0,3,32
181,43,8,1,2,4,66,8,2,22
182,12,6,7,4,5,91,2,4,0
183,73,7,2,4,2,16,7,1,16
184,90,2,5,8,7,24,3,4,61
185,35,0,1,4,7,72,7,4,24
186,21,6,1,7,5,74,4,6,78
187,78,3,1,4,2,0,6,4,71
188,72,2,9,0,6,37,0,8,50
189,48,5,0,3,0,93,9,0,81
190,87,8,9,8,3,100,5,10,64
191,15,2,7,7,8,38,5,10,94
192,45,10,8,1,0,73,1,7,70
193,16,9,7,0,9,23,5,7,30
194,90,2,8,8,6,67,1,10,19
195,5,6,0,7,9,56,7,4,35
196,46,9,3,1,3,83,7,5,34
197,67,10,3,6,3,94,6,9,98
198,34,9,10,4,0,19,10,7,32
199,0,3,8,0,0,75,1,2,51
200,59,9,7,8,10,59,10,7,20
201,35,8,9,4,6,45,9,0,89
202,57,3,2,6,4,62,3,10,69
203,92,6,0,9,6,60,3,3,18
204,66,10,1,0,6,91,4,5,10
205,75,7,1,5,10,19,9,9,58
206,35,5,1,3,6,64,1,9,60
207,80,4,1,5,8,66,1,3,78
208,78,9,3,1,7,33,2,5,25
209,26,2,8,3,1,36,5,6,77
210,21,7,7,3,3,61,5,7,54
211,0,2,9,7,2,59,3,4,72
212,99,1,8,9,10,0,9,3,90
213,22,1,2,5,1,10,0,3,95
214,41,5,3,0,8,71,1,6,11
215,76,0,9,10,9,9,5,1,33
216,91,9,1,7,0,100,3,7,71
217,70,1,6,1,3,83,9,8,58
218,33,4,7,0,2,66,5,2,32
219,86,0,0,1,7,45,7,10,36
220,8,0,3,9,0,42,6,7,66
221,19,1,8,5,6,86,4,2,83
222,8,8,6,2,2,41,8,7,20
223,80,7,9,0,9,29,9,10,43
224,92,4,6,9,10,44,5,5,87
225,81,8,9,9,5,6,7,10,9
226,19,6,10,0,0,72,9,4,68
227,100,6,1,7,9,91,4,5,31
