,0,1,2,3,4,5,6,7,8
0,40,7,72,5,8,62,4,87,74
1,95,93,55,6,8,55,2,68,16
2,40,71,78,7,10,66,1,5,94
3,33,87,82,9,4,27,10,3,51
4,7,35,88,3,6,23,9,29,29
5,37,61,97,3,1,62,9,50,42
6,53,18,17,8,2,90,1,35,39
7,29,36,46,2,10,7,9,1,33
8,25,69,50,8,4,59,8,59,2
9,5,44,30,2,8,46,0,48,8
10,36,17,58,0,6,34,6,3,51
11,97,27,35,7,5,95,1,91,65
12,54,84,72,1,4,29,10,74,93
13,2,90,14,8,9,87,8,63,30
14,1,91,61,4,3,72,7,56,59
15,29,67,53,6,9,41,7,71,36
16,93,72,64,1,1,87,5,23,39
17,98,10,9,4,7,38,10,71,59
18,18,34,46,5,0,2,10,100,68
19,87,72,20,0,3,41,3,2,39
20,38,15,50,5,10,8,5,89,25
21,7,92,14,0,0,100,3,73,74
22,16,32,79,10,5,17,10,89,95
23,91,46,80,9,0,71,6,47,65
24,15,36,46,3,0,45,7,41,41
25,28,36,2,1,9,7,5,51,44
26,61,52,80,7,5,23,8,65,66
27,10,24,69,2,7,41,3,98,16
28,64,87,74,4,0,42,10,54,77
29,59,83,7,7,1,22,6,8,37
30,92,95,27,5,1,9,5,28,51
31,37,31,53,6,10,81,4,17,8
32,60,10,84,9,2,60,3,44,0
33,54,61,45,1,7,62,2,36,90
34,29,50,3,4,8,61,2,47,4
35,51,0,18,8,8,36,7,60,96
36,85,47,7,5,9,35,10,11,65
37,95,99,54,4,3,76,9,15,73
38,67,88,18,3,4,78,0,79,64
39,11,20,10,7,4,56,1,63,34
40,48,96,25,7,10,32,1,19,81
41,99,94,8,9,8,25,2,37,8
42,74,75,81,2,9,91,1,82,83
43,84,99,11,3,8,12,2,11,66
44,50,86,50,9,2,77,7,56,34
45,69,15,50,3,1,58,0,60,73
46,94,100,7,2,6,76,6,79,23
47,23,11,26,1,9,20,9,80,90
48,70,83,39,5,6,67,2,58,44
49,62,29,18,3,8,9,8,41,39
50,44,23,36,9,5,8,4,47,9
51,93,62,17,3,0,72,1,14,35
52,97,26,51,2,2,53,3,18,61
53,41,33,18,4,0,41,0,76,61
54,38,46,4,4,3,97,6,93,5
55,32,69,67,4,7,31,9,72,87
56,2,82,71,3,7,42,8,17,84
57,37,45,88,1,2,29,4,36,26
58,96,39,7,6,4,61,0,93,1
59,15,16,34,10,9,97,1,7,12
60,72,89,63,9,5,74,2,93,97
61,29,6,3,2,4,50,0,44,53
62,1,12,97,5,3,6,4,46,81
63,81,9,18,2,8,82,6,90,55
64,66,30,66,10,10,49,6,25,54
65,51,13,73,7,5,92,7,38,93
66,79,66,3,10,1,69,1,48,2
67,25,72,85,0,5,31,6,48,84
68,27,93,92,3,4,74,4,47,3
69,62,8,54,8,4,90,6,88,62
70,8,79,45,6,3,95,1,56,93
71,29,56,82,3,10,27,7,87,79
72,42,56,70,4,2,70,8,81,31
73,6,4,63,2,0,51,6,59,16
74,19,93,47,9,9,88,3,61,39
75,89,29,66,8,9,64,0,58,75
76,55,11,98,8,6,83,8,71,64
77,97,80,38,3,7,82,7,79,24
78,5,4,52,10,2,75,3,87,78
79,23,57,48,5,9,95,5,26,17
80,3,33,47,9,2,99,0,80,55
81,78,10,60,7,9,96,8,41,76
82,93,36,26,10,0,68,10,36,71
83,77,36,83,2,1,76,3,34,94
84,4,5,55,5,3,72,3,31,95
85,79,32,96,5,0,63,5,61,53
86,23,64,10,1,0,51,0,29,45
87,47,7,81,3,5,5,10,67,79
88,2,29,41,4,10,66,5,50,22
89,71,20,98,4,10,47,7,87,96
90,92,47,74,4,1,85,9,69,60
91,19,51,88,10,0,88,5,5,82
92,10,78,28,9,4,62,2,61,86
93,30,31,6,10,1,20,6,7,39
94,0,4,77,5,0,53,6,91,88
