0,1,2,3,4,5,6
2,10,75,27,58,3,88
1,3,85,34,17,4,96
1,10,90,74,10,4,61
6,10,57,88,87,4,14
8,10,10,27,75,3,41
4,10,41,66,68,2,91
1,3,4,81,13,10,4
0,10,24,73,40,2,25
4,10,94,26,4,8,39
1,10,80,17,58,2,7
5,10,65,72,100,5,60
7,10,41,53,46,4,17
9,10,11,56,41,6,96
0,10,60,67,31,10,1
10,10,14,35,46,4,32
1,10,5,2,34,6,28
7,10,91,30,16,5,13
9,10,68,46,6,3,72
2,10,39,47,85,7,90
4,10,78,83,2,1,45
2,10,75,88,53,5,32
3,10,6,84,61,1,73
0,10,68,91,88,1,73
1,10,79,33,76,0,35
9,10,12,81,82,10,31
4,10,90,5,60,7,83
7,10,32,97,64,0,5
7,10,45,23,99,10,8
6,10,94,77,69,8,25
3,10,1,93,20,5,90
7,3,95,16,44,3,21
6,10,45,20,49,7,49
0,10,70,20,91,10,20
6,10,83,12,67,1,100
7,10,31,10,9,4,67
5,10,94,55,47,8,6
4,10,39,73,92,8,85
7,10,7,83,56,9,89
5,10,25,87,12,1,39
7,10,45,12,15,1,34
0,10,72,36,86,3,80
4,10,29,27,33,5,22
10,10,23,9,78,6,86
7,10,47,92,23,0,8
7,10,18,46,74,6,99
8,9,78,82,55,4,96
10,10,75,68,5,2,42
9,10,13,59,55,3,63
10,10,63,7,31,10,96
4,10,48,76,84,2,58
10,10,68,94,21,3,4
3,10,17,38,95,4,79
5,10,10,14,91,3,43
0,10,13,48,29,8,37
6,10,88,33,48,5,76
0,10,30,71,73,1,56
10,10,82,16,65,2,3
8,4,3,1,85,8,53
7,10,17,9,94,9,63
1,10,80,90,91,5,68
3,10,15,23,49,9,3
0,10,31,23,39,4,36
9,6,21,54,95,3,95
10,10,64,43,6,5,50
2,10,32,25,70,3,7
1,10,90,90,57,7,7
6,10,77,8,97,8,58
6,10,22,91,1,5,54
4,10,16,20,3,3,44
3,10,10,42,96,2,83
1,10,79,8,56,0,34
5,10,18,71,52,6,73
3,10,18,64,75,9,10
10,10,14,2,100,9,16
1,10,98,22,39,4,52
5,10,81,97,38,4,61
1,10,36,88,66,7,92
1,10,61,72,12,0,45
9,10,63,30,33,3,18
1,10,70,95,63,4,43
9,10,100,12,86,10,81
1,10,51,60,9,1,9
7,10,20,11,68,8,18
5,10,86,59,35,1,100
7,10,26,48,1,8,73
8,10,27,93,98,2,3
9,10,26,17,80,9,39
2,10,8,66,73,5,8
1,10,3,67,87,1,43
9,10,88,88,61,10,84
3,10,95,28,25,3,66
4,10,69,17,99,3,67
2,10,78,75,9,7,27
3,10,10,9,46,0,55
1,10,10,61,32,9,0
8,7,47,36,63,6,72
10,1,94,88,52,1,64
2,10,99,94,61,1,37
10,6,32,50,38,5,88
