0,1,2,3,4,5,6
2,22,75,27,58,3,88
1,3,85,34,17,4,96
1,65,90,74,10,4,61
6,57,57,88,87,4,14
8,89,10,27,75,3,41
4,66,41,66,68,2,91
1,3,4,81,13,10,4
0,18,24,73,40,2,25
4,34,94,26,4,8,39
1,33,80,17,58,2,7
5,18,65,72,100,5,60
7,37,41,53,46,4,17
9,71,11,56,41,6,96
0,48,60,67,31,10,1
10,85,14,35,46,4,32
1,84,5,2,34,6,28
7,61,91,30,16,5,13
9,72,68,46,6,3,72
2,60,39,47,85,7,90
4,98,78,83,2,1,45
2,43,75,88,53,5,32
3,96,6,84,61,1,73
0,11,68,91,88,1,73
1,19,79,33,76,0,35
9,22,12,81,82,10,31
4,74,90,5,60,7,83
7,48,32,97,64,0,5
7,65,45,23,99,10,8
6,60,94,77,69,8,25
3,16,1,93,20,5,90
7,3,95,16,44,3,21
6,47,45,20,49,7,49
0,14,70,20,91,10,20
6,82,83,12,67,1,100
7,50,31,10,9,4,67
5,91,94,55,47,8,6
4,60,39,73,92,8,85
7,56,7,83,56,9,89
5,81,25,87,12,1,39
7,58,45,12,15,1,34
0,84,72,36,86,3,80
4,10,29,27,33,5,22
10,69,23,9,78,6,86
7,80,47,92,23,0,8
7,45,18,46,74,6,99
8,9,78,82,55,4,96
10,40,75,68,5,2,42
9,17,13,59,55,3,63
10,14,63,7,31,10,96
4,33,48,76,84,2,58
10,90,68,94,21,3,4
3,93,17,38,95,4,79
5,17,10,14,91,3,43
0,97,13,48,29,8,37
6,16,88,33,48,5,76
0,33,30,71,73,1,56
10,74,82,16,65,2,3
8,4,3,1,85,8,53
7,51,17,9,94,9,63
1,79,80,90,91,5,68
3,82,15,23,49,9,3
0,100,31,23,39,4,36
9,6,21,54,95,3,95
10,80,64,43,6,5,50
2,23,32,25,70,3,7
1,62,90,90,57,7,7
6,62,77,8,97,8,58
6,89,22,91,1,5,54
4,42,16,20,3,3,44
3,35,10,42,96,2,83
1,14,79,8,56,0,34
5,99,18,71,52,6,73
3,95,18,64,75,9,10
10,48,14,2,100,9,16
1,75,98,22,39,4,52
5,53,81,97,38,4,61
1,48,36,88,66,7,92
1,53,61,72,12,0,45
9,70,63,30,33,3,18
1,42,70,95,63,4,43
9,82,100,12,86,10,81
1,14,51,60,9,1,9
7,69,20,11,68,8,18
5,48,86,59,35,1,100
7,75,26,48,1,8,73
8,72,27,93,98,2,3
9,51,26,17,80,9,39
2,87,8,66,73,5,8
1,55,3,67,87,1,43
9,98,88,88,61,10,84
3,59,95,28,25,3,66
4,15,69,17,99,3,67
2,40,78,75,9,7,27
3,100,10,9,46,0,55
1,35,10,61,32,9,0
8,7,47,36,63,6,72
10,1,94,88,52,1,64
2,58,99,94,61,1,37
10,6,32,50,38,5,88
5,55,1,34,41,4,1
9,32,59,7,85,4,45
1,85,69,41,88,3,87
7,86,64,56,65,0,19
2,69,66,6,59,8,86
0,23,47,13,76,0,95
9,33,65,23,86,9,77
10,57,69,64,60,3,58
5,92,10,11,93,5,8
0,98,97,23,6,5,4
7,33,86,23,43,1,5
1,18,38,63,32,7,16
7,100,20,1,57,1,69
1,8,38,92,15,2,70
9,1,8,70,16,7,4
7,83,17,30,11,8,20
0,35,24,38,37,3,42
5,97,18,24,28,10,9
8,48,89,100,93,5,33
8,41,77,74,89,8,8
3,77,40,9,37,10,87
7,75,27,68,0,10,23
3,94,75,41,68,2,18
6,14,100,7,28,10,27
9,61,81,33,82,1,93
0,88,47,2,44,9,91
5,80,94,100,90,5,36
7,77,68,28,21,4,39
6,77,27,41,60,6,19
0,61,100,21,25,10,63
9,37,2,9,67,3,45
9,86,76,46,96,7,90
3,79,91,6,85,1,77
4,78,71,20,6,0,41
3,53,30,57,96,0,83
4,86,50,29,79,1,65
4,40,70,8,56,5,38
8,30,64,10,49,2,77
9,16,10,83,41,6,7
2,93,60,90,68,6,47
